gene_id	gene_type	gene_name
ENSG00000243485	lincRNA	MIR1302-2HG
ENSG00000237613	lincRNA	FAM138A
ENSG00000238009	lincRNA	AL627309.1
ENSG00000239945	lincRNA	AL627309.3
ENSG00000239906	antisense	AL627309.2
ENSG00000241860	processed_transcript	AL627309.5
ENSG00000241599	lincRNA	AL627309.4
ENSG00000236601	lincRNA	AL732372.1
ENSG00000235146	lincRNA	AC114498.1
ENSG00000229905	antisense	AL669831.2
ENSG00000237491	lincRNA	AL669831.5
ENSG00000177757	lincRNA	FAM87B
ENSG00000228794	processed_transcript	LINC01128
ENSG00000225880	lincRNA	LINC00115
ENSG00000230368	lincRNA	FAM41C
ENSG00000272438	lincRNA	AL645608.6
ENSG00000230699	lincRNA	AL645608.2
ENSG00000241180	lincRNA	AL645608.4
ENSG00000223764	lincRNA	LINC02593
ENSG00000272512	lincRNA	AL645608.7
ENSG00000224969	antisense	AL645608.1
ENSG00000273443	lincRNA	AL645608.8
ENSG00000285812	antisense	AL390719.3
ENSG00000223823	lincRNA	LINC01342
ENSG00000272141	lincRNA	AL390719.2
ENSG00000205231	antisense	TTLL10-AS1
ENSG00000260179	lincRNA	AL162741.1
ENSG00000230415	lincRNA	LINC01786
ENSG00000224870	processed_transcript	AL391244.1
ENSG00000272455	lincRNA	AL391244.3
ENSG00000225905	antisense	AL391244.2
ENSG00000225285	lincRNA	LINC01770
ENSG00000215014	processed_transcript	AL645728.1
ENSG00000272106	antisense	AL691432.2
ENSG00000272004	antisense	FO704657.1
ENSG00000268575	processed_transcript	AL031282.2
ENSG00000231050	antisense	AL109917.1
ENSG00000233542	antisense	AL391845.2
ENSG00000226969	antisense	AL391845.1
ENSG00000271806	antisense	AL590822.2
ENSG00000182873	antisense	PRKCZ-AS1
ENSG00000234396	lincRNA	AL590822.1
ENSG00000224387	antisense	AL139246.1
ENSG00000229393	antisense	AL139246.4
ENSG00000272449	lincRNA	AL139246.5
ENSG00000238164	antisense	TNFRSF14-AS1
ENSG00000225931	TEC	AL139246.2
ENSG00000228037	lincRNA	AL139246.3
ENSG00000237058	antisense	AL831784.1
ENSG00000285945	lincRNA	AC242022.2
ENSG00000283259	antisense	AC242022.1
ENSG00000233234	lincRNA	AL592464.2
ENSG00000231630	lincRNA	AL592464.1
ENSG00000284745	lincRNA	AL589702.1
ENSG00000177133	antisense	LINC00982
ENSG00000226286	antisense	AL008733.1
ENSG00000279839	TEC	AL512383.1
ENSG00000272235	lincRNA	AL590438.1
ENSG00000272088	lincRNA	AL512413.1
ENSG00000238260	antisense	AL513320.1
ENSG00000227589	antisense	AL136528.1
ENSG00000235131	antisense	AL136528.2
ENSG00000272153	antisense	AL365330.1
ENSG00000236423	lincRNA	LINC01134
ENSG00000233304	lincRNA	LINC01346
ENSG00000226374	lincRNA	LINC01345
ENSG00000284668	lincRNA	AL805961.1
ENSG00000284703	lincRNA	AL805961.2
ENSG00000235054	lincRNA	LINC01777
ENSG00000284694	lincRNA	AL355602.1
ENSG00000227169	lincRNA	Z98747.1
ENSG00000232596	lincRNA	LINC01646
ENSG00000284739	lincRNA	BX005132.2
ENSG00000284674	lincRNA	BX005132.1
ENSG00000231510	lincRNA	AL691497.1
ENSG00000284616	lincRNA	AL139823.1
ENSG00000284692	lincRNA	Z98259.3
ENSG00000284666	lincRNA	Z98259.2
ENSG00000260972	lincRNA	Z98259.1
ENSG00000236948	lincRNA	AL365255.1
ENSG00000226944	antisense	AL031847.1
ENSG00000225077	lincRNA	LINC00337
ENSG00000271746	antisense	AL031848.2
ENSG00000231868	antisense	AL031848.1
ENSG00000228750	lincRNA	LINC01672
ENSG00000284744	lincRNA	AL591163.1
ENSG00000237436	antisense	CAMTA1-DT
ENSG00000237365	antisense	AL512330.1
ENSG00000237728	antisense	Z97987.1
ENSG00000225126	antisense	AL365194.1
ENSG00000270171	lincRNA	AL359881.3
ENSG00000270035	lincRNA	AL359881.2
ENSG00000269978	lincRNA	AL359881.1
ENSG00000236266	antisense	Z98884.1
ENSG00000284747	antisense	AL034417.4
ENSG00000284716	lincRNA	AL034417.3
ENSG00000238290	lincRNA	AL034417.2
ENSG00000227634	lincRNA	LINC01714
ENSG00000233645	lincRNA	AL358876.2
ENSG00000232912	antisense	AL096855.1
ENSG00000228423	lincRNA	AL357552.2
ENSG00000230679	antisense	ENO1-AS1
ENSG00000228526	lincRNA	MIR34AHG
ENSG00000234546	lincRNA	LNCTAM34A
ENSG00000284652	lincRNA	BX323043.1
ENSG00000284693	lincRNA	AL928921.2
ENSG00000235263	lincRNA	AL928921.1
ENSG00000179840	antisense	PIK3CD-AS1
ENSG00000231789	antisense	PIK3CD-AS2
ENSG00000280113	TEC	AL357140.3
ENSG00000223989	antisense	AL357140.1
ENSG00000285701	antisense	AL357140.5
ENSG00000284735	lincRNA	AL139424.3
ENSG00000284642	lincRNA	AL139424.2
ENSG00000271989	antisense	AL139424.1
ENSG00000203469	antisense	AL354956.1
ENSG00000272078	antisense	AL139423.1
ENSG00000271895	antisense	AL109811.3
ENSG00000226849	antisense	AL109811.1
ENSG00000230337	antisense	AL109811.2
ENSG00000225602	antisense	MTOR-AS1
ENSG00000284646	lincRNA	AL031291.1
ENSG00000285833	antisense	AL590989.1
ENSG00000235643	lincRNA	LINC01647
ENSG00000284708	antisense	AL031731.1
ENSG00000177553	antisense	AL953897.1
ENSG00000285646	lincRNA	AL021155.2
ENSG00000285604	antisense	AL357835.1
ENSG00000229484	lincRNA	AC243836.1
ENSG00000272482	lincRNA	AC254633.1
ENSG00000228338	lincRNA	LINC01784
ENSG00000233336	lincRNA	AC245056.1
ENSG00000228229	lincRNA	AC243961.1
ENSG00000259961	antisense	AL354712.1
ENSG00000237445	lincRNA	AL359771.1
ENSG00000231606	lincRNA	AL357873.1
ENSG00000234593	lincRNA	KAZN-AS1
ENSG00000175147	antisense	TMEM51-AS1
ENSG00000204464	lincRNA	C1orf195
ENSG00000233485	antisense	AL031283.2
ENSG00000236045	antisense	AL031283.3
ENSG00000228140	lincRNA	AL031283.1
ENSG00000272510	antisense	AL121992.3
ENSG00000237301	antisense	AL121992.1
ENSG00000271742	lincRNA	AL121992.2
ENSG00000237938	antisense	AL450998.2
ENSG00000224459	antisense	SLC25A34-AS1
ENSG00000179743	antisense	FLJ37453
ENSG00000233078	antisense	AL355994.3
ENSG00000227959	antisense	AL451042.2
ENSG00000224621	antisense	AL451042.1
ENSG00000234166	antisense	ARHGEF19-AS1
ENSG00000226029	lincRNA	LINC01772
ENSG00000261135	lincRNA	AL137802.2
ENSG00000285853	lincRNA	AL137802.3
ENSG00000224174	lincRNA	AL137802.1
ENSG00000233421	lincRNA	LINC01783
ENSG00000271732	lincRNA	AL137798.1
ENSG00000282143	lincRNA	AL137798.2
ENSG00000279151	lincRNA	AL021920.1
ENSG00000282740	lincRNA	AL021920.3
ENSG00000223643	lincRNA	BX284668.1
ENSG00000228549	lincRNA	BX284668.2
ENSG00000238142	lincRNA	BX284668.5
ENSG00000272426	lincRNA	BX284668.6
ENSG00000226526	antisense	AL049569.1
