gene_id	gene_type	gene_name
ENSG00000278267	miRNA	MIR6859-1
ENSG00000284332	miRNA	MIR1302-2
ENSG00000273874	miRNA	MIR6859-2
ENSG00000278791	miRNA	MIR6723
ENSG00000207730	miRNA	MIR200B
ENSG00000207607	miRNA	MIR200A
ENSG00000198976	miRNA	MIR429
ENSG00000278073	miRNA	MIR6726
ENSG00000283712	miRNA	MIR6727
ENSG00000284372	miRNA	MIR6808
ENSG00000283572	miRNA	MIR4251
ENSG00000207776	miRNA	MIR551A
ENSG00000264341	miRNA	MIR4417
ENSG00000264101	miRNA	MIR4689
ENSG00000265392	miRNA	MIR4252
ENSG00000274258	miRNA	MIR6728
ENSG00000284357	miRNA	MIR34A
ENSG00000265521	miRNA	MIR5697
ENSG00000264881	miRNA	MIR1273D
ENSG00000276869	miRNA	MIR6729
ENSG00000283789	miRNA	MIR7846
ENSG00000263676	miRNA	MIR4632
ENSG00000276830	miRNA	MIR6730
ENSG00000263811	miRNA	MIR3675
ENSG00000266634	miRNA	MIR3972
ENSG00000265606	miRNA	MIR4695
ENSG00000221662	miRNA	MIR1290
ENSG00000284005	miRNA	MIR6084
ENSG00000221808	miRNA	MIR1256
ENSG00000266564	miRNA	MIR4418
ENSG00000276835	miRNA	MIR6127
ENSG00000265422	miRNA	MIR4684
ENSG00000264014	miRNA	MIR4253
ENSG00000263793	miRNA	MIR3115
ENSG00000266802	miRNA	MIR4419A
ENSG00000264926	miRNA	MIR378F
ENSG00000278034	miRNA	MIR6731
ENSG00000264371	miRNA	MIR4425
ENSG00000283938	miRNA	MIR3917
ENSG00000238705	miRNA	MIR1976
ENSG00000264773	miRNA	MIR4420
ENSG00000266580	miRNA	MIR4254
ENSG00000266203	miRNA	MIR5585
ENSG00000284154	miRNA	MIR3605
ENSG00000207941	miRNA	MIR552
ENSG00000264698	miRNA	MIR4255
ENSG00000283724	miRNA	MIR6732
ENSG00000263675	miRNA	MIR5581
ENSG00000265596	miRNA	MIR3659
ENSG00000198974	miRNA	MIR30E
ENSG00000207962	miRNA	MIR30C1
ENSG00000284410	miRNA	MIR6733
ENSG00000283836	miRNA	MIR6734
ENSG00000274975	miRNA	MIR6735
ENSG00000283477	miRNA	MIR6079
ENSG00000263381	miRNA	MIR5584
ENSG00000265538	miRNA	MIR4421
ENSG00000275816	miRNA	MIR6500
ENSG00000283899	miRNA	MIR761
ENSG00000264834	miRNA	MIR1273F
ENSG00000266188	miRNA	MIR5095
ENSG00000265815	miRNA	MIR1273G
ENSG00000283749	miRNA	MIR4781
ENSG00000265822	miRNA	MIR4422
ENSG00000266150	miRNA	MIR4711
ENSG00000263908	miRNA	MIR3116-1
ENSG00000283690	miRNA	MIR3116-2
ENSG00000275836	miRNA	MIR6068
ENSG00000264470	miRNA	MIR4794
ENSG00000265996	miRNA	MIR3671
ENSG00000199135	miRNA	MIR101-1
ENSG00000264720	miRNA	MIR3117
ENSG00000221203	miRNA	MIR1262
ENSG00000207721	miRNA	MIR186
ENSG00000276081	miRNA	MIR7156
ENSG00000266110	miRNA	MIR4423
ENSG00000278281	miRNA	MIR7856
ENSG00000211575	miRNA	MIR760
ENSG00000263526	miRNA	MIR378G
ENSG00000284247	miRNA	MIR2682
ENSG00000284202	miRNA	MIR137
ENSG00000207750	miRNA	MIR553
ENSG00000275455	miRNA	MIR7852
ENSG00000284443	miRNA	MIR197
ENSG00000283296	miRNA	MIR4256
ENSG00000264419	miRNA	MIR548AC
ENSG00000211543	miRNA	MIR320B1
ENSG00000215930	miRNA	MIR942
ENSG00000278549	miRNA	MIR6736
ENSG00000283676	miRNA	MIR5087
ENSG00000278596	miRNA	MIR6077
ENSG00000283933	miRNA	MIR6878
ENSG00000264553	miRNA	MIR4257
ENSG00000207606	miRNA	MIR554
ENSG00000274940	miRNA	MIR8083
ENSG00000276584	miRNA	MIR6737
ENSG00000263987	miRNA	MIR5698
ENSG00000215938	miRNA	MIR190B
ENSG00000264349	miRNA	MIR4258
ENSG00000284586	miRNA	MIR92B
ENSG00000283701	miRNA	MIR555
ENSG00000277817	miRNA	MIR6738
ENSG00000207933	miRNA	MIR9-1
ENSG00000211581	miRNA	MIR765
ENSG00000266458	miRNA	MIR4259
ENSG00000284035	miRNA	MIR5187
ENSG00000266144	miRNA	MIR4654
ENSG00000207729	miRNA	MIR556
ENSG00000283936	miRNA	MIR3658
ENSG00000215952	miRNA	MIR921
ENSG00000221545	miRNA	MIR1255B2
ENSG00000207974	miRNA	MIR557
ENSG00000283340	miRNA	MIR3119-1
ENSG00000263390	miRNA	MIR3119-2
ENSG00000221390	miRNA	MIR1295A
ENSG00000283598	miRNA	MIR1295B
ENSG00000283844	miRNA	MIR214
ENSG00000283152	miRNA	MIR3120
ENSG00000208024	miRNA	MIR199A2
ENSG00000202609	miRNA	MIR488
ENSG00000266417	miRNA	MIR4424
ENSG00000265435	miRNA	MIR3121
ENSG00000283795	miRNA	MIR4426
ENSG00000221680	miRNA	MIR1278
ENSG00000265986	miRNA	MIR4735
ENSG00000207975	miRNA	MIR181B1
ENSG00000207759	miRNA	MIR181A1
ENSG00000264802	miRNA	MIR5191
ENSG00000221028	miRNA	MIR1231
ENSG00000277681	miRNA	MIR6739
ENSG00000275207	miRNA	MIR6740
ENSG00000199059	miRNA	MIR135B
ENSG00000278465	miRNA	MIR6769B
ENSG00000284214	miRNA	MIR29C
ENSG00000284203	miRNA	MIR29B2
ENSG00000284485	miRNA	MIR205
ENSG00000283876	miRNA	MIR4260
ENSG00000264358	miRNA	MIR3122
ENSG00000207590	miRNA	MIR215
ENSG00000207624	miRNA	MIR194-1
ENSG00000281696	miRNA	MIR664A
ENSG00000221406	miRNA	MIR320B2
ENSG00000266618	miRNA	MIR4742
ENSG00000284519	miRNA	MIR6741
ENSG00000264483	miRNA	MIR5008
ENSG00000284163	miRNA	MIR3620
ENSG00000284311	miRNA	MIR6742
ENSG00000266174	miRNA	MIR4666A
ENSG00000283799	miRNA	MIR1182
ENSG00000265744	miRNA	MIR4427
ENSG00000264377	miRNA	MIR4671
ENSG00000263439	miRNA	MIR4753
ENSG00000222831	miRNA	MIR1537
ENSG00000266262	miRNA	MIR4428
ENSG00000265831	miRNA	MIR3123
ENSG00000265201	miRNA	MIR4677
ENSG00000283881	miRNA	MIR3916
ENSG00000264500	miRNA	MIR3124
ENSG00000276733	miRNA	MIR7158
ENSG00000283394	miRNA	MIR7515
ENSG00000265418	miRNA	MIR4261
ENSG00000264010	miRNA	MIR4429
ENSG00000265056	miRNA	MIR548S
ENSG00000265172	miRNA	MIR4262
ENSG00000264089	miRNA	MIR3681
ENSG00000264370	miRNA	MIR3125
ENSG00000266738	miRNA	MIR4757
ENSG00000221445	miRNA	MIR1301
ENSG00000265321	miRNA	MIR4263
ENSG00000207653	miRNA	MIR558
ENSG00000265057	miRNA	MIR4765
ENSG00000283591	miRNA	MIR4430
ENSG00000265301	miRNA	MIR548AD
ENSG00000207923	miRNA	MIR559
ENSG00000212036	miRNA	MIR548BA
ENSG00000216191	miRNA	MIR8485
ENSG00000264975	miRNA	MIR4431
ENSG00000265452	miRNA	MIR3682
ENSG00000207548	miRNA	MIR217
ENSG00000207798	miRNA	MIR216A
ENSG00000211520	miRNA	MIR216B
ENSG00000266078	miRNA	MIR4432
ENSG00000266097	miRNA	MIR5192
ENSG00000264297	miRNA	MIR4433B
ENSG00000283222	miRNA	MIR4433A
ENSG00000283204	miRNA	MIR4434
ENSG00000264525	miRNA	MIR4778
ENSG00000266649	miRNA	MIR3126
ENSG00000221238	miRNA	MIR1285-2
ENSG00000263909	miRNA	MIR5000
ENSG00000266436	miRNA	MIR4264
ENSG00000276917	miRNA	MIR8080
ENSG00000278783	miRNA	MIR6071
ENSG00000265420	miRNA	MIR4779
ENSG00000264793	miRNA	MIR4771-1
ENSG00000265507	miRNA	MIR4435-1
ENSG00000265003	miRNA	MIR4780
ENSG00000265510	miRNA	MIR4436A
ENSG00000264157	miRNA	MIR3127
ENSG00000264857	miRNA	MIR5696
ENSG00000264764	miRNA	MIR4772
ENSG00000264934	miRNA	MIR4265
ENSG00000265965	miRNA	MIR4266
ENSG00000265682	miRNA	MIR4267
ENSG00000264979	miRNA	MIR4436B1
ENSG00000263881	miRNA	MIR4436B2
ENSG00000266139	miRNA	MIR4435-2
ENSG00000266063	miRNA	MIR4771-2
ENSG00000221055	miRNA	MIR1302-3
ENSG00000265429	miRNA	MIR4782
ENSG00000264075	miRNA	MIR4783
ENSG00000284149	miRNA	MIR4784
ENSG00000221288	miRNA	MIR663B
ENSG00000263813	miRNA	MIR3679
ENSG00000263783	miRNA	MIR5590
ENSG00000207654	miRNA	MIR128-1
ENSG00000283506	miRNA	MIR7157
ENSG00000283569	miRNA	MIR4773-2
ENSG00000264684	miRNA	MIR4773-1
ENSG00000275141	miRNA	MIR6888
ENSG00000283734	miRNA	MIR4785
