genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
AP002364.1	2.5683684037908	5.29586384699748	19.0817157595967	1.25239009465047e-05	0.180532032143865	0	0	3	0	0	1	9	4	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0
P4HA2-AS1	3.61256715547008	4.30301647114145	16.7288454901253	4.31203723144404e-05	0.310790083456329	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	4	0	0	0	0	0	0	0	4	0	0	1	2	0	2	0
AC011824.2	-3.18354627505899	4.30052167827584	14.1627005573564	0.000167661451771461	0.582389919161367	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	3	2	0	1	0	9	1	4	6	2	0	0	1
MIAT	1.20093212709545	8.12932953010841	13.981092658725	0.000184658269470422	0.582389919161367	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	2	0	2	0	1	0	0	1	0	1	0	0	1	0
PARD6G-AS1	1.81272900949785	9.07119081121841	13.8123103463077	0.000202008296622049	0.582389919161367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0
SMAD1-AS1	2.18508974974747	4.91896734592216	12.8843956018199	0.000331333127521469	0.682309576174569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	1	0	0	0	0	0
LINC01905	-5.64153983282893	5.45567956448055	12.2220125370501	0.000472289576523712	0.851006780698664	2	0	0	0	0	0	0	4	2	1	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AC108472.1	2.95090761657147	4.12429596394409	11.0953341052836	0.000865451904577727	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0
AP001350.1	1.89531004810507	5.01357253423398	10.7314001027141	0.00105332717922513	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
AC020900.1	1.42599571136656	5.96991407977597	10.5950138671249	0.00113393048640848	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
AL603910.1	2.91484470271005	4.25665991468363	10.5899495597628	0.00113704079315526	1	0	1	0	0	1	0	0	2	3	1	1	4	6	1	0	1	0	8	6	0	2	2	6	8	8	0	2	1	1	0	9	4	1	5	0	2	0	0	4	0
AL034550.1	2.20784630656705	4.6855715991805	10.3536117914723	0.00129221604732883	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	3	2	0	0	1	0	0	0	0	1	6	2	2	5	1	0	0	4
AC008937.3	1.76251131387657	5.06277147610213	10.3160321704679	0.00131879517279514	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LINC01358	2.72661806051404	4.34717804294077	10.05115807981	0.00152252200927954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2
LINC01013	-2.81435839167513	4.02971823714215	10.0254452151297	0.00154392352726491	1	1	6	2	2	4	2	0	4	4	0	4	3	0	7	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	2	1	0	0	0	1	1	0	3	1	0
AC116366.2	2.0307068529648	4.83455229641846	9.88201176085981	0.00166902359202355	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	6	3	1	0	1	3	0	3	1	0	0	4	1	0	3	0	0	2	0	0	0	1	0
AC114947.2	1.73984446310582	9.09649256048683	9.860647371443	0.00168851679892525	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC137932.3	1.81908486401828	4.93817231952782	9.82728665370052	0.00171941806784429	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
MIR3945HG	1.38163192921644	6.97094105146872	9.63218918591738	0.00191196580110606	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
AC022217.2	2.90515494119392	4.1176182450178	9.58122754288046	0.00196576930316885	1	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	0	0	0	1	0	2	1	1	0	0	5	0	4	0	0	3	2	1	0	0	2	0	0	8
AP001029.2	1.45677477335693	5.5226929381674	9.52164741174467	0.00203062211433264	1	0	1	0	0	0	2	0	2	0	1	0	0	1	1	7	0	0	4	6	3	0	2	2	2	0	2	0	2	0	2	1	1	0	1	4	11	0	0	6	4
MEF2C-AS2	2.50488838652326	4.37603853493477	9.43204394289575	0.00213226507153668	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092611.1	2.41980763377996	4.44034171223622	9.35088649722532	0.00222877636863725	1	0	3	0	2	1	2	1	0	0	0	0	0	0	6	4	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0
GCC2-AS1	1.3575247851343	5.68018030700256	9.34519285865625	0.00223571124696408	1	0	0	0	0	0	0	0	0	1	0	0	2	9	0	0	1	0	0	2	1	0	3	3	0	0	0	0	7	10	2	0	0	0	0	1	2	0	0	2	18
AL354694.1	2.75620301768962	4.07888617208365	9.28126180270856	0.00231509896570067	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC026471.3	-2.24621315575904	4.38951161195969	9.25519665426341	0.00234828117694492	1	0	0	1	1	0	1	0	2	0	1	0	2	0	0	0	0	0	2	0	5	0	0	0	1	0	2	0	0	4	0	2	1	0	10	0	1	0	0	2	23
AC007099.1	2.79716797577842	4.0895696336115	9.07019444801854	0.00259809440749949	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02150	2.82246972459076	4.20759776046467	9.0177107899114	0.0026737605057033	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01747	2.78662015948627	4.24244202414151	8.99267568053287	0.00271063819878266	1	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC021739.4	1.78574211035808	4.92570006733865	8.9756181511717	0.00273606002314241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	2	0
TESC-AS1	2.74417951216171	4.08089050173065	8.84687650328211	0.00293590891706876	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139241.1	2.16490718982273	4.54655879112499	8.82899775021617	0.00296481172282464	1	2	2	0	0	0	2	1	2	10	0	6	1	2	0	0	1	0	5	2	6	0	2	0	5	1	5	0	15	4	3	3	7	0	3	1	19	0	4	4	6
LINC00845	-2.64934538376638	3.99938197721141	8.77825205721309	0.00304843176403662	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
AC136475.8	-2.59931444448886	4.15661108971543	8.77087861551972	0.00306077972274025	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
