genes	logFC	logCPM	LR	PValue	FDR
AP002364.1	2.5683684037908	5.29586384699748	19.0817157595967	1.25239009465047e-05	0.180532032143865
P4HA2-AS1	3.61256715547008	4.30301647114145	16.7288454901253	4.31203723144404e-05	0.310790083456329
AC011824.2	-3.18354627505899	4.30052167827584	14.1627005573564	0.000167661451771461	0.582389919161367
MIAT	1.20093212709545	8.12932953010841	13.981092658725	0.000184658269470422	0.582389919161367
PARD6G-AS1	1.81272900949785	9.07119081121841	13.8123103463077	0.000202008296622049	0.582389919161367
AC104958.2	-0.988463765175988	9.05562189526628	13.006029876964	0.000310489530019511	0.682309576174569
SMAD1-AS1	2.18508974974747	4.91896734592216	12.8843956018199	0.000331333127521469	0.682309576174569
LINC01905	-5.64153983282893	5.45567956448055	12.2220125370501	0.000472289576523712	0.851006780698664
AC108472.1	2.95090761657147	4.12429596394409	11.0953341052836	0.000865451904577727	1
AP001350.1	1.89531004810507	5.01357253423398	10.7314001027141	0.00105332717922513	1
AC020900.1	1.42599571136656	5.96991407977597	10.5950138671249	0.00113393048640848	1
AL603910.1	2.91484470271005	4.25665991468363	10.5899495597628	0.00113704079315526	1
AL034550.1	2.20784630656705	4.6855715991805	10.3536117914723	0.00129221604732883	1
AC008937.3	1.76251131387657	5.06277147610213	10.3160321704679	0.00131879517279514	1
AL928921.1	-0.965002984073337	7.51957675204323	10.1157913368515	0.00147004301627687	1
LINC01358	2.72661806051404	4.34717804294077	10.05115807981	0.00152252200927954	1
LINC01013	-2.81435839167513	4.02971823714215	10.0254452151297	0.00154392352726491	1
AC116366.2	2.0307068529648	4.83455229641846	9.88201176085981	0.00166902359202355	1
AC114947.2	1.73984446310582	9.09649256048683	9.860647371443	0.00168851679892525	1
AC137932.3	1.81908486401828	4.93817231952782	9.82728665370052	0.00171941806784429	1
MIR3945HG	1.38163192921644	6.97094105146872	9.63218918591738	0.00191196580110606	1
LINC01679	0.967551574541082	7.46871486325655	9.62569175184139	0.00191874167129852	1
AC022217.2	2.90515494119392	4.1176182450178	9.58122754288046	0.00196576930316885	1
AP001029.2	1.45677477335693	5.5226929381674	9.52164741174467	0.00203062211433264	1
MEF2C-AS2	2.50488838652326	4.37603853493477	9.43204394289575	0.00213226507153668	1
AC092611.1	2.41980763377996	4.44034171223622	9.35088649722532	0.00222877636863725	1
GCC2-AS1	1.3575247851343	5.68018030700256	9.34519285865625	0.00223571124696408	1
AL354694.1	2.75620301768962	4.07888617208365	9.28126180270856	0.00231509896570067	1
AC026471.3	-2.24621315575904	4.38951161195969	9.25519665426341	0.00234828117694492	1
AC007099.1	2.79716797577842	4.0895696336115	9.07019444801854	0.00259809440749949	1
LINC02150	2.82246972459076	4.20759776046467	9.0177107899114	0.0026737605057033	1
LINC01747	2.78662015948627	4.24244202414151	8.99267568053287	0.00271063819878266	1
AC021739.4	1.78574211035808	4.92570006733865	8.9756181511717	0.00273606002314241	1
TESC-AS1	2.74417951216171	4.08089050173065	8.84687650328211	0.00293590891706876	1
AL139241.1	2.16490718982273	4.54655879112499	8.82899775021617	0.00296481172282464	1
LINC00845	-2.64934538376638	3.99938197721141	8.77825205721309	0.00304843176403662	1
AC136475.8	-2.59931444448886	4.15661108971543	8.77087861551972	0.00306077972274025	1
AC093620.1	2.68406626442626	4.06461134558414	8.75593090136216	0.00308596811981206	1
AL023584.1	1.56874685928756	5.22192306218145	8.75585151984914	0.00308610244629423	1
LINC02005	2.05932285589371	4.64599728759371	8.66608574023243	0.00324186788657193	1
AC007314.1	2.00802840134697	4.65667632116346	8.66215688087502	0.00324886508737009	1
AC023510.1	2.69472600602309	4.07668623792524	8.63786089250936	0.00329247790957158	1
AC016773.1	1.54346139743429	5.67820222804709	8.60980843349911	0.00334357467598107	1
C1orf140	1.744345157256	4.88886106186612	8.59751839937763	0.00336621384831063	1
GTSCR1	-2.49229679772597	3.98334897622234	8.36721328996952	0.00382051024773517	1
AC008758.2	2.59923034409167	4.05240570737701	8.25253493445334	0.00406951317910226	1
AC009137.1	2.01146386850544	4.58895457030243	8.24301042202617	0.00409092255090008	1
AC087521.2	1.59306638255046	5.06369268072224	8.20535055761394	0.00417670385807958	1
AC003991.1	0.966284856639869	7.03044623550771	8.16423576008631	0.00427244728622958	1
AC002525.1	2.62104289733645	4.05582934563497	8.10888414729596	0.00440488335520347	1
AL360227.1	2.61280597084505	4.05457737784769	8.10862418578613	0.0044055151098648	1
AC147651.3	1.12120076233967	6.04957690914142	8.02805148638796	0.00460583618582112	1
IDI2-AS1	1.40847553852119	7.05847631686697	8.02616562902741	0.0046106343475626	1
AC091736.1	2.53995597906344	4.04062705961441	8.01286642296315	0.0046446161929401	1
CECR9	2.61602649336114	4.05499172616077	7.98553378299336	0.0047152590925654	1
AP001469.1	1.25816656199296	5.68330962146772	7.95472291363563	0.00479620512280994	1
AL645608.6	-2.32960082693896	3.95934999350857	7.94217924684488	0.00482956389247939	1
AC090150.1	-0.962209038133801	6.62058521873299	7.93082755835694	0.0048599564234634	1
AC090099.4	2.65292778237119	4.06080068257075	7.85460310240568	0.00506914792267258	1
AC099521.1	-2.41551309420201	3.96059073072328	7.80901857943837	0.00519861296879106	1
AC132803.1	2.56285239156892	4.04403550391005	7.774085642424	0.00530010369115488	1
AC079062.1	2.48774280787445	4.26586986456289	7.60356993242837	0.0058252847695341	1
AC079598.1	2.05930423555629	4.50084414055235	7.52143085781803	0.00609692323304038	1
AC073342.2	2.48779947939707	4.25237472767815	7.48135111293999	0.00623412741520398	1
AL157955.1	2.46768923923629	4.02730427680744	7.40159127119002	0.0065166206696772	1
AP000911.2	2.46567271286419	4.0273994342769	7.38486591329738	0.00657749734204233	1
AC002546.1	-2.46260958610593	4.12792668115101	7.37204181078407	0.00662456736952641	1
