genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
SLC8A3	2.85028670347092	-1.7265173430569	19.8664675143193	8.30442631905713e-06	0.139440833281443	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	1	0	3	2	3	0	0	1	2	2	0	2	0	0	2	0	1	0	0	1	0	1	4	0	4
TFF3	-2.76594888523506	0.700502738716718	18.8433785151701	1.41902847688844e-05	0.139440833281443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPTBN5	1.37696341225043	2.32491712410412	16.7751380890713	4.20810492580502e-05	0.165403772213692	0	0	0	2	1	1	0	1	3	0	0	1	3	1	0	2	3	2	3	1	0	3	3	2	0	3	0	0	1	0	6	0	4	5	3	23	1	0	5	1
C19orf33	-2.74463302136938	-3.26112117725009	15.7280436269642	7.31318546308131e-05	0.199254865361901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0
CYP3A7	-1.83563831385591	3.62838693049133	15.7026516313682	7.41201888880493e-05	0.199254865361901	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	1	1	3	5	1	0	2	1	0	0	2	1	5	8	1	0	4	0	4	13	8	0
TMPRSS4	2.81488996926518	-2.54181001926563	15.5322601370871	8.11091906016999e-05	0.199254865361901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
P2RY6	1.21896190687591	0.261508180545459	15.1054930575041	0.000101667026201327	0.210012825458514	2	1	4	0	0	6	5	7	13	0	1	4	1	1	2	0	22	1	3	3	0	3	1	6	0	6	8	0	1	2	3	1	3	2	4	0	0	0	0	0
TNFRSF8	1.5098773079175	-0.985119326147651	15.011457101059	0.000106860441387327	0.210012825458514	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPAR3	3.66448376940126	-2.98029259631462	14.3534530680669	0.000151501579451402	0.219073920287509	8	1	19	12	14	2	1	41	40	40	13	8	12	24	26	15	8	18	114	16	0	11	2	10	15	28	35	3	12	3	16	15	387	123	10	51	13	21	59	302
RNASE13	3.10658191239697	-2.93597765532643	14.302917709423	0.000155623477366185	0.219073920287509	70	185	79	369	219	361	131	372	165	663	336	409	940	610	315	381	37	1477	2326	411	327	547	245	112	607	448	379	211	144	366	816	1854	289	638	436	596	856	409	1643	250
ADAMTS9	1.19645405332577	4.59232654329824	13.6151366671793	0.000224369151557553	0.229287952018199	2	2	0	6	10	18	2	6	19	3	3	16	11	18	5	1	0	24	53	8	8	33	7	4	5	0	20	13	5	4	22	63	11	22	14	0	22	26	22	12
CACNA1F	2.59320958559844	-2.78547661378772	13.5861956835261	0.000227854936069422	0.229287952018199	47	96	22	90	92	43	978	147	56	155	101	359	85	182	391	100	21	331	158	680	50	156	87	102	91	126	168	65	105	192	166	4606	78	536	64	106	156	133	91	15
MUC5B	-2.86548127307936	3.00247746391108	13.5086519284317	0.000237466067061022	0.229287952018199	0	1	2	0	0	7	0	12	1	3	3	5	5	4	2	2	0	0	0	1	3	7	16	6	5	28	5	57	6	2	0	9	28	0	4	11	4	1	15	2
FGF21	-1.62429156667549	3.75342854443439	13.3033718467258	0.000264929247006078	0.229287952018199	8	0	0	0	0	0	0	0	1	126	0	1	1	0	5	0	0	0	1	3	0	7	1	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0
SPRR2A	3.61716194545218	-3.09583732810259	13.3000838600945	0.000265394246664252	0.229287952018199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
AKR1B10	-2.67618309542377	2.12438769043107	13.1509365880238	0.000287375562132977	0.235324663441642	18	2	16	3	153	8	14	67	2661	463	3	454	13	13	0	7	30	5	5	24	0	6	46	0	48	42	0	4	6	69	46	1	86	37	27	11	5	21	2	221
AC091167.2	2.68915272439828	-2.57720525038218	12.9193203335214	0.000325207922527416	0.240767185332216	0	0	2	0	9	2	2	3	108	13	0	6	0	0	0	0	4	0	0	0	0	0	0	0	11	3	0	0	0	1	2	1	2	0	1	0	0	0	0	3
PKD1L1	1.26870512157904	-1.02259319961983	12.8110678575297	0.000344574841932451	0.240767185332216	1	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	1	1	3	3	6	1	0	4	0	4	2	3	0	2	1	2	0	2
EPGN	2.81314558458943	-3.19036384913794	12.7828307274264	0.000349815181161118	0.240767185332216	0	0	0	4	6	1	2	0	5	9	0	0	0	2	0	4	0	0	0	2	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	1	3	2	0
ITGA2	2.05825576362333	1.34147831815332	12.4764338044112	0.000412118208289483	0.249607137217578	0	2	0	1	1	0	4	0	2	1	0	14	0	0	0	1	0	2	4	1	2	7	0	2	3	4	7	2	1	1	5	1	4	4	2	3	5	0	1	9
HRH1	1.01669760949237	-0.423175309381441	12.3366585016523	0.000444149329651446	0.249607137217578	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI3L2	1.61015027157583	-2.15704146923613	12.3204184135687	0.000448030260892527	0.249607137217578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0
PNLDC1	2.34019464851289	-1.59424772446561	12.2832146489438	0.00045705042037715	0.249607137217578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0
MLNR	2.99464881098998	-3.14000462124379	12.1988538214552	0.000478188869924542	0.249607137217578	7	3	1	2	1	0	0	0	6	1	1	0	0	11	0	4	0	0	1	7	1	3	0	4	0	6	3	5	4	1	5	17	11	5	1	20	6	3	0	8
GNG4	3.1969161407009	-1.23134620883109	11.7843610529609	0.000597303900349018	0.2858155135864	0	1	2	7	4	2	0	19	16	7	0	17	2	4	4	10	0	53	110	1	7	18	9	2	14	3	1	0	12	0	30	20	10	47	3	5	35	2	66	0
ADGRB1	1.4854774903608	-0.566424420883355	11.6446214879612	0.000643884344489861	0.2858155135864	4	1	0	2	4	6	0	2	1	0	0	0	3	1	3	4	0	1	3	2	3	0	5	3	1	1	3	3	4	2	11	0	1	5	3	21	3	1	6	1
PCDHGA1	1.46766029538162	-2.53293028431853	11.4827569355512	0.000702448526399209	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1
RDH12	-1.28856657690695	0.626007468182437	11.3757239228421	0.000744102188508266	0.2858155135864	0	3	1	0	4	0	0	0	19	0	4	6	8	1	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	1	1	3	1
COL5A3	1.10612084739248	4.67622310675039	11.2877713479274	0.000780192815902009	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
FIGNL2	1.34479768104085	-0.189467370070824	11.2419973949917	0.000799670527909172	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0
CTNNA2	-2.59683936797145	-3.28743082265153	11.2159951525189	0.000810953110400429	0.2858155135864	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHDC1	1.56542814174499	-0.0517268565974732	11.2131092317439	0.000812215212474458	0.2858155135864	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	4	0	1	0	5	0	1	0	0	0	0	3	3	0	0	1	0	4	0	0	0
MMP3	3.1748386488206	0.503391821220243	11.1619114057418	0.000834938550280068	0.2858155135864	1	0	3	0	0	1	0	7	0	2	0	0	3	0	0	3	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2
FGF20	-2.23944320467954	-3.33439709688251	11.0985888798622	0.00086393431467514	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
KCNK9	2.5790075837086	-3.23590044716732	11.0896769781183	0.000868096044179288	0.2858155135864	3	119	215	26	3	18	6	6	271	49	21	51	21	80	11	38	14	32	4	66	6	10	29	25	34	73	22	12	7	8	145	2	24	17	21	26	12	31	5	31
TAGLN3	2.57733437004857	-3.23626993604502	11.0890355537277	0.000868396360720257	0.2858155135864	0	4	0	3	2	2	3	10	3	2	4	6	2	7	7	1	1	2	1	38	1	4	11	3	8	4	26	4	11	2	14	5	11	12	2	4	1	8	1	0
NME9	2.77917797298428	-2.95184031551261	10.9843650738903	0.00091883755930978	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRN	-2.98400318362589	3.20852544223087	10.9543928178443	0.000933819670406364	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	4	0	7	0	0	1	1	0	4	0	0	0	3	0	0	0
INHBE	-1.23176857136089	6.01971819543601	10.8710140968397	0.000976810287257377	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
