genes	logFC	logCPM	LR	PValue	FDR
SLC8A3	2.85028670347092	-1.7265173430569	19.8664675143193	8.30442631905713e-06	0.139440833281443
TFF3	-2.76594888523506	0.700502738716718	18.8433785151701	1.41902847688844e-05	0.139440833281443
CYP1B1	0.753487212897513	3.80671786493194	18.010634533621	2.19674350658726e-05	0.143908667116531
PHACTR2	0.495133001766102	4.82579788805651	16.7909195692411	4.17325230049254e-05	0.165403772213692
SPTBN5	1.37696341225043	2.32491712410412	16.7751380890713	4.20810492580502e-05	0.165403772213692
C19orf33	-2.74463302136938	-3.26112117725009	15.7280436269642	7.31318546308131e-05	0.199254865361901
CYP3A7	-1.83563831385591	3.62838693049133	15.7026516313682	7.41201888880493e-05	0.199254865361901
TMPRSS4	2.81488996926518	-2.54181001926563	15.5322601370871	8.11091906016999e-05	0.199254865361901
P2RY6	1.21896190687591	0.261508180545459	15.1054930575041	0.000101667026201327	0.210012825458514
TNFRSF8	1.5098773079175	-0.985119326147651	15.011457101059	0.000106860441387327	0.210012825458514
LPAR3	3.66448376940126	-2.98029259631462	14.3534530680669	0.000151501579451402	0.219073920287509
RNASE13	3.10658191239697	-2.93597765532643	14.302917709423	0.000155623477366185	0.219073920287509
ETV6	0.536661131980781	4.59683921421172	14.2682149910009	0.000158519218953816	0.219073920287509
APOA2	-0.85252540318326	10.8970580753858	14.1888318697751	0.000165348997963072	0.219073920287509
HIVEP3	0.960272196813864	3.26233562967806	14.1678131367332	0.000167206472513745	0.219073920287509
UBASH3B	0.935590733655739	2.56968531528495	14.0016515813862	0.000182650126512256	0.222671250234141
FAM124A	0.963829985335859	1.22609768886204	13.9018149154925	0.000192612387624302	0.222671250234141
ADAMTS9	1.19645405332577	4.59232654329824	13.6151366671793	0.000224369151557553	0.229287952018199
CACNA1F	2.59320958559844	-2.78547661378772	13.5861956835261	0.000227854936069422	0.229287952018199
MUC5B	-2.86548127307936	3.00247746391108	13.5086519284317	0.000237466067061022	0.229287952018199
FGF21	-1.62429156667549	3.75342854443439	13.3033718467258	0.000264929247006078	0.229287952018199
SPRR2A	3.61716194545218	-3.09583732810259	13.3000838600945	0.000265394246664252	0.229287952018199
LRIG1	0.537541854521797	5.92005087917029	13.2794109976884	0.000268336788094366	0.229287952018199
AKR1B10	-2.67618309542377	2.12438769043107	13.1509365880238	0.000287375562132977	0.235324663441642
