genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
hsa-mir-2355	-2.79510365211955	11.7609347387465	9.7707515273823	0.0017730996161526	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3661	1.56358033693971	12.9775276321562	7.51576470994911	0.00611613144638242	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7976	2.49550194081223	11.7713518861609	7.25449404582866	0.00707237950022295	1	5	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-26a-1	-2.33073311748116	11.6969603040366	6.83871223511598	0.00892031214228475	1	0	0	0	0	0	0	2	0	5	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1915	-2.48399298557055	11.791436421283	6.7320306581183	0.00946967337141	1	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-606	-2.34518992414264	11.6945262290308	6.59945303595441	0.0102010100148725	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	2	2	0	1	11	0	2	0	0	0	2	6	1	0	0	0	4	0	0
hsa-mir-26a-2	1.85560630939999	12.0837245410344	5.39145495713195	0.0202355914874061	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6815	-1.86314590024398	11.6475088918063	5.19007161676334	0.0227162801268545	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6779	-1.81201299067591	11.643175691317	5.11284871010198	0.0237492940544405	1	2	2	0	1	3	0	0	0	0	0	4	0	0	0	2	3	7	4	0	2	0	0	0	1	8	3	9	2	2	3	2	2	0	2	0	52	1	3	2	2
hsa-mir-4526	-1.81482887122108	11.6432240638192	5.05291299957504	0.0245845733913166	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6868	2.0878596592788	11.7075276641706	4.97695223652484	0.0256871979939034	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6809	-2.04037677754814	11.796849435498	4.64235118724281	0.031192239801767	1	0	1	0	1	0	1	0	6	6	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3666	-1.70030766485398	11.6331266068003	4.46406872512844	0.0346149538794693	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4645	-1.61048376814434	11.6261889654671	4.41198150575265	0.0356873645506538	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3934	-1.6079971330159	11.6259955264602	4.40092335036629	0.0359194778975139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-mir-641	1.79028603583356	11.9770676720333	4.3438222688376	0.0371434483322488	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3944	-1.76114744339178	11.9172316036738	4.27242265413409	0.038735666240772	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4655	1.81117337380201	11.6736057611613	4.25400923175595	0.0391577832403869	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	3	0	1	0	0	0	2	0	0	0	0	2	2	6	1	0	0	0	4
hsa-mir-33|hsa-mir-33a	-1.52764715405049	11.6198544392209	4.19800087912218	0.0404716635730558	1	0	1	1	3	0	4	0	9	8	3	1	4	4	3	6	2	0	0	3	1	0	1	0	2	1	1	2	0	2	2	2	0	0	1	1	1	2	1	0	1
hsa-mir-6766	-1.26343451424537	12.4667951981695	4.16163707536739	0.0413494206658051	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6855	-1.55002630679679	11.6216390302091	4.12165938813087	0.0423375314213582	1	0	0	0	0	0	2	0	2	2	0	0	0	3	0	3	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3649	-1.51383192069425	11.618947417565	4.05670798965337	0.043996190574618	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-889	-1.49002078205417	11.6172068129009	4.00439895707995	0.0453816750079784	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1226	-1.48651242275443	11.6169511298867	3.99701177433328	0.0455810078729786	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-125b-1	-1.47920057349832	11.616435693063	3.97403900039714	0.0462068127014286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	1	0	0	1	0
hsa-mir-587	-1.4185187793503	11.6120718308037	3.85192571097635	0.0496889098524442	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
