genes	logFC	logCPM	LR	PValue	FDR
MIR2355	-2.79510365211955	11.7609347387465	9.7707515273823	0.0017730996161526	1
MIR3661	1.56358033693971	12.9775276321562	7.51576470994911	0.00611613144638242	1
MIR7976	2.49550194081223	11.7713518861609	7.25449404582866	0.00707237950022295	1
MIR26A1	-2.33073311748116	11.6969603040366	6.83871223511598	0.00892031214228475	1
MIR1915	-2.48399298557055	11.791436421283	6.7320306581183	0.00946967337141	1
MIR606	-2.34518992414264	11.6945262290308	6.59945303595441	0.0102010100148725	1
MIR26A2	1.85560630939999	12.0837245410344	5.39145495713195	0.0202355914874061	1
MIR6815	-1.86314590024398	11.6475088918063	5.19007161676334	0.0227162801268545	1
MIR6779	-1.81201299067591	11.643175691317	5.11284871010198	0.0237492940544405	1
MIR4526	-1.81482887122108	11.6432240638192	5.05291299957504	0.0245845733913166	1
MIR6868	2.0878596592788	11.7075276641706	4.97695223652484	0.0256871979939034	1
MIR6809	-2.04037677754814	11.796849435498	4.64235118724281	0.031192239801767	1
MIR3666	-1.70030766485398	11.6331266068003	4.46406872512844	0.0346149538794693	1
MIR4645	-1.61048376814434	11.6261889654671	4.41198150575265	0.0356873645506538	1
MIR3934	-1.6079971330159	11.6259955264602	4.40092335036629	0.0359194778975139	1
MIR641	1.79028603583356	11.9770676720333	4.3438222688376	0.0371434483322488	1
MIR3944	-1.76114744339178	11.9172316036738	4.27242265413409	0.038735666240772	1
MIR4655	1.81117337380201	11.6736057611613	4.25400923175595	0.0391577832403869	1
MIR33A	-1.52764715405049	11.6198544392209	4.19800087912218	0.0404716635730558	1
MIR6766	-1.26343451424537	12.4667951981695	4.16163707536739	0.0413494206658051	1
MIR6855	-1.55002630679679	11.6216390302091	4.12165938813087	0.0423375314213582	1
MIR3649	-1.51383192069425	11.618947417565	4.05670798965337	0.043996190574618	1
MIR889	-1.49002078205417	11.6172068129009	4.00439895707995	0.0453816750079784	1
MIR1226	-1.48651242275443	11.6169511298867	3.99701177433328	0.0455810078729786	1
MIR125B1	-1.47920057349832	11.616435693063	3.97403900039714	0.0462068127014286	1
MIR587	-1.4185187793503	11.6120718308037	3.85192571097635	0.0496889098524442	1
MIR3125	1.65025408375878	11.6559124678215	3.82251981374299	0.0505681356188489	1
MIR4449	1.61368649369625	11.6520795642943	3.74118523119809	0.0530867762388804	1
MIR5587	1.29570665914844	12.3814683892663	3.71354540739777	0.0539726326194615	1
MIR23C	1.63048446662862	11.6540707219211	3.69777440571207	0.0544850982198037	1
MIR320A	1.25186184098771	12.4834111372578	3.68097438839489	0.0550366778377282	1
MIR1255A	-1.66605056825075	11.88172854399	3.63500682148024	0.0565763726668779	1
MIR6816	-1.36885603458174	11.6091453041976	3.5560209124389	0.0593298008861207	1
MIR361	-1.36852315824731	11.6091227688956	3.55536702644766	0.0593531806854783	1
MIR6806	1.50160823501267	11.640726881753	3.49772595319302	0.0614531582652815	1
MIR433	1.52694611293747	11.6436075394951	3.47798970444965	0.0621902470305098	1
MIRLET7A1	1.80385508287265	11.8263761420513	3.45360377890129	0.0631140183601483	1
MIR933	-1.31045782481054	11.6054819409162	3.39624676901597	0.0653449451814539	1
MIR132	1.48365761777716	11.6393724237432	3.38789040422122	0.0656769293653196	1
MIR629	-1.25019519360527	11.6012986609488	3.32273876387638	0.0683279143004547	1
MIR126	0.974007986295423	13.0480931000757	3.2975780733743	0.0693821114622614	1
MIR6882	-1.23980012597468	11.6006619063641	3.29713636615512	0.0694007730908891	1
MIR6738	-1.23557416995986	11.6003593292406	3.29396874916567	0.069534758821429	1
MIR1262	1.42737941045804	11.6339870932934	3.27294622184225	0.0704310297966112	1
MIR4725	1.47342318795536	11.6389304448676	3.20227700368057	0.0735358221833128	1
MIR101-1	-1.18447097191122	11.5971273212537	3.19334955830955	0.0739383677768414	1
MIR4441	-1.18447097191122	11.5971273212537	3.19334955830955	0.0739383677768414	1
MIR4461	1.41489630725134	12.0676962245779	3.18127026912881	0.0744868025875736	1
MIR583	-1.17687537167556	11.5966539103732	3.17838477775139	0.0746184575894927	1
MIR6846	-1.15785435588977	11.5955916431799	3.12445388801815	0.0771257098035703	1
MIR6780A	-1.13180718956887	11.5939072690158	3.08597800774645	0.0789697770118707	1
MIR3680-1	-1.1146800045162	11.5928481107445	3.05573401741117	0.0804526353672308	1
MIR762	1.47500424785389	11.6397572185495	3.01945570466524	0.0822710741631493	1
MIR1286	1.35757726946205	11.6282079407892	3.01667927823425	0.0824120571810617	1
MIR495	-1.26994519448822	11.6039094977733	2.99975299411696	0.0832772121916562	1
MIR548N	-1.04536528741333	11.5887611966285	2.91874123882095	0.0875561411149113	1
MIR107	-1.0308481128451	11.5879266650213	2.88999905191024	0.0891309779682596	1
MIR1227	1.6709903443022	11.8067516188769	2.87844928972307	0.0897724364034017	1
MIRLET7E	1.27193486982078	11.6206333048768	2.86911362059805	0.0902945869605237	1
MIR589	-1.29423504120508	12.0341334925366	2.82362031603574	0.0928866811566285	1
MIR32	1.23352985220806	11.6173501651428	2.80100272766368	0.0942053744540548	1
MIR2276	-1.71809476953714	11.7209487805142	2.73467632917475	0.0981913936599301	1
MIR3134	-1.10279147654887	11.593745213501	2.71121452913325	0.0996451016106734	1
MIR590	-0.8343638284904	13.1319969133853	2.70669209647556	0.0999280061234577	1
MIR5699	1.17221272956297	11.6121690429253	2.69763536970289	0.100497198271364	1
MIR760	-1.0737649249051	11.5917926308049	2.68770860461765	0.101125142036628	1
MIR1913	-1.03407372775667	11.5894532515734	2.62314389447608	0.10531559289206	1
MIR375	-1.02871070782079	11.5891405938782	2.61438113156635	0.105898832191501	1
MIR595	1.20331948496746	11.6160512111332	2.5993443683455	0.106907932988539	1
MIR6801	1.71111774071977	11.7302806617038	2.58572945284513	0.107830721469311	1
MIR548E	-1.00118985723667	11.5875560544184	2.56859872336109	0.109004250327357	1
MIR299	1.16686954823228	11.6130160630319	2.54266436400786	0.110807662318724	1
MIR6505	1.16686954823228	11.6130160630319	2.54266436400786	0.110807662318724	1
MIR6825	-0.985417425493793	11.5866644652408	2.54161708013762	0.110881173915117	1
MIR1299	-0.964239375121279	11.5854501310762	2.50829124117179	0.113248668241854	1
MIR340	-0.964239375121279	11.5854501310762	2.50829124117179	0.113248668241854	1
MIR8064	-0.964239375121279	11.5854501310762	2.50829124117179	0.113248668241854	1
MIR4514	1.1429397755826	11.6111128976951	2.50077361497166	0.113790389326232	1
MIR2681	-0.941609465579468	11.5841860159157	2.47071442732148	0.115985194669605	1
MIR4804	-0.941609465579468	11.5841860159157	2.47071442732148	0.115985194669605	1
MIR4511	-0.940219101585844	11.584108901571	2.46839980678931	0.116156126471555	1
MIR511	-0.940219101585844	11.584108901571	2.46839980678931	0.116156126471555	1
MIR6726	-0.938326094746835	11.5840243177727	2.46315022540311	0.116544833202251	1
MIR1185-2	-0.930174846519629	11.5835537386724	2.45165786021756	0.117400814098555	1
MIR152	1.10696227929595	11.6081273639887	2.44929887605808	0.117577375226878	1
MIR4786	1.45600612026067	11.8576054237783	2.42207875395276	0.119636079316578	1
MIR6760	-1.5854510951824	11.736410609934	2.40023774761048	0.121316811643142	1
MIR2467	1.07133763321353	11.6052982392207	2.39270802328526	0.121902296965006	1
MIR769	1.06705853488403	11.6049456152913	2.38694568116584	0.1223524725468	1
MIR1278	-0.884257113849184	11.5810598776223	2.37464645688138	0.123319513825109	1
MIR4642	1.04400169641487	11.6031361409068	2.35085039796602	0.125214683788087	1
MIR377	1.04264873274082	11.6030773562376	2.34577655287617	0.125622946504843	1
MIR1238	1.03709852026509	11.6025996121922	2.33997121689142	0.126091883758539	1
MIR6719	1.02324687481688	11.6015262004129	2.31831331877851	0.127858599440963	1
MIR567	1.01915790990135	11.6012111746975	2.31189774843574	0.128387217033609	1
MIR7974	1.0172573385924	11.6010657271472	2.30886783531255	0.128637715530007	1
MIR5693	1.01811772609586	11.6011972973258	2.30604526675762	0.128871561593027	1
MIR3178	1.01442875675801	11.6009079420528	2.30071429443881	0.129314518488635	1
MIR6504	-0.835597358760471	11.5784991128226	2.29214086772612	0.130030457497991	1
MIR6765	1.00524278214187	11.6001445092564	2.29005122338125	0.130205625855256	1
MIR5690	-1.17696261919517	12.0373350596773	2.28901571095671	0.130292527104216	1
MIR6876	1.00317657793776	11.599988803284	2.28667901757594	0.130488862493721	1
MIR3164	-1.31538043009894	11.8877135396504	2.2581820746711	0.132910003297019	1
MIR3197	0.967821159004062	11.5973195728044	2.23110331054117	0.13525723291265	1
MIR1301	0.966542022297865	11.5972227476667	2.2291728987908	0.135426325996594	1
MIR4799	-0.781383539176107	11.5757501617239	2.199039605738	0.138096752933985	1
MIR409	-1.46640143821655	11.662902760986	2.17815500178166	0.139982183424007	1
MIR136	0.925183021346388	11.594175753206	2.16389886024264	0.141285798284283	1
MIR1468	1.09710916908189	11.6100617388411	2.14363370694205	0.143162438637789	1
MIR1537	0.893685473188342	11.5941176473567	1.89301712257229	0.168862012303681	1
MIR4637	1.46104083995278	11.7124367831588	1.87993825193062	0.170341165973791	1
MIR593	-1.00475192839693	12.1092246272532	1.87396682136691	0.171021445206253	1
MIR3942	-1.27597497384018	11.8245047970838	1.85940763815657	0.172693182877524	1
MIR6865	0.843516549508769	11.590426201762	1.82874189065863	0.176276219383369	1
