miRNAid	miRNAname	geneID	geneName
MIMAT0000423	hsa-miR-125b-5p	ENSG00000162892	IL24
MIMAT0000423	hsa-miR-125b-5p	ENSG00000122861	PLAU
MIMAT0000423	hsa-miR-125b-5p	ENSG00000139899	CBLN3
MIMAT0000423	hsa-miR-125b-5p	ENSG00000211448	DIO2
MIMAT0000423	hsa-miR-125b-5p	ENSG00000103888	CEMIP
MIMAT0000423	hsa-miR-125b-5p	ENSG00000188803	SHISA6
MIMAT0000423	hsa-miR-125b-5p	ENSG00000259207	ITGB3
MIMAT0000423	hsa-miR-125b-5p	ENSG00000105509	HAS1
MIMAT0000423	hsa-miR-125b-5p	ENSG00000144063	MALL
MIMAT0000423	hsa-miR-125b-5p	ENSG00000168280	KIF5C
MIMAT0000423	hsa-miR-125b-5p	ENSG00000160791	CCR5
MIMAT0000423	hsa-miR-125b-5p	ENSG00000153012	LGI2
MIMAT0000423	hsa-miR-125b-5p	ENSG00000138675	FGF5
MIMAT0000423	hsa-miR-125b-5p	ENSG00000137460	FHDC1
MIMAT0000423	hsa-miR-125b-5p	ENSG00000176928	GCNT4
MIMAT0000423	hsa-miR-125b-5p	ENSG00000164171	ITGA2
MIMAT0000423	hsa-miR-125b-5p	ENSG00000111913	RIPOR2
MIMAT0000423	hsa-miR-125b-5p	ENSG00000187772	LIN28B
MIMAT0000423	hsa-miR-125b-5p	ENSG00000106236	NPTX2
MIMAT0000423	hsa-miR-125b-5p	ENSG00000104369	JPH1
MIMAT0017950	hsa-miR-2355-3p	ENSG00000137757	CASP5
MIMAT0017950	hsa-miR-2355-3p	ENSG00000105549	THEG
MIMAT0017950	hsa-miR-2355-3p	ENSG00000119771	KLHL29
MIMAT0017950	hsa-miR-2355-3p	ENSG00000101188	NTSR1
MIMAT0017950	hsa-miR-2355-3p	ENSG00000131459	GFPT2
MIMAT0016895	hsa-miR-2355-5p	ENSG00000135842	FAM129A
MIMAT0016895	hsa-miR-2355-5p	ENSG00000152192	POU4F1
MIMAT0016895	hsa-miR-2355-5p	ENSG00000103888	CEMIP
MIMAT0016895	hsa-miR-2355-5p	ENSG00000259207	ITGB3
MIMAT0016895	hsa-miR-2355-5p	ENSG00000144063	MALL
MIMAT0016895	hsa-miR-2355-5p	ENSG00000148344	PTGES
MIMAT0016895	hsa-miR-2355-5p	ENSG00000178919	FOXE1
MIMAT0000423	hsa-miR-125b-5p	ENSG00000267270	PARD6G-AS1
MIMAT0017950	hsa-miR-2355-3p	ENSG00000242808	SOX2-OT
MIMAT0016895	hsa-miR-2355-5p	ENSG00000204380	PKP4-AS1
MIMAT0018360	hsa-miR-3944-3p	ENSG00000234707	AC074351.1
