ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042403	thyroid hormone metabolic process	3/26	27/18723	6.8012199826651e-06	0.00381560650921089	0.00249395523307723	1734/51301/2304	3
BP	GO:0051209	release of sequestered calcium ion into cytosol	4/26	115/18723	1.81894460583073e-05	0.00381560650921089	0.00249395523307723	57214/1234/56704/4923	4
BP	GO:0051283	negative regulation of sequestering of calcium ion	4/26	116/18723	1.88213472328567e-05	0.00381560650921089	0.00249395523307723	57214/1234/56704/4923	4
BP	GO:0051282	regulation of sequestering of calcium ion	4/26	118/18723	2.0133431941908e-05	0.00381560650921089	0.00249395523307723	57214/1234/56704/4923	4
BP	GO:0051208	sequestering of calcium ion	4/26	122/18723	2.29579212347226e-05	0.00381560650921089	0.00249395523307723	57214/1234/56704/4923	4
BP	GO:0097553	calcium ion transmembrane import into cytosol	4/26	142/18723	4.1642259693025e-05	0.0052212611741496	0.00341271868498473	57214/1234/56704/4923	4
BP	GO:0031644	regulation of nervous system process	4/26	144/18723	4.39817427425357e-05	0.0052212611741496	0.00341271868498473	388336/3673/4885/4923	4
BP	GO:0060402	calcium ion transport into cytosol	4/26	160/18723	6.63131579838031e-05	0.00688827928556755	0.00450231441047927	57214/1234/56704/4923	4
BP	GO:0051235	maintenance of location	5/26	327/18723	7.66756161120193e-05	0.00707971522100978	0.00462744069167274	57214/3690/1234/56704/4923	5
BP	GO:0060401	cytosolic calcium ion transport	4/26	182/18723	0.000109246494869138	0.00907838372362533	0.00593380961605	57214/1234/56704/4923	4
BP	GO:0033627	cell adhesion mediated by integrin	3/26	72/18723	0.000133044731774946	0.0100509247368164	0.00656948149242795	5328/3690/3673	3
BP	GO:0030213	hyaluronan biosynthetic process	2/26	14/18723	0.0001670216402782	0.0112041832763948	0.00732327388766828	57214/3036	2
BP	GO:0051279	regulation of release of sequestered calcium ion into cytosol	3/26	79/18723	0.000175276032001363	0.0112041832763948	0.00732327388766828	57214/56704/4923	3
BP	GO:0051651	maintenance of location in cell	4/26	214/18723	0.000203638888436315	0.0120874225921841	0.00790057642354426	57214/1234/56704/4923	4
BP	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	2/26	17/18723	0.000248975859505128	0.0137932626165841	0.00901554691260673	388336/4885	2
BP	GO:0032305	positive regulation of icosanoid secretion	2/26	18/18723	0.00027985869589659	0.0145351610181291	0.00950046625543687	4923/9536	2
BP	GO:0014909	smooth muscle cell migration	3/26	97/18723	0.000321426678407713	0.0151725364676414	0.00991706734727085	5328/3690/3673	3
BP	GO:0006590	thyroid hormone generation	2/26	20/18723	0.000346943805599824	0.0151725364676414	0.00991706734727085	1734/2304	2
BP	GO:0010522	regulation of calcium ion transport into cytosol	3/26	102/18723	0.000372596546152475	0.0151725364676414	0.00991706734727085	57214/56704/4923	3
BP	GO:0032303	regulation of icosanoid secretion	2/26	21/18723	0.000383136872800494	0.0151725364676414	0.00991706734727085	4923/9536	2
BP	GO:0019233	sensory perception of pain	3/26	103/18723	0.000383421499182274	0.0151725364676414	0.00991706734727085	3673/4923/9536	3
BP	GO:2000193	positive regulation of fatty acid transport	2/26	22/18723	0.000421090825031955	0.0159057488909797	0.0103963093644253	4923/9536	2
BP	GO:0014812	muscle cell migration	3/26	110/18723	0.000464904494777274	0.0160973181316631	0.0105215227765383	5328/3690/3673	3
BP	GO:0018958	phenol-containing compound metabolic process	3/26	110/18723	0.000464904494777274	0.0160973181316631	0.0105215227765383	1734/51301/2304	3
BP	GO:0062149	detection of stimulus involved in sensory perception of pain	2/26	25/18723	0.00054547221667962	0.0181314964824306	0.0118511016339656	3673/4923	2
BP	GO:0007498	mesoderm development	3/26	129/18723	0.000739834813859332	0.0236462588583502	0.0154556584595715	3690/3673/5457	3
BP	GO:0030212	hyaluronan metabolic process	2/26	31/18723	0.000841163025808923	0.0251220360495484	0.0164202553696459	57214/3036	2
BP	GO:0070588	calcium ion transmembrane transport	4/26	312/18723	0.000846470528745314	0.0251220360495484	0.0164202553696459	57214/1234/56704/4923	4
BP	GO:2000191	regulation of fatty acid transport	2/26	32/18723	0.000896475227788583	0.0254658432956384	0.0166449745272651	4923/9536	2
BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	4/26	319/18723	0.000919344523308244	0.0254658432956384	0.0166449745272651	57214/1234/56704/4923	4
BP	GO:0048333	mesodermal cell differentiation	2/26	33/18723	0.000953498380175772	0.0255599081911634	0.01670645718746	3690/3673	2
BP	GO:0046718	viral entry into host cell	3/26	144/18723	0.00101748676738029	0.026422859490407	0.0172704990779023	3690/1234/3673	3
BP	GO:0032368	regulation of lipid transport	3/26	149/18723	0.00112282264435467	0.0282747156805676	0.0184809085960769	3690/4923/9536	3
BP	GO:0044409	entry into host	3/26	151/18723	0.00116681488231138	0.0283794814889631	0.0185493855827538	3690/1234/3673	3
BP	GO:0031646	positive regulation of nervous system process	2/26	37/18723	0.00119861083698884	0.0283794814889631	0.0185493855827538	3673/4923	2
BP	GO:0071392	cellular response to estradiol stimulus	2/26	38/18723	0.00126412157168936	0.0283794814889631	0.0185493855827538	3673/5457	2
BP	GO:0051480	regulation of cytosolic calcium ion concentration	4/26	353/18723	0.00133752732115994	0.0283794814889631	0.0185493855827538	57214/1234/56704/4923	4
BP	GO:1903169	regulation of calcium ion transmembrane transport	3/26	159/18723	0.00135365585681032	0.0283794814889631	0.0185493855827538	57214/56704/4923	3
BP	GO:1904062	regulation of cation transmembrane transport	4/26	357/18723	0.00139419710067875	0.0283794814889631	0.0185493855827538	57214/388336/56704/4923	4
BP	GO:0032892	positive regulation of organic acid transport	2/26	40/18723	0.00140019102412453	0.0283794814889631	0.0185493855827538	4923/9536	2
BP	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	2/26	40/18723	0.00140019102412453	0.0283794814889631	0.0185493855827538	57214/4923	2
BP	GO:1903793	positive regulation of anion transport	2/26	43/18723	0.00161684869598127	0.0308434635559143	0.0201598925769229	4923/9536	2
BP	GO:0010469	regulation of signaling receptor activity	3/26	173/18723	0.00172400509506725	0.0308434635559143	0.0201598925769229	5328/388336/4885	3
BP	GO:0051099	positive regulation of binding	3/26	173/18723	0.00172400509506725	0.0308434635559143	0.0201598925769229	3673/9750/5457	3
BP	GO:0001659	temperature homeostasis	3/26	174/18723	0.00175263997621023	0.0308434635559143	0.0201598925769229	1734/4923/9536	3
BP	GO:0032309	icosanoid secretion	2/26	45/18723	0.00176960463724117	0.0308434635559143	0.0201598925769229	4923/9536	2
BP	GO:0050954	sensory perception of mechanical stimulus	3/26	175/18723	0.00178157190214668	0.0308434635559143	0.0201598925769229	57214/3673/9750	3
BP	GO:0052126	movement in host environment	3/26	175/18723	0.00178157190214668	0.0308434635559143	0.0201598925769229	3690/1234/3673	3
BP	GO:1905952	regulation of lipid localization	3/26	181/18723	0.00196146468447012	0.0332648398529525	0.0217425516044379	3690/4923/9536	3
BP	GO:2001257	regulation of cation channel activity	3/26	184/18723	0.00205551201527551	0.034162609693879	0.0223293515764666	388336/56704/4923	3
BP	GO:0006575	cellular modified amino acid metabolic process	3/26	188/18723	0.00218522769542608	0.0356063571548838	0.0232730132268289	1734/51301/2304	3
BP	GO:0071715	icosanoid transport	2/26	53/18723	0.00244640850772071	0.0387872415883676	0.025352101665207	4923/9536	2
BP	GO:0010524	positive regulation of calcium ion transport into cytosol	2/26	54/18723	0.00253833739375166	0.0387872415883676	0.025352101665207	57214/4923	2
BP	GO:0006816	calcium ion transport	4/26	422/18723	0.00256714595350207	0.0387872415883676	0.025352101665207	57214/1234/56704/4923	4
BP	GO:0042060	wound healing	4/26	422/18723	0.00256714595350207	0.0387872415883676	0.025352101665207	11009/5328/3690/3673	4
BP	GO:0051701	biological process involved in interaction with host	3/26	203/18723	0.00271672849354835	0.0397572727836246	0.0259861330753693	3690/1234/3673	3
BP	GO:0043388	positive regulation of DNA binding	2/26	56/18723	0.00272703315122335	0.0397572727836246	0.0259861330753693	3673/5457	2
BP	GO:0097120	receptor localization to synapse	2/26	57/18723	0.00282379141371244	0.0404581149102593	0.0264442172318624	388336/3800	2
BP	GO:0006874	cellular calcium ion homeostasis	4/26	448/18723	0.00318449533385771	0.043424157782127	0.0283828810128286	57214/1234/56704/4923	4
BP	GO:0007596	blood coagulation	3/26	217/18723	0.00327924491742306	0.043424157782127	0.0283828810128286	5328/3690/3673	3
BP	GO:0042445	hormone metabolic process	3/26	218/18723	0.00332195178835811	0.043424157782127	0.0283828810128286	1734/51301/2304	3
BP	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	2/26	62/18723	0.00333151510848954	0.043424157782127	0.0283828810128286	388336/3690	2
BP	GO:0031503	protein-containing complex localization	3/26	220/18723	0.00340839201473914	0.043424157782127	0.0283828810128286	388336/3690/3800	3
BP	GO:0099601	regulation of neurotransmitter receptor activity	2/26	63/18723	0.00343781644552143	0.043424157782127	0.0283828810128286	388336/4885	2
BP	GO:0007599	hemostasis	3/26	222/18723	0.00349620685533046	0.043424157782127	0.0283828810128286	5328/3690/3673	3
BP	GO:0050817	coagulation	3/26	222/18723	0.00349620685533046	0.043424157782127	0.0283828810128286	5328/3690/3673	3
BP	GO:0055074	calcium ion homeostasis	4/26	460/18723	0.00350110538074911	0.043424157782127	0.0283828810128286	57214/1234/56704/4923	4
BP	GO:0032890	regulation of organic acid transport	2/26	67/18723	0.00387873557441146	0.0474004303284695	0.0309818507182092	4923/9536	2
BP	GO:0007160	cell-matrix adhesion	3/26	233/18723	0.00400407251814536	0.0482229603272289	0.0315194724540504	5328/3690/3673	3
MF	GO:0001618	virus receptor activity	3/26	76/18368	0.000165269870640634	0.00867633968844003	0.00479255866062868	3690/1234/3673	3
MF	GO:0140272	exogenous protein binding	3/26	77/18368	0.000171808706701783	0.00867633968844003	0.00479255866062868	3690/1234/3673	3
MF	GO:0019956	chemokine binding	2/26	33/18368	0.000990205640398362	0.0333369232267449	0.0184143505056538	3690/1234	2
MF	GO:0015026	coreceptor activity	2/26	48/18368	0.00208803495853966	0.0475508594590961	0.0262657170540083	3690/1234	2
MF	GO:0016860	intramolecular oxidoreductase activity	2/26	51/18368	0.00235400294351961	0.0475508594590961	0.0262657170540083	3690/9536	2
MF	GO:0050840	extracellular matrix binding	2/26	56/18368	0.00283094643746317	0.04765426503063	0.0263228352957101	3690/3673	2
