protein2	protein1	combined_score	hgnc_symbol.x	hgnc_symbol.y	identical
ENSP00000222115	ENSP00000393379	221	KIF5C	HAS1	HAS1,KIF5C
ENSP00000222115	ENSP00000378177	527	CEMIP	HAS1	CEMIP,HAS1
ENSP00000222115	ENSP00000427567	188	FHDC1	HAS1	FHDC1,HAS1
ENSP00000222115	ENSP00000253778	431	GFPT2	HAS1	GFPT2,HAS1
ENSP00000222115	ENSP00000371548	255	LGI2	HAS1	HAS1,LGI2
ENSP00000265634	ENSP00000364265	468	FOXE1	NPTX2	FOXE1,NPTX2
ENSP00000265634	ENSP00000393379	174	KIF5C	NPTX2	KIF5C,NPTX2
ENSP00000265634	ENSP00000371548	246	LGI2	NPTX2	LGI2,NPTX2
ENSP00000267406	ENSP00000371548	179	LGI2	CBLN3	CBLN3,LGI2
ENSP00000292303	ENSP00000296585	262	ITGA2	CCR5	CCR5,ITGA2
ENSP00000292303	ENSP00000375795	224	IL24	CCR5	CCR5,IL24
ENSP00000292303	ENSP00000452786	182	ITGB3	CCR5	CCR5,ITGB3
ENSP00000292303	ENSP00000361850	230	PLAU	CCR5	CCR5,PLAU
ENSP00000292303	ENSP00000376849	296	CASP5	CCR5	CASP5,CCR5
ENSP00000296585	ENSP00000452786	977	ITGB3	ITGA2	ITGA2,ITGB3
ENSP00000296585	ENSP00000361850	306	PLAU	ITGA2	ITGA2,PLAU
ENSP00000311697	ENSP00000361850	172	PLAU	FGF5	FGF5,PLAU
ENSP00000311697	ENSP00000390084	167	SHISA6	FGF5	FGF5,SHISA6
ENSP00000342385	ENSP00000450980	310	DIO2	PTGES	DIO2,PTGES
ENSP00000361850	ENSP00000452786	930	ITGB3	PLAU	ITGB3,PLAU
ENSP00000364265	ENSP00000366413	162	POU4F1	FOXE1	FOXE1,POU4F1
ENSP00000364265	ENSP00000450980	329	DIO2	FOXE1	DIO2,FOXE1
ENSP00000371548	ENSP00000482957	270	RIPOR2	LGI2	LGI2,RIPOR2
ENSP00000390084	ENSP00000393379	250	KIF5C	SHISA6	KIF5C,SHISA6
ENSP00000390084	ENSP00000420659	299	KLHL29	SHISA6	KLHL29,SHISA6
ENSP00000393379	ENSP00000427567	283	FHDC1	KIF5C	FHDC1,KIF5C
