Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
N1	0.0296357802105539	0	0.0183607294346002	0	0	0.177079823093416	0	0.0148431452676555	0	0	0.0349820249737102	0.00492809375481613	0.346743245133808	0.0811896023462366	0	0.143012584093826	0	0	0.0874303183410752	0	0	0.0617946533503018	0.378	0.0392345526345244	1.07763354360659
N2	0.0120528331544918	0	0	0	0	0.257143112497618	0	0.0722233074351114	0	0	0.067126655226979	0.0325732701567036	0.087494719457278	0.253472471132492	0.00355270782390096	0.0310126251559741	0	0	0.0183064087628036	0	0	0.165041889196647	0.256	0.0610944229053789	1.08361219562545
N3	0.00379999659352351	0	0.00502577428729247	0	0	0.228355147607367	0	0.00848310434895409	0.0169145721068398	0	0.103686716471889	0.00580327415454105	0.223832282899108	0.130457148190788	0.000911902660933519	0.108589744743637	0	0	0.120811389116206	0	0	0.0433289468189216	0.34	0.0466690809409861	1.06405704073561
N4	0	0	0.00101442270146266	0	0	0.187787436101161	0	0.010964676614084	0	0	0.081532345813321	0	0.315699140622134	0.113337663454586	0.00904902201376014	0.0257297930764744	0	0	0	0.109518508649103	0	0.145366990953914	0.275	0.0577627074741848	1.08846396058312
N5	0	0.0236291181896745	0	0	0	0.191657394728906	0.0017660486160909	0.000787885620938763	0.00176705543228764	0	0.137542919332365	0	0.356058351678815	0.181860586909777	0	0	0	0	0	0.00777094467768175	0	0.097159694813464	0.151	0.097952841117406	1.06961686664897
N6	0.016707175876472	0	0.000908697105020015	0.00178881948900865	0	0.138357181352932	0	0.00872414640408926	0	0	0.044117660223117	0.0026657424780592	0.175438635130825	0.258450925634128	0.0186191522511377	0.244675959691806	0	0	0.0469087237164591	0	0	0.042637180646946	0.198	0.0774653485521438	1.07266887806917
N7	0.0400254336611176	0	0	0	0	0.0332186276357758	0.0416835109888817	0.00432638667164787	0.00509965395575348	0.0117070303157184	0.109999380730113	0	0.0844903871735901	0.376993761480987	0	0	0	0	0	0.0525589109214191	0	0.239896916464996	0.016	0.227692765339812	1.03136521302793
N8	0.0302055972757557	0	0.00968458745405811	0	0	0.0526471901901119	0.0458593474089808	0.0260816894887063	0	0	0.112155275890051	0	0.324056716624274	0.193299021744307	0.020631043462659	0.0913476300703535	0	0	0.0344050753537904	0	0.00432378186616554	0.0553030431707872	0.139	0.101918781647341	1.05516237400731
N9	0.0562979219032145	0	2.8366829898738e-05	0.0432038951861453	0	0.208070887891759	0.00365653246787118	0.0398378923458372	0	0	0.057762127783642	0	0.145363926697546	0.149740846108871	0.0100471773816274	0.113821129005798	0	0	0.124667934490554	0	0.013987550517898	0.0335138113893364	0.45	0.0270426323578627	1.06452794301903
N10	0	0	0.000996349199551418	0.00177910949315803	0	0.121894166435173	0.0919901326144388	0	0	0	0.124869922481858	0	0.258499083799462	0.156591447868184	0.00318249119556646	0.0983428577118878	0	0	0	0.00481337753455907	0	0.137041061666162	0.241	0.064488143784948	1.07850087836843
N11	0.0410124639579913	0	0.00166629063465536	0	0	0.209805722576122	0	0	0	0	0.0997677586527978	0	0.23951662101482	0.127509756170793	0.00358174723835064	0.129871270198934	0	0	0	0.0266841041816495	0.0102586515302344	0.110325613843652	0.198	0.0776089350665624	1.06408185334487
N12	0.0404254791547373	0	0	0	0	0.0786794176327783	0.064030583588606	0	0	0	0.104553867577624	0.0332909065398541	0.156833989406188	0.274608056116146	0.000876376032610252	0	0	0	0.0387507177148043	0	0	0.207950606236652	0.0679999999999999	0.140213300472632	1.05657209428434
N13	0.0126434830483743	0	0	0	0	0.112759004429437	0	0	0	0	0.036127666448134	0	0.233160015097064	0.145729957829734	0.0415758134363844	0.296358959520676	0	0	0.0825957375676639	0	0.00398972467650939	0.035059637946024	0.464	0.024721421276921	1.08913302673001
N14	0.00382554458664986	0	0.00377664166537041	0	0	0.09506041241532	0	0	0	0	0.0949417842304104	0	0.261396871518824	0.374529206705537	0.00880984678678755	0.0361552636309296	0	0	0	0.00930643146545545	0.0222590300908899	0.0899389669038264	0.086	0.12648618371682	1.0716564293615
N15	0.0421644726835756	0	0	0	0	0.110138781932333	0.00369355607051699	0.0174950558075486	0.00322482505708872	0.00169496899136608	0.089332800336816	0	0.0370600145051207	0.458737211641408	0	0.0649760096325816	0	0	0	0.0585167447078203	0	0.112965558633824	0.078	0.134043792232407	1.07444853462015
N16	0.0157628628205903	0	0	0.0109690569328078	0	0.198239766584527	0.000552979850074601	0.0300335690082039	0	0	0	0.0267630578268121	0.36693096602899	0.146440425721536	0	0.031191814532987	0	0	0	0	0	0.173115500693471	0.205	0.0741786255886839	1.09679944931839
N17	0	0	0.00142320247453969	0	0	0.155600789840069	0	0.00936637555035614	0	0	0.0209529308160848	0.000175361932719593	0.332453452659069	0.0299405555555508	0	0.336464646900868	0	0	0	0.039562961358433	0.0740597229123096	0	0.254	0.0616300123203856	1.0794331139078
