N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
A1BG-AS1	3.68988669409773	3.65689055796569	2.89912641003294	3.3573442966232	6.93924703997101	4.46671474787741	5.74910390775308	4.71103117705338	3.34132800164643	3.55711729059947	5.46780966480098	4.44060474725317	3.63014465470845	5.17178180961021	3.78590105419741	6.08077386899544	1.23150657903207	4.51058497815134	2.04974085265327	3.6245674946326	4.15551519015074	3.05442801520368	4.65438192875421	4.49919502877102	2.11375476292272	3.7449028220117	4.25991496957767	6.23503122047519	5.68306412876238	2.36508381465913	2.93426112238685	2.65312816471212	4.39125590312209	3.61580441068531	5.10404437704646	35.8658551502419	3.48376472612515	5.0220222496253	4.24666966099892	3.14163293324224
A2M-AS1	0.919873471016488	0.668299487855757	0.682587973434892	0.466306691006455	0.357884068370768	0.623264981188104	1.30810473266051	1.23473181395835	0.514184711456155	0.634163460375753	0.742043857945526	0.769618959245225	1.13984389243588	0.905872022136742	0.592105088257751	0.94648782361024	0.627663845846089	0.578343838955915	1.77984999504722	0.677126089896008	1.07158073048937	0.608107425187034	0.525211654335545	0.701972947007158	0.971354666466356	0.852810161591288	0.495492350949264	1.01150703007535	0.683538880418291	0.350411596839616	0.898141098503287	0.51567860537833	0.271613850396411	0.603121934116765	0.668411711740114	5.53445018589668	1.03508897778205	0.361402742734769	0.387886493837807	1.19008172972975
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21225367741584	0	0	0.0984702841449696	0	0	0	0.0849670597646501	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0.0566181864386376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181441469355694	0	0	0	0	0	0	0	0	0	0
AATBC	0.0183865649794204	0	0	0	0.0284033603708292	0.0442583689641381	0	0	0.0184996780880081	0.0167767301303875	0	0.0192290698794685	0	0	0	0.0890931081113016	0	0.0243844191435044	0.0435031398764463	0.0312334498921972	0	0.054697229216659	0	0.0315700594960954	0.0198568417660896	0.0547910157162818	0.0303871908442045	0.00947725777050489	0.0192131363597263	0	0	0	0.0162871716610295	0.00753455568996461	0.0568715928142727	0.0120826525605307	0.00895219153158937	0	0.0610559126123031	0.0324375368568857
AB015752.1	0	0	0	0.23066291560542	0	0.062201640810614	0	0	0	0	0	0.0540498769276411	0	0	0	0	0	0	0	0.0658442191931528	0	0	0	0.354953794657368	0	0.23101333096986	0	0	0	0	0.15842321460684	0.0724315970132833	0.0686709988545481	0	0.411061013410922	0.101887281280323	0	0	0	0
ABALON	0.5886502739733	0.171064690533055	0.369999774416688	0.326944178153627	0.339487072738466	0.415636397555317	0.575308623263066	0.962750426392777	0.78179853469033	0.773439877981692	0.403624720068927	0.574581718468828	0.323479653085752	0.531951184256202	0.501489271375301	0.25354108071144	0.10844764714356	1.08253323928585	0.445684295865053	0.31998283715096	0.580854987167681	0.340222432132267	0.201657723997813	0.43124181463365	0.534006090942284	0.257274962043504	0.259427514756792	0.072820001639686	0.738135785212605	0.363264318573407	0.529298370189328	0.175997742821556	0.354577632551124	0.385952963036127	0.353747198964417	7.51995596686627	0.435641959524102	0.195899925708538	0.826567162275919	0.47770792915536
ABCA9-AS1	0	0.0408281069503851	0	0	0	0.0601213183754764	0	0	0	0	0.0302222247606205	0.0208968754944325	0	0.0130216504198553	0.0255340222990555	0	0.0460146872941347	0	0.0283657931448561	0	0	0	0	0.0171541215143778	0	0.0297716176812885	0.0495341699580778	0.0463466431840544	0.0626386800115758	0.0513780749346112	0	0.0140018271149424	0	0.0245641635002592	0	0.295439039699131	0	0	0	0.013219109919771
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0.0963373689064554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168550697910939
ABHD15-AS1	0.239615287993837	0	0.941322955501279	0	0	0.576778851152966	0.278791013514035	0	0	0.218635782501361	0.241616181909773	0	0.774560276592872	0	0.204135632818652	0.258015335076936	0	0	0	0.814073982751707	0	0	0.256520487144277	0	0.258776060876793	1.90410987950915	0	0	0.250387236944668	0	0.489671754239325	0	1.48579070248931	0.392763897677941	0	1.57462161978681	0.233331452005169	0	0	0
AC000032.1	0	0	0.537761892093908	0	0	0.732231128076067	0	1.2720658637929	0	0.166537235550934	0	0	0	0	1.78816162271491	1.27746492784528	3.64275131389616	2.66261964961272	0	0.775111175023265	1.68844252634434	1.31862176852893	2.05164145217021	0	1.47834389156701	0	2.41315141628762	0	0.667529313972649	0	0	0	2.99103458554657	1.19669000188635	0	0	0	2.18287776179659	2.25116365140573	0
AC000036.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219254031692248	0	0	0	0	0.02255384680856	0	0	0	0	0.0580205404729328	0	0	0	0
AC000058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0793141039638501	0
AC000061.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
