N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23	genes
MIR1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1-1
MIR100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-100
MIR101-1	0	0	0	0	0	0	0	0	0	1.63539565311018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-101-1
MIR101-2	0	11.1791245221293	2.90155042877042	9.27890160871326	2.02839528860691	3.16066359459647	7.44770278958921	4.11813849970757	0.990850890120345	7.18855232136342	6.95111169494271	16.8219847730181	2.3875182152121	2.99497959656672	7.13128765637907	6.3624880429961	0	4.78881409509101	13.9802837642505	0.418219326303762	0	5.85921527916474	12.1241166506323	8.4545313178005	3.19062351982156	0.978210295242336	4.88265389586767	0	0.514532014380801	10.5508546740719	4.52811847464167	3.68048027021343	1.74469614672215	2.01777057323558	0.870305002752794	1.29430436439619	5.27431644807288	5.12084558548555	1.40150636454803	2.17171091539094	hsa-mir-101-2
MIR103A1	0.521023940172647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.986206063989764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-103-1|hsa-mir-103a-1
MIR103A2	0	0	0	0	0	0.460930107545319	0	0	0	0.524165273432749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24079803548616	0	0	0	0	0	0.586978320786883	0	0	0.941626267509936	0	0	0	0	0	0	hsa-mir-103-2|hsa-mir-103a-2
MIR105-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-105-1
MIR105-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-105-2
MIR106B	0	0	0	0	1.12551201989774	0	0	1.0155842912558	0	0	0	0.380985717855812	0	0.949627676960181	0	0	0	0	0.517156838433656	0	0	1.85779996656443	0.5849918426339	1.25099569092658	0	0	0	0	0	0	1.11669046393602	0	0	0.895693278850915	0	0	0.532109530792276	0	0	0	hsa-mir-106b
MIR107	0	0	0	0	0	0	0	0	0	0	0	1.07726996083367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-107
MIR10B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-10b
MIR1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1179
MIR1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1180
MIR1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1183
MIR1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1184
MIR1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1184-2
MIR1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1184-3
MIR1185-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1185-1
MIR1185-2	0	0	0	0	1.07316262362342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1185-2
MIR1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1193
MIR1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1197
MIR1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649592842871284	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1200
MIR1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1202
MIR1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458055703004323	0	1.13526747433852	0	0	0	0	0	0	0	0.603421450917526	0	0	0	0	0	0	0.538638929663257	0	0	0	0	0	0	0	0	0.465001631295473	hsa-mir-1203
MIR1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1205
MIR1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1207
