#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000720	hsa-miR-376c-3p	ENSG00000067048	DDX3Y	protein_coding	chrY	15031399	15031405	15031378	15031406	+	4	0	AGO1-4,AGO2	1	0	0	1	1	1	1	2	BC-1,MCF7
MIMAT0000720	hsa-miR-376c-3p	ENSG00000221978	CCNL2	protein_coding	chr1	1322078	1322083	1322077	1322097	-	3	0	AGO1-4	1	0	0	0	1	0	0	1	BT474
MIMAT0000720	hsa-miR-376c-3p	ENSG00000130764	LRRC47	protein_coding	chr1	3697146	3697151	3697146	3697151	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4	BCBL-1,HeLa
MIMAT0000720	hsa-miR-376c-3p	ENSG00000116251	RPL22	protein_coding	chr1	6245155	6245161	6245154	6245174	-	2	0	AGO1-4	1	0	1	0	1	0	0	2	MCF7
MIMAT0000720	hsa-miR-376c-3p	ENSG00000116285	ERRFI1	protein_coding	chr1	8072374	8072379	8072374	8072379	-	13	1	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0000720	hsa-miR-376c-3p	ENSG00000171603	CLSTN1	protein_coding	chr1	9789256	9789261	9789256	9789261	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4	HEK293,HS5
MIMAT0000720	hsa-miR-376c-3p	ENSG00000160049	DFFA	protein_coding	chr1	10521463	10521468	10521463	10521468	-	18	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	6	HEK293,LCL-BACD3,MCF7
MIMAT0000720	hsa-miR-376c-3p	ENSG00000130940	CASZ1	protein_coding	chr1	10696992	10697012	10696992	10697012	-	2	0	AGO1,AGO1-4	0	0	0	0	1	0	0	9	HEK293,MCF7
MIMAT0000720	hsa-miR-376c-3p	ENSG00000244038	DDOST	protein_coding	chr1	20978652	20978657	20978652	20978657	-	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	6	HEK293,HeLa,MCF7
MIMAT0000720	hsa-miR-376c-3p	ENSG00000127483	HP1BP3	protein_coding	chr1	21071047	21071052	21071046	21071069	-	21	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	3	HEK293,MCF7,hESCs
