#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0022702	hsa-miR-514a-5p	ENSG00000165775	FUNDC2	protein_coding	chrX	154283335	154283363	154283335	154283363	+	3	0	AGO1,AGO2	0	0	0	1	0	0	0	2	Flp-In-T-REx-293,HEK293
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116251	RPL22	protein_coding	chr1	6245404	6245409	6245403	6245431	-	2	0	AGO2	0	0	1	1	0	0	0	1	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116251	RPL22	protein_coding	chr1	6246521	6246527	6246520	6246548	-	4	0	AGO1,AGO1-4	0	0	1	1	0	0	0	1	HEK293,Liver
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116237	ICMT	protein_coding	chr1	6284822	6284828	6284822	6284828	-	1	0	AGO2	0	0	1	0	0	0	0	1	Huh7.5
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116237	ICMT	protein_coding	chr1	6284870	6284876	6284869	6284891	-	5	0	AGO1,AGO2	0	1	1	0	0	0	0	1	HEK293,HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000160049	DFFA	protein_coding	chr1	10518114	10518119	10518114	10518119	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000177000	MTHFR	protein_coding	chr1	11848612	11848618	11848612	11848618	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116685	KIAA2013	protein_coding	chr1	11980216	11980222	11980216	11980222	-	4	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000173641	HSPB7	protein_coding	chr1	16341833	16341839	16341832	16341860	-	1	0	AGO2	0	0	1	1	0	0	0	4	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000126698	DNAJC8	protein_coding	chr1	28527606	28527612	28527606	28527634	-	10	0	AGO1,AGO1-4,AGO2,AGO3	0	0	0	1	0	1	0	4	HEK293,HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000160058	BSDC1	protein_coding	chr1	32830859	32830865	32830858	32830886	-	14	2	AGO1,AGO1-4,AGO2	0	0	1	1	0	1	0	0	HEK293,MCF7,hESCs
MIMAT0022702	hsa-miR-514a-5p	ENSG00000160058	BSDC1	protein_coding	chr1	32841957	32841985	32841957	32841985	-	3	0	AGO2	0	0	0	1	0	0	0	0	HEK293S
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116514	RNF19B	protein_coding	chr1	33402410	33402438	33402410	33402438	-	1	0	AGO2	0	0	0	1	0	0	0	3	Huh7.5
MIMAT0022702	hsa-miR-514a-5p	ENSG00000004455	AK2	protein_coding	chr1	33474666	33474689	33474666	33474689	-	4	0	AGO2	0	1	0	0	0	0	0	4	DG75-BCBL-1
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116922	C1orf109	protein_coding	chr1	38147946	38147952	38147946	38147952	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	1	DG75-BCBL-1,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116922	C1orf109	protein_coding	chr1	38148033	38148039	38148033	38148039	-	2	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000204084	INPP5B	protein_coding	chr1	38395187	38395192	38395186	38395214	-	1	0	AGO1-4	0	0	1	1	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000198815	FOXJ3	protein_coding	chr1	42643191	42643219	42643191	42643219	-	4	1	AGO2	0	0	0	1	0	0	0	1	HEK293
MIMAT0022702	hsa-miR-514a-5p	ENSG00000198815	FOXJ3	protein_coding	chr1	42654474	42654502	42654474	42654502	-	9	0	AGO1,AGO2	0	0	0	1	0	0	0	1	HEK293,LCL-BACD3
MIMAT0022702	hsa-miR-514a-5p	ENSG00000198815	FOXJ3	protein_coding	chr1	42664823	42664851	42664823	42664851	-	2	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1	MCF7,motor-cortex
MIMAT0022702	hsa-miR-514a-5p	ENSG00000142961	MOB3C	protein_coding	chr1	47073533	47073539	47073533	47073539	-	1	0	AGO2	0	0	1	0	0	0	0	2	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000085831	TTC39A	protein_coding	chr1	51766563	51766569	51766563	51766569	-	2	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000157193	LRP8	protein_coding	chr1	53711745	53711751	53711745	53711751	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000172380	GNG12	protein_coding	chr1	68167922	68167928	68167922	68167928	-	5	0	AGO1-4	0	0	1	0	0	0	0	4	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000172260	NEGR1	protein_coding	chr1	71870186	71870191	71870185	71870213	-	1	0	AGO2	0	0	1	1	0	0	0	4	motor-cortex
MIMAT0022702	hsa-miR-514a-5p	ENSG00000172260	NEGR1	protein_coding	chr1	71870669	71870674	71870668	71870696	-	1	0	AGO2	0	0	1	1	0	0	0	4	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000172260	NEGR1	protein_coding	chr1	71872425	71872453	71872425	71872453	-	1	0	AGO2	0	0	0	1	0	0	0	4	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000122482	ZNF644	protein_coding	chr1	91381834	91381840	91381834	91381862	-	9	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	1	0	1	HEK293,HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000197852	FAM212B	protein_coding	chr1	112269447	112269453	112269447	112269453	-	1	0	AGO1	0	0	1	0	0	0	0	3	Flp-In-T-REx-293
MIMAT0022702	hsa-miR-514a-5p	ENSG00000284755	FAM212B	protein_coding	chr1	112269447	112269453	112269447	112269453	-	1	0	AGO1	0	0	1	0	0	0	0	0	Flp-In-T-REx-293
MIMAT0022702	hsa-miR-514a-5p	ENSG00000213281	NRAS	protein_coding	chr1	115247433	115247439	115247432	115247460	-	4	0	AGO1-4,AGO2	0	0	1	1	0	0	0	7	DG75-BCBL-1,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000213281	NRAS	protein_coding	chr1	115248770	115248775	115248769	115248797	-	4	0	AGO1-4,AGO2	0	0	1	1	0	0	0	7	EWS,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000213281	NRAS	protein_coding	chr1	115248788	115248794	115248787	115248815	-	4	0	AGO1-4,AGO2	0	0	1	1	0	0	0	7	HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000009307	CSDE1	protein_coding	chr1	115260145	115260151	115260144	115260172	-	13	0	AGO1,AGO1-4,AGO2	0	0	1	1	0	0	0	1	HEK293,HEK293S,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000178104	PDE4DIP	protein_coding	chr1	144899320	144899348	144899320	144899348	-	1	0	AGO2	0	0	0	1	0	0	0	4	EF3D-AGO2
MIMAT0022702	hsa-miR-514a-5p	ENSG00000131791	PRKAB2	protein_coding	chr1	146628299	146628305	146628298	146628326	-	6	0	AGO1-4,AGO2	0	0	1	1	0	0	0	4	HS27a,Huh7.5
MIMAT0022702	hsa-miR-514a-5p	ENSG00000143612	C1orf43	protein_coding	chr1	154179791	154179797	154179791	154179797	-	9	0	AGO1-4,AGO2	0	0	1	0	0	0	0	5	HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000176444	CLK2	protein_coding	chr1	155232916	155232922	155232916	155232922	-	10	0	AGO1-4,AGO2	0	0	1	0	0	0	0	4	HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116539	ASH1L	protein_coding	chr1	155305271	155305276	155305271	155305276	-	16	0	AGO1-4,AGO2	0	0	1	0	0	0	0	4	HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116539	ASH1L	protein_coding	chr1	155306528	155306533	155306528	155306533	-	11	0	AGO1,AGO1-4,AGO2	0	0	1	0	0	0	0	4	HEK293,HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000163374	YY1AP1	protein_coding	chr1	155629948	155629976	155629948	155629976	-	4	0	AGO1-4	0	0	0	1	0	0	0	5	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000163374	YY1AP1	protein_coding	chr1	155630580	155630608	155630580	155630608	-	5	0	AGO1-4	0	0	0	1	0	0	0	5	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000163374	YY1AP1	protein_coding	chr1	155640180	155640208	155640180	155640208	-	2	4	AGO2	0	0	0	1	0	0	0	5	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000162739	SLAMF6	protein_coding	chr1	160454872	160454877	160454871	160454899	-	1	0	AGO1-4	0	0	1	1	0	0	0	5	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000158773	USF1	protein_coding	chr1	161010063	161010091	161010063	161010091	-	2	1	AGO1-4	0	0	0	1	0	0	0	4	Liver
MIMAT0022702	hsa-miR-514a-5p	ENSG00000117533	VAMP4	protein_coding	chr1	171670434	171670439	171670434	171670439	-	1	0	AGO2	0	0	1	0	0	0	0	2	Huh7.5
MIMAT0022702	hsa-miR-514a-5p	ENSG00000135870	RC3H1	protein_coding	chr1	173904014	173904020	173904014	173904020	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	EWS,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000135870	RC3H1	protein_coding	chr1	173905739	173905744	173905739	173905744	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000235750	KIAA0040	protein_coding	chr1	175128696	175128701	175128696	175128701	-	1	0	AGO2	0	0	1	0	0	0	0	2	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000235750	KIAA0040	protein_coding	chr1	175129741	175129746	175129741	175129746	-	5	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	BT474,HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000169905	TOR1AIP2	protein_coding	chr1	179811328	179811333	179811328	179811333	-	3	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000135823	STX6	protein_coding	chr1	180942694	180942700	180942693	180942721	-	1	0	AGO1-4	0	0	1	1	0	1	0	4	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000135823	STX6	protein_coding	chr1	180942922	180942928	180942921	180942949	-	1	0	AGO1-4	0	0	1	1	0	0	0	4	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000198756	COLGALT2	protein_coding	chr1	183906923	183906929	183906923	183906929	-	2	0	AGO2	0	0	1	0	0	0	0	5	HEK293S
MIMAT0022702	hsa-miR-514a-5p	ENSG00000116679	IVNS1ABP	protein_coding	chr1	185266560	185266565	185266560	185266565	-	1	0	AGO2	0	0	1	0	0	0	0	3	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000159166	LAD1	protein_coding	chr1	201350644	201350672	201350644	201350672	-	1	0	AGO1-4	0	0	0	1	0	0	0	3	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000159346	ADIPOR1	protein_coding	chr1	202910098	202910104	202910098	202910126	-	6	0	AGO1,AGO1-4	0	0	0	1	0	1	0	4	HEK293,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000133059	DSTYK	protein_coding	chr1	205112615	205112620	205112615	205112620	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000158711	ELK4	protein_coding	chr1	205579266	205579272	205579266	205579272	-	1	0	AGO2	0	0	1	0	0	0	0	4	DG75-BCBL-1
MIMAT0022702	hsa-miR-514a-5p	ENSG00000158711	ELK4	protein_coding	chr1	205579436	205579441	205579436	205579441	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	4	HEK293S,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000158711	ELK4	protein_coding	chr1	205580229	205580235	205580229	205580235	-	1	0	AGO2	0	0	1	0	0	0	0	4	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000158715	SLC45A3	protein_coding	chr1	205627023	205627028	205627022	205627050	-	1	0	AGO2	0	0	1	1	0	1	0	5	Huh7.5
MIMAT0022702	hsa-miR-514a-5p	ENSG00000170385	SLC30A1	protein_coding	chr1	211748534	211748539	211748534	211748539	-	2	0	AGO2	0	0	1	0	0	0	0	3	HeLa
MIMAT0022702	hsa-miR-514a-5p	ENSG00000170385	SLC30A1	protein_coding	chr1	211748569	211748574	211748569	211748574	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	3	HeLa,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000092978	GPATCH2	protein_coding	chr1	217603831	217603837	217603831	217603837	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	Huh7.5,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000092978	GPATCH2	protein_coding	chr1	217603953	217603958	217603953	217603958	-	2	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000162923	WDR26	protein_coding	chr1	224576677	224576705	224576677	224576705	-	3	1	AGO1-4	0	0	0	1	0	0	0	1	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000182827	ACBD3	protein_coding	chr1	226333739	226333744	226333739	226333744	-	2	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000182827	ACBD3	protein_coding	chr1	226334075	226334080	226334075	226334080	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	Huh7.5,MCF7
MIMAT0022702	hsa-miR-514a-5p	ENSG00000143776	CDC42BPA	protein_coding	chr1	227178091	227178097	227178090	227178118	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	0	3	Huh7.5,marrow-stromal-cells
MIMAT0022702	hsa-miR-514a-5p	ENSG00000143776	CDC42BPA	protein_coding	chr1	227181439	227181444	227181438	227181466	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	0	3	Huh7.5,MCF7
