#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0002867	hsa-miR-520h	ENSG00000147162	OGT	protein_coding	chrX	70795512	70795517	70795512	70795517	+	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	Huh7.5,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000008128	CDK11A	protein_coding	chr1	1634243	1634248	1634243	1634248	-	1	0	AGO1	1	0	0	0	0	0	0	0	HEK293
MIMAT0002867	hsa-miR-520h	ENSG00000078369	GNB1	protein_coding	chr1	1717696	1717702	1717696	1717702	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	DG75-BCBL-1,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000116254	CHD5	protein_coding	chr1	6161907	6161912	6161907	6161912	-	1	0	AGO2	1	0	0	0	0	0	0	1	BC-1
MIMAT0002867	hsa-miR-520h	ENSG00000116251	RPL22	protein_coding	chr1	6245748	6245753	6245748	6245753	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	1	Flp-In-T-REx-293,HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000162408	NOL9	protein_coding	chr1	6585318	6585325	6585318	6585325	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HCT116,HS27a
MIMAT0002867	hsa-miR-520h	ENSG00000162413	KLHL21	protein_coding	chr1	6651049	6651054	6651049	6651054	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000116285	ERRFI1	protein_coding	chr1	8073089	8073094	8073089	8073094	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000171603	CLSTN1	protein_coding	chr1	9789367	9789374	9789367	9789374	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HUVEC,hESCs
MIMAT0002867	hsa-miR-520h	ENSG00000162441	LZIC	protein_coding	chr1	9989945	9989950	9989945	9989950	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000198793	MTOR	protein_coding	chr1	11167443	11167448	11167443	11167448	-	1	0	AGO2	1	0	0	0	0	0	0	1	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000177000	MTHFR	protein_coding	chr1	11846049	11846056	11846049	11846056	-	1	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000142627	EPHA2	protein_coding	chr1	16451119	16451126	16451119	16451126	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HS27a,hESCs
MIMAT0002867	hsa-miR-520h	ENSG00000179051	RCC2	protein_coding	chr1	17735311	17735316	17735311	17735316	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000162545	CAMK2N1	protein_coding	chr1	20809014	20809019	20809014	20809019	-	4	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000162545	CAMK2N1	protein_coding	chr1	20810056	20810063	20810055	20810077	-	4	0	AGO1-4,AGO2	1	1	0	0	0	0	0	3	Huh7.5,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000244038	DDOST	protein_coding	chr1	20978577	20978584	20978577	20978584	-	1	0	AGO1-4	1	0	0	0	0	0	0	3	HS27a
MIMAT0002867	hsa-miR-520h	ENSG00000244038	DDOST	protein_coding	chr1	20978681	20978687	20978681	20978687	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HCT116,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000075151	EIF4G3	protein_coding	chr1	21133016	21133022	21133016	21133022	-	2	0	AGO1-4,AGO2	1	0	1	0	0	0	0	1	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000090686	USP48	protein_coding	chr1	22054920	22054925	22054920	22054927	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	0	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000125945	ZNF436	protein_coding	chr1	23686082	23686088	23686081	23686109	-	1	0	AGO1-4	1	0	0	1	0	0	0	1	BT474
MIMAT0002867	hsa-miR-520h	ENSG00000125945	ZNF436	protein_coding	chr1	23686179	23686184	23686178	23686206	-	1	0	AGO2	1	0	0	1	0	0	0	1	Huh7.5
MIMAT0002867	hsa-miR-520h	ENSG00000007968	E2F2	protein_coding	chr1	23833360	23833365	23833360	23833365	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000188529	SRSF10	protein_coding	chr1	24293953	24293958	24293953	24293958	-	3	0	AGO2	0	0	1	0	0	0	0	1	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000001460	STPG1	protein_coding	chr1	24683817	24683822	24683817	24683822	-	1	0	AGO2	1	0	0	0	0	0	0	1	HEK293
MIMAT0002867	hsa-miR-520h	ENSG00000117614	SYF2	protein_coding	chr1	25549517	25549522	25549517	25549522	-	1	0	AGO2	1	0	0	0	0	0	0	1	HEK293
MIMAT0002867	hsa-miR-520h	ENSG00000158006	PAFAH2	protein_coding	chr1	26288295	26288301	26288295	26288301	-	2	0	AGO2	1	0	1	0	0	0	0	2	HEK293S
MIMAT0002867	hsa-miR-520h	ENSG00000198746	GPATCH3	protein_coding	chr1	27217223	27217228	27217223	27217228	-	1	0	AGO2	1	0	0	0	0	0	0	2	Huh7.5
MIMAT0002867	hsa-miR-520h	ENSG00000158246	FAM46B	protein_coding	chr1	27331972	27331978	27331972	27331978	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	BT474
MIMAT0002867	hsa-miR-520h	ENSG00000158195	WASF2	protein_coding	chr1	27732218	27732225	27732218	27732225	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	3	HEK293,marrow-stromal-cells
MIMAT0002867	hsa-miR-520h	ENSG00000126709	IFI6	protein_coding	chr1	27992634	27992639	27992634	27992639	-	11	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000117748	RPA2	protein_coding	chr1	28218241	28218247	28218241	28218247	-	18	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2	BT474,HEK293,LCL-BAC
MIMAT0002867	hsa-miR-520h	ENSG00000120656	TAF12	protein_coding	chr1	28929676	28929683	28929676	28929683	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000116350	SRSF4	protein_coding	chr1	29474493	29474499	29474493	29474499	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000134644	PUM1	protein_coding	chr1	31404360	31404365	31404360	31404365	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	EWS,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000134644	PUM1	protein_coding	chr1	31405190	31405195	31405190	31405195	-	12	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0	HEK293,HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000116560	SFPQ	protein_coding	chr1	35649703	35649708	35649703	35649708	-	11	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1	DG75-BCBL-1,HEK293,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000142687	KIAA0319L	protein_coding	chr1	35899181	35899186	35899181	35899186	-	3	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000054116	TRAPPC3	protein_coding	chr1	36602488	36602494	36602488	36602494	-	3	0	AGO1,AGO2	1	0	0	0	0	0	0	4	HEK293,HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000163875	MEAF6	protein_coding	chr1	37959566	37959571	37959566	37959571	-	7	0	AGO1-4	1	0	0	0	0	0	0	1	BT474
MIMAT0002867	hsa-miR-520h	ENSG00000196449	YRDC	protein_coding	chr1	38268661	38268666	38268661	38268666	-	24	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2	HEK293,LCL-BACD3,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000214114	MYCBP	protein_coding	chr1	39329827	39329833	39329827	39329833	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000116985	BMP8B	protein_coding	chr1	40225385	40225390	40225385	40225390	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000043514	TRIT1	protein_coding	chr1	40306828	40306833	40306828	40306833	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000131238	PPT1	protein_coding	chr1	40539139	40539145	40539139	40539145	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	BT474,HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000117395	EBNA1BP2	protein_coding	chr1	43630047	43630053	43630047	43630053	-	6	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2	HEK293,HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000196517	SLC6A9	protein_coding	chr1	44462965	44462972	44462965	44462972	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	BT474,HEK293
MIMAT0002867	hsa-miR-520h	ENSG00000117419	ERI3	protein_coding	chr1	44687025	44687045	44687025	44687045	-	3	0	AGO2	0	1	0	0	0	0	0	1	HEK293S
MIMAT0002867	hsa-miR-520h	ENSG00000126107	HECTD3	protein_coding	chr1	45468835	45468840	45468835	45468840	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000197429	IPP	protein_coding	chr1	46165459	46165466	46165459	46165466	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000117461	PIK3R3	protein_coding	chr1	46506133	46506138	46506133	46506138	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	BT474,HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000079277	MKNK1	protein_coding	chr1	47024011	47024017	47024011	47024017	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	BT474,HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000142961	MOB3C	protein_coding	chr1	47074306	47074311	47074306	47074311	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000123472	ATPAF1	protein_coding	chr1	47098705	47098711	47098705	47098711	-	1	0	AGO2	1	0	1	0	0	0	0	3	HEK293
MIMAT0002867	hsa-miR-520h	ENSG00000123472	ATPAF1	protein_coding	chr1	47101120	47101126	47101120	47101126	-	6	0	AGO1,AGO1-4,AGO2	1	0	1	0	0	0	0	3	HEK293,HeLa,Jijoye
MIMAT0002867	hsa-miR-520h	ENSG00000159658	EFCAB14	protein_coding	chr1	47140986	47140991	47140985	47141013	-	2	0	AGO2	1	0	1	1	0	0	0	1	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000159658	EFCAB14	protein_coding	chr1	47142088	47142093	47142068	47142115	-	17	0	AGO1,AGO1-4,AGO2	1	0	1	2	0	0	0	1	HEK293,HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000159658	EFCAB14	protein_coding	chr1	47142610	47142615	47142609	47142637	-	2	0	AGO2	1	0	1	1	0	0	0	1	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000159658	EFCAB14	protein_coding	chr1	47142693	47142698	47142692	47142720	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1	HEK293S,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000159658	EFCAB14	protein_coding	chr1	47144017	47144022	47144016	47144044	-	8	0	AGO1,AGO1-4,AGO2	1	0	1	1	0	0	0	1	HEK293,HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000142700	DMRTA2	protein_coding	chr1	50883278	50883285	50883278	50883285	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000198841	KTI12	protein_coding	chr1	52497842	52497847	52497842	52497847	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000134744	ZCCHC11	protein_coding	chr1	52889215	52889220	52889215	52889220	-	3	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0002867	hsa-miR-520h	ENSG00000162377	COA7	protein_coding	chr1	53152578	53152583	53152578	53152583	-	4	1	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0002867	hsa-miR-520h	ENSG00000058804	NDC1	protein_coding	chr1	54231277	54231282	54231276	54231304	-	5	0	AGO1,AGO2	0	0	1	1	0	0	0	0	HEK293,HeLa
