#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0005919	hsa-miR-548o-3p	ENSG00000130826	DKC1	protein_coding	chrX	154005676	154005681	154005676	154005681	+	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000078808	SDF4	protein_coding	chr1	1152893	1152899	1152893	1152899	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	HUVEC
MIMAT0005919	hsa-miR-548o-3p	ENSG00000242485	MRPL20	protein_coding	chr1	1337315	1337320	1337315	1337320	-	1	0	AGO2	1	0	0	0	0	0	0	2	HCT116
MIMAT0005919	hsa-miR-548o-3p	ENSG00000008130	NADK	protein_coding	chr1	1683182	1683188	1683182	1683188	-	8	0	AGO1-4,AGO2	1	0	0	0	0	1	0	1	HeLa,Liver
MIMAT0005919	hsa-miR-548o-3p	ENSG00000008130	NADK	protein_coding	chr1	1683828	1683835	1683828	1683835	-	1	0	AGO2	1	0	0	0	0	0	0	1	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000078369	GNB1	protein_coding	chr1	1717541	1717546	1717540	1717546	-	5	0	AGO1-4,AGO2	1	0	0	0	0	1	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000078369	GNB1	protein_coding	chr1	1718115	1718120	1718115	1718120	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000130764	LRRC47	protein_coding	chr1	3697613	3697620	3697613	3697620	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HEK293S,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116251	RPL22	protein_coding	chr1	6245127	6245133	6245127	6245133	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116237	ICMT	protein_coding	chr1	6284021	6284026	6284021	6284026	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000007923	DNAJC11	protein_coding	chr1	6694458	6694463	6694458	6694463	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116285	ERRFI1	protein_coding	chr1	8072334	8072339	8072334	8072339	-	11	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000142599	RERE	protein_coding	chr1	8413318	8413323	8413318	8413323	-	1	0	AGO2	1	0	0	0	0	0	0	3	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000074800	ENO1	protein_coding	chr1	8921096	8921101	8921096	8921101	-	16	7	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1	DG75-BCBL-1,HEK293,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000180758	GPR157	protein_coding	chr1	9160575	9160580	9160575	9160580	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000130940	CASZ1	protein_coding	chr1	10696887	10696892	10696886	10696914	-	3	0	AGO1-4	1	0	0	1	0	1	0	4	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000130940	CASZ1	protein_coding	chr1	10697248	10697253	10697247	10697275	-	3	0	AGO1-4	1	1	0	1	0	1	0	4	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000198793	MTOR	protein_coding	chr1	11167237	11167242	11167236	11167242	-	9	2	AGO1-4,AGO2	1	0	0	0	0	1	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000177000	MTHFR	protein_coding	chr1	11848535	11848540	11848535	11848540	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116685	KIAA2013	protein_coding	chr1	11979761	11979766	11979761	11979766	-	1	0	AGO2	0	0	1	0	0	0	0	0	Huh7.5
MIMAT0005919	hsa-miR-548o-3p	ENSG00000142627	EPHA2	protein_coding	chr1	16450935	16450940	16450935	16450940	-	7	1	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117122	MFAP2	protein_coding	chr1	17301124	17301129	17301124	17301129	-	2	0	AGO1-4	1	0	0	0	0	0	0	2	HS5
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127481	UBR4	protein_coding	chr1	19497292	19497314	19497292	19497314	-	1	0	AGO1-4	0	1	0	0	0	0	0	0	HS27a
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127463	EMC1	protein_coding	chr1	19545311	19545316	19545311	19545316	-	4	0	AGO2	1	0	0	0	0	0	0	4	HEK293S
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127463	EMC1	protein_coding	chr1	19545489	19545494	19545489	19545494	-	2	0	AGO2	1	0	0	0	0	0	0	4	DG75-BCBL-1
MIMAT0005919	hsa-miR-548o-3p	ENSG00000162545	CAMK2N1	protein_coding	chr1	20809079	20809084	20809079	20809084	-	3	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000162545	CAMK2N1	protein_coding	chr1	20809737	20809742	20809737	20809742	-	8	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	Huh7.5,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000244038	DDOST	protein_coding	chr1	20978802	20978802	20978797	20978807	-	15	0	AGO1-4,AGO2	2	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127483	HP1BP3	protein_coding	chr1	21070557	21070562	21070556	21070584	-	1	0	AGO1-4	1	0	0	1	0	0	0	0	Liver
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127483	HP1BP3	protein_coding	chr1	21071212	21071218	21071211	21071239	-	6	3	AGO1-4,AGO2	1	0	0	1	0	0	0	0	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127483	HP1BP3	protein_coding	chr1	21094126	21094154	21094126	21094154	-	1	0	AGO1-4	0	0	0	1	0	0	0	0	Liver
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117298	ECE1	protein_coding	chr1	21543799	21543811	21543783	21543827	-	5	0	AGO1-4,AGO2	0	0	0	2	0	0	0	3	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000090686	USP48	protein_coding	chr1	22005151	22005158	22005151	22005158	-	1	0	AGO2	1	0	0	0	0	0	0	1	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000169641	LUZP1	protein_coding	chr1	23413356	23413362	23413356	23413362	-	2	0	AGO1-4,AGO2	1	0	0	0	0	1	0	2	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000125944	HNRNPR	protein_coding	chr1	23636465	23636470	23636464	23636492	-	21	0	AGO1,AGO1-4,AGO2,AGO3	1	0	1	1	0	0	0	1	HEK293,Jijoye,LCL35
MIMAT0005919	hsa-miR-548o-3p	ENSG00000125944	HNRNPR	protein_coding	chr1	23636626	23636631	23636607	23636653	-	8	0	AGO1,AGO1-4,AGO2	1	0	1	2	0	0	0	1	HEK293,HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000007968	E2F2	protein_coding	chr1	23834797	23834802	23834797	23834802	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293S,Jijoye
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117318	ID3	protein_coding	chr1	23884522	23884527	23884522	23884527	-	5	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2	HEK293,HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000188529	SRSF10	protein_coding	chr1	24293411	24293416	24293411	24293416	-	1	0	AGO1	0	0	1	0	0	0	0	0	HEK293
MIMAT0005919	hsa-miR-548o-3p	ENSG00000001460	STPG1	protein_coding	chr1	24683569	24683574	24683569	24683574	-	1	0	AGO2	1	0	0	0	0	0	0	1	EF3D-AGO2
MIMAT0005919	hsa-miR-548o-3p	ENSG00000020633	RUNX3	protein_coding	chr1	25227570	25227575	25227570	25227575	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117614	SYF2	protein_coding	chr1	25549529	25549534	25549529	25549534	-	1	0	AGO2	1	0	0	0	0	0	0	0	HEK293
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117616	RSRP1	protein_coding	chr1	25568772	25568777	25568771	25568799	-	1	0	AGO2	1	0	0	1	0	0	0	2	EWS
MIMAT0005919	hsa-miR-548o-3p	ENSG00000198746	GPATCH3	protein_coding	chr1	27217380	27217385	27217380	27217385	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000090020	SLC9A1	protein_coding	chr1	27426063	27426069	27426063	27426069	-	1	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000126705	AHDC1	protein_coding	chr1	27873779	27873784	27873779	27873784	-	1	0	AGO1-4	1	0	0	0	0	0	0	4	HS27a
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117748	RPA2	protein_coding	chr1	28218500	28218505	28218500	28218505	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	HS27a
MIMAT0005919	hsa-miR-548o-3p	ENSG00000126698	DNAJC8	protein_coding	chr1	28527469	28527474	28527469	28527474	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0	BC-1,Flp-In-T-REx-293,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000120656	TAF12	protein_coding	chr1	28929710	28929715	28929710	28929715	-	4	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134644	PUM1	protein_coding	chr1	31404747	31404752	31404746	31404774	-	8	0	AGO1-4,AGO2	1	0	0	1	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134644	PUM1	protein_coding	chr1	31405156	31405161	31405155	31405183	-	14	0	AGO1,AGO1-4,AGO2	1	0	0	1	0	1	0	1	HEK293,HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134644	PUM1	protein_coding	chr1	31405632	31405638	31405631	31405659	-	1	0	AGO2	1	0	0	1	0	1	0	1	HEK293
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134668	SPOCD1	protein_coding	chr1	32256174	32256179	32256174	32256179	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	HS27a
MIMAT0005919	hsa-miR-548o-3p	ENSG00000184007	PTP4A2	protein_coding	chr1	32372453	32372458	32372452	32372480	-	7	0	AGO1,AGO1-4,AGO2	0	0	1	1	0	1	0	0	HEK293,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000184007	PTP4A2	protein_coding	chr1	32372674	32372680	32372673	32372701	-	14	0	AGO1,AGO1-4,AGO2	0	0	1	1	0	1	0	0	BT474,HEK293,HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000184007	PTP4A2	protein_coding	chr1	32373612	32373617	32373611	32373639	-	3	0	AGO1-4,AGO2	0	0	1	1	0	0	0	0	BC-1,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000175130	MARCKSL1	protein_coding	chr1	32799855	32799860	32799855	32799860	-	8	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HCT116,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134686	PHC2	protein_coding	chr1	33789255	33789260	33789255	33789260	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	2	Jijoye
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134686	PHC2	protein_coding	chr1	33789810	33789815	33789810	33789815	-	10	0	AGO1-4,AGO2	1	0	1	0	0	0	0	2	HS5,HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116560	SFPQ	protein_coding	chr1	35650022	35650027	35650022	35650027	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HEK293,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000126067	PSMB2	protein_coding	chr1	36067260	36067265	36067260	36067265	-	1	0	AGO2	0	0	1	0	0	0	0	0	Huh7.5
MIMAT0005919	hsa-miR-548o-3p	ENSG00000126067	PSMB2	protein_coding	chr1	36067455	36067460	36067455	36067460	-	3	0	AGO1,AGO2	0	0	1	0	0	0	0	0	Flp-In-T-REx-293,HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000163875	MEAF6	protein_coding	chr1	37959341	37959346	37959341	37959346	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	BT474,HEK293S
MIMAT0005919	hsa-miR-548o-3p	ENSG00000163877	SNIP1	protein_coding	chr1	38002558	38002565	38002557	38002585	-	9	0	AGO2	1	0	0	1	0	0	0	0	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116922	C1orf109	protein_coding	chr1	38148339	38148344	38148339	38148344	-	2	0	AGO1-4	1	0	1	0	0	0	0	1	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116922	C1orf109	protein_coding	chr1	38148387	38148392	38148387	38148392	-	2	0	AGO1-4,AGO2	1	0	1	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000196449	YRDC	protein_coding	chr1	38269302	38269307	38269302	38269307	-	1	0	AGO2	1	0	0	0	0	0	0	1	HEK293
MIMAT0005919	hsa-miR-548o-3p	ENSG00000214114	MYCBP	protein_coding	chr1	39328642	39328670	39328642	39328670	-	1	0	AGO2	0	0	0	1	0	0	0	0	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000214114	MYCBP	protein_coding	chr1	39329120	39329125	39329119	39329147	-	1	0	AGO1-4	1	0	1	1	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000214114	MYCBP	protein_coding	chr1	39330303	39330308	39330302	39330330	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	0	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000274944	AL139260.3	protein_coding	chr1	39330303	39330308	39330302	39330330	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000090621	PABPC4	protein_coding	chr1	40026568	40026573	40026568	40026573	-	3	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000131238	PPT1	protein_coding	chr1	40539305	40539310	40539305	40539310	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000127124	HIVEP3	protein_coding	chr1	41972372	41972378	41972371	41972399	-	1	0	AGO1-4	0	0	0	1	0	1	0	3	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000198815	FOXJ3	protein_coding	chr1	42642378	42642385	42642377	42642405	-	17	0	AGO1-4,AGO2	1	0	0	1	0	0	0	0	BT474,HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000198815	FOXJ3	protein_coding	chr1	42643114	42643119	42643113	42643141	-	13	0	AGO1-4,AGO2	1	0	0	1	0	0	0	0	HeLa,Jijoye
MIMAT0005919	hsa-miR-548o-3p	ENSG00000198815	FOXJ3	protein_coding	chr1	42643771	42643776	42643770	42643798	-	4	0	AGO1,AGO2	1	0	0	1	0	0	0	0	Flp-In-T-REx-293,HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000198815	FOXJ3	protein_coding	chr1	42644719	42644724	42644718	42644746	-	4	0	AGO1-4,AGO2	1	0	0	1	0	0	0	0	Huh7.5,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117394	SLC2A1	protein_coding	chr1	43391567	43391573	43391567	43391573	-	1	0	AGO2	1	0	0	0	0	0	0	3	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117394	SLC2A1	protein_coding	chr1	43391817	43391822	43391817	43391822	-	2	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000070759	TESK2	protein_coding	chr1	45809816	45809821	45809816	45809821	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000159592	GPBP1L1	protein_coding	chr1	46093772	46093777	46093772	46093777	-	1	0	AGO2	1	0	0	0	0	0	0	1	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508220	46508225	46508219	46508247	-	2	0	AGO1-4,AGO2	1	0	1	1	0	0	0	2	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508880	46508885	46508879	46508907	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	2	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508927	46508932	46508926	46508954	-	2	0	AGO1-4,AGO2	1	0	1	1	0	0	0	2	Huh7.5,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509075	46509080	46509074	46509102	-	5	0	AGO1-4,AGO2	1	0	1	1	0	0	0	2	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509247	46509252	46509246	46509274	-	29	0	AGO1-4,AGO2	1	0	1	1	0	0	0	2	BT474,LCL-BAC
MIMAT0005919	hsa-miR-548o-3p	ENSG00000159658	EFCAB14	protein_coding	chr1	47141162	47141167	47141161	47141189	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	3	HeLa,Liver
MIMAT0005919	hsa-miR-548o-3p	ENSG00000159658	EFCAB14	protein_coding	chr1	47141630	47141630	47141624	47141658	-	5	0	AGO1-4,AGO2	1	0	1	2	0	0	0	3	HEK293S,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000159658	EFCAB14	protein_coding	chr1	47141631	47141636	47141631	47141636	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	3	Huh7.5,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000159658	EFCAB14	protein_coding	chr1	47143631	47143636	47143630	47143658	-	13	0	AGO1-4,AGO2	1	0	1	1	0	0	0	3	HeLa,Jijoye
MIMAT0005919	hsa-miR-548o-3p	ENSG00000123473	STIL	protein_coding	chr1	47716477	47716483	47716477	47716483	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000085832	EPS15	protein_coding	chr1	51820063	51820069	51820063	51820069	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000085832	EPS15	protein_coding	chr1	51820882	51820887	51820882	51820887	-	3	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000085840	ORC1	protein_coding	chr1	52838810	52838815	52838810	52838815	-	1	0	AGO2	1	0	0	0	0	0	0	0	DG75-BCBL-1
MIMAT0005919	hsa-miR-548o-3p	ENSG00000134744	ZCCHC11	protein_coding	chr1	52889294	52889299	52889294	52889299	-	1	0	AGO2	1	0	0	0	0	0	0	1	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000162377	COA7	protein_coding	chr1	53152823	53152828	53152823	53152828	-	2	0	AGO2	1	0	0	0	0	0	0	2	HEK293S
MIMAT0005919	hsa-miR-548o-3p	ENSG00000157193	LRP8	protein_coding	chr1	53712299	53712304	53712299	53712304	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116133	DHCR24	protein_coding	chr1	55315667	55315672	55315667	55315672	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293,HS27a
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116133	DHCR24	protein_coding	chr1	55315931	55315936	55315931	55315936	-	8	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000162402	USP24	protein_coding	chr1	55533426	55533431	55533426	55533431	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0005919	hsa-miR-548o-3p	ENSG00000162407	PLPP3	protein_coding	chr1	56961740	56961740	56961735	56961746	-	3	0	AGO1-4,AGO2	2	0	0	0	0	0	0	3	DG75-BCBL-1,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000177606	JUN	protein_coding	chr1	59247048	59247053	59247048	59247053	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HeLa,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000162434	JAK1	protein_coding	chr1	65299390	65299395	65299390	65299395	-	7	2	AGO1-4,AGO2	1	0	0	0	0	0	0	4	HEK293S,MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116704	SLC35D1	protein_coding	chr1	67466939	67466944	67466938	67466966	-	1	0	AGO1-4	0	0	1	1	0	0	0	2	MCF7
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116704	SLC35D1	protein_coding	chr1	67467863	67467891	67467863	67467891	-	1	0	AGO1-4	0	0	0	1	0	0	0	2	HS27a
MIMAT0005919	hsa-miR-548o-3p	ENSG00000116704	SLC35D1	protein_coding	chr1	67468419	67468447	67468419	67468447	-	2	0	AGO2	0	0	0	1	0	0	0	2	Huh7.5
