#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0002819	hsa-miR-193b-3p	ENSG00000188976	NOC2L	protein_coding	chr1	880026	880032	880026	880032	-	1	0	AGO1-4	1	0	1	0	0	0	0	6	MCF7
MIMAT0002819	hsa-miR-193b-3p	ENSG00000131584	ACAP3	protein_coding	chr1	1227991	1227997	1227991	1227997	-	1	0	AGO1-4	0	0	0	0	0	0	1	4	MCF7
MIMAT0002819	hsa-miR-193b-3p	ENSG00000221978	CCNL2	protein_coding	chr1	1326685	1326690	1326685	1326690	-	2	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0002819	hsa-miR-193b-3p	ENSG00000008130	NADK	protein_coding	chr1	1683847	1683852	1683847	1683852	-	1	0	AGO2	1	0	0	0	0	0	0	6	HeLa
MIMAT0002819	hsa-miR-193b-3p	ENSG00000078369	GNB1	protein_coding	chr1	1717073	1717079	1717072	1717093	-	16	2	AGO1-4,AGO2	1	0	1	0	1	0	0	10	HeLa,MCF7
MIMAT0002819	hsa-miR-193b-3p	ENSG00000198912	C1orf174	protein_coding	chr1	3805975	3805981	3805975	3805981	-	1	0	AGO2	1	0	1	0	0	0	0	10	HeLa
MIMAT0002819	hsa-miR-193b-3p	ENSG00000116237	ICMT	protein_coding	chr1	6284202	6284207	6284202	6284207	-	10	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	5	HEK293,MCF7
MIMAT0002819	hsa-miR-193b-3p	ENSG00000162408	NOL9	protein_coding	chr1	6585437	6585442	6585437	6585442	-	1	0	AGO2	1	0	0	0	0	0	0	6	HeLa
MIMAT0002819	hsa-miR-193b-3p	ENSG00000162413	KLHL21	protein_coding	chr1	6651372	6651377	6651372	6651377	-	1	0	AGO1-4	1	0	0	0	0	0	0	6	MCF7
MIMAT0002819	hsa-miR-193b-3p	ENSG00000116285	ERRFI1	protein_coding	chr1	8072418	8072423	8072418	8072423	-	16	0	AGO1-4,AGO2	1	0	0	0	0	0	0	7	HeLa,MCF7
