miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum	
MIMAT0003311	hsa-miR-641	ENSG00000198692	EIF1AY	protein_coding	chrY	22749925	22749946	22749925	22749946	+	5	0	"AGO1-4,AGO2"	0	0	0	0	1	0	0	0	"EF3D-AGO2,Liver"
MIMAT0003311	hsa-miR-641	ENSG00000160087	UBE2J2	protein_coding	chr1	1190315	1190320	1190314	1190342	-	8	0	"AGO1-4,AGO2"	1	0	0	1	0	0	0	1	"HeLa,MCF7"
MIMAT0003311	hsa-miR-641	ENSG00000221978	CCNL2	protein_coding	chr1	1327943	1327948	1327943	1327948	-	7	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	2	"HEK293S,MCF7"
MIMAT0003311	hsa-miR-641	ENSG00000160075	SSU72	protein_coding	chr1	1477161	1477168	1477161	1477168	-	6	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	0	"HeLa,MCF7"
MIMAT0003311	hsa-miR-641	ENSG00000008130	NADK	protein_coding	chr1	1683211	1683216	1683211	1683216	-	2	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	3	"DG75-BCBL-1,Liver"
MIMAT0003311	hsa-miR-641	ENSG00000078369	GNB1	protein_coding	chr1	1718239	1718244	1718239	1718244	-	6	0	"AGO1,AGO1-4,AGO2"	1	0	0	0	0	0	0	0	"HEK293,HeLa,MCF7"
MIMAT0003311	hsa-miR-641	ENSG00000142606	MMEL1	protein_coding	chr1	2522126	2522131	2522126	2522131	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0003311	hsa-miR-641	ENSG00000116198	CEP104	protein_coding	chr1	3728761	3728789	3728761	3728789	-	1	0	AGO2	0	0	0	1	0	0	0	1	HeLa
MIMAT0003311	hsa-miR-641	ENSG00000198912	C1orf174	protein_coding	chr1	3806421	3806427	3806421	3806427	-	1	0	AGO2	1	0	1	0	0	0	0	0	Huh7.5
MIMAT0003311	hsa-miR-641	ENSG00000116251	RPL22	protein_coding	chr1	6245152	6245159	6245151	6245179	-	2	0	AGO1-4	1	0	0	1	0	0	0	1	MCF7
MIMAT0003311	hsa-miR-641	ENSG00000162413	KLHL21	protein_coding	chr1	6651116	6651122	6651116	6651122	-	2	0	AGO2	1	0	0	0	0	0	0	4	EWS
MIMAT0003311	hsa-miR-641	ENSG00000116285	ERRFI1	protein_coding	chr1	8071821	8071826	8071821	8071826	-	5	0	"AGO1-4,AGO2"	1	0	1	0	0	0	0	1	"HEK293,MCF7"
MIMAT0003311	hsa-miR-641	ENSG00000116285	ERRFI1	protein_coding	chr1	8073147	8073152	8073147	8073152	-	3	0	"AGO1-4,AGO2"	1	0	1	0	0	0	0	1	"Huh7.5,MCF7"
MIMAT0003311	hsa-miR-641	ENSG00000142599	RERE	protein_coding	chr1	8414113	8414119	8414113	8414119	-	1	0	AGO2	1	0	1	0	0	0	0	3	Huh7.5
