#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000692	hsa-miR-30e-5p	ENSG00000160087	UBE2J2	protein_coding	chr1	1190026	1190032	1190025	1190046	-	2	0	AGO2	1	0	0	0	1	0	0	1	HEK293
MIMAT0000692	hsa-miR-30e-5p	ENSG00000008130	NADK	protein_coding	chr1	1683545	1683551	1683544	1683572	-	4	0	AGO1-4,AGO2	1	0	0	1	1	0	1	2	HEK293,MCF7
MIMAT0000692	hsa-miR-30e-5p	ENSG00000198912	C1orf174	protein_coding	chr1	3805752	3805759	3805751	3805779	-	15	0	AGO1-4,AGO2	1	0	0	1	1	0	0	1	BT474,HeLa
MIMAT0000692	hsa-miR-30e-5p	ENSG00000116251	RPL22	protein_coding	chr1	6245317	6245322	6245317	6245322	-	3	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4	HEK293,MCF7
MIMAT0000692	hsa-miR-30e-5p	ENSG00000116285	ERRFI1	protein_coding	chr1	8071991	8071997	8071990	8072014	-	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	1	18	HEK293,HeLa,MCF7
MIMAT0000692	hsa-miR-30e-5p	ENSG00000180758	GPR157	protein_coding	chr1	9160633	9160661	9160633	9160661	-	10	0	AGO1,AGO2,AGO3	0	0	0	1	0	0	0	4	HEK293
MIMAT0000692	hsa-miR-30e-5p	ENSG00000180758	GPR157	protein_coding	chr1	9164136	9164143	9164136	9164164	-	7	0	AGO1-4,AGO2	0	0	0	1	0	0	1	4	BT474,HEK293
MIMAT0000692	hsa-miR-30e-5p	ENSG00000169991	IFFO2	protein_coding	chr1	19230852	19230858	19230851	19230872	-	11	0	AGO1-4,AGO2	0	0	0	0	1	0	1	12	BT474,HeLa
MIMAT0000692	hsa-miR-30e-5p	ENSG00000162545	CAMK2N1	protein_coding	chr1	20809693	20809699	20809692	20809720	-	9	0	AGO1-4,AGO2	1	0	0	1	1	0	1	17	Huh7.5,MCF7
MIMAT0000692	hsa-miR-30e-5p	ENSG00000090686	USP48	protein_coding	chr1	22005612	22005618	22005611	22005639	-	5	0	AGO1-4,AGO2,AGO3	1	0	1	1	1	0	1	4	HEK293,HeLa,TrHBMEC
