#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000203879	GDI1	protein_coding	chrX	153671761	153671766	153671761	153671766	+	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000160075	SSU72	protein_coding	chr1	1499816	1499838	1499816	1499838	-	2	0	AGO1-4,AGO2	0	1	0	0	0	0	0	0	HeLa,MCF7
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000116198	CEP104	protein_coding	chr1	3728699	3728727	3728699	3728727	-	1	0	AGO2	0	0	0	1	0	0	0	2	HEK293
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000116198	CEP104	protein_coding	chr1	3731514	3731542	3731514	3731542	-	5	0	AGO1-4,AGO2	0	0	0	1	0	0	0	2	HeLa,MCF7
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000198793	MTOR	protein_coding	chr1	11166774	11166780	11166774	11166780	-	1	0	AGO2	0	0	1	0	0	0	0	3	HeLa
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000177000	MTHFR	protein_coding	chr1	11848603	11848609	11848603	11848609	-	1	0	AGO1-4	0	0	1	0	0	0	0	4	MCF7
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000162545	CAMK2N1	protein_coding	chr1	20808924	20808930	20808924	20808930	-	10	0	AGO1-4,AGO2	0	0	0	0	0	1	1	6	BT474,HeLa
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000169641	LUZP1	protein_coding	chr1	23411778	23411784	23411778	23411784	-	2	0	AGO1-4,AGO2	0	0	0	0	0	0	1	5	HUVEC,HeLa
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000125945	ZNF436	protein_coding	chr1	23687978	23687984	23687977	23688005	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	1	4	HEK293,MCF7
MIMAT0004548	hsa-miR-129-1-3p	ENSG00000158195	WASF2	protein_coding	chr1	27732417	27732423	27732417	27732423	-	5	0	AGO1-4	0	0	0	0	0	0	1	4	HS27a
