#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0004929	hsa-miR-190b	ENSG00000102125	TAZ	protein_coding	chrX	153649374	153649380	153649374	153649380	+	1	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000078369	GNB1	protein_coding	chr1	1717324	1717330	1717324	1717330	-	16	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	BT474,HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000078369	GNB1	protein_coding	chr1	1718429	1718436	1718429	1718436	-	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293,HS27a,HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000142599	RERE	protein_coding	chr1	8412891	8412896	8412891	8412896	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000162512	SDC3	protein_coding	chr1	31345239	31345262	31345239	31345262	-	2	2	AGO1-4,AGO2	0	0	0	0	1	0	0	5	HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000142686	C1orf216	protein_coding	chr1	36180705	36180711	36180704	36180727	-	4	0	AGO1-4,AGO2	1	0	0	0	1	0	0	3	HEK293,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000196182	STK40	protein_coding	chr1	36806376	36806383	36806376	36806383	-	1	0	AGO2	1	0	0	0	0	0	0	3	HEK293
MIMAT0004929	hsa-miR-190b	ENSG00000163875	MEAF6	protein_coding	chr1	37958857	37958862	37958856	37958884	-	6	0	AGO1,AGO1-4,AGO2	1	0	1	1	1	0	0	1	HEK293,HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000163875	MEAF6	protein_coding	chr1	37959169	37959175	37959168	37959196	-	8	1	AGO1-4,AGO2	1	0	1	1	1	0	0	1	HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000183431	SF3A3	protein_coding	chr1	38423517	38423523	38423516	38423544	-	5	0	AGO1,AGO1-4,AGO2	1	0	0	1	1	0	0	4	HEK293,HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000198815	FOXJ3	protein_coding	chr1	42642483	42642489	42642482	42642510	-	11	0	AGO1-4,AGO2	1	0	1	1	1	0	1	0	HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000198815	FOXJ3	protein_coding	chr1	42643762	42643762	42643756	42643789	-	5	0	AGO1,AGO2	2	0	2	2	0	0	0	0	Flp-In-T-REx-293,HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000159592	GPBP1L1	protein_coding	chr1	46093800	46093805	46093800	46093805	-	2	0	AGO2	1	0	0	0	0	0	0	4	HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000159658	EFCAB14	protein_coding	chr1	47141099	47141104	47141099	47141104	-	3	0	AGO2	1	0	0	0	0	0	0	3	LCL-BAC
MIMAT0004929	hsa-miR-190b	ENSG00000159658	EFCAB14	protein_coding	chr1	47141671	47141676	47141671	47141676	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000198841	KTI12	protein_coding	chr1	52498278	52498285	52498278	52498285	-	1	0	AGO1-4	1	0	0	0	0	0	0	5	BT474
MIMAT0004929	hsa-miR-190b	ENSG00000172380	GNG12	protein_coding	chr1	68170532	68170537	68170532	68170537	-	4	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000024526	DEPDC1	protein_coding	chr1	68941325	68941330	68941325	68941330	-	1	0	AGO1-4	1	0	1	0	0	0	0	4	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000024526	DEPDC1	protein_coding	chr1	68942558	68942563	68942558	68942563	-	1	0	AGO1-4	1	0	1	0	0	0	0	4	HS27a
MIMAT0004929	hsa-miR-190b	ENSG00000023909	GCLM	protein_coding	chr1	94354376	94354381	94354376	94354381	-	6	0	AGO1,AGO1-4,AGO2,AGO4	1	0	0	0	0	0	0	2	HEK293,HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000117519	CNN3	protein_coding	chr1	95362819	95362825	95362818	95362846	-	4	1	AGO2	1	0	1	1	1	0	0	4	HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000137992	DBT	protein_coding	chr1	100652925	100652932	100652925	100652932	-	2	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000137992	DBT	protein_coding	chr1	100659558	100659565	100659558	100659565	-	1	0	AGO2	1	0	0	0	0	0	0	2	HEK293
MIMAT0004929	hsa-miR-190b	ENSG00000137992	DBT	protein_coding	chr1	100660661	100660666	100660661	100660666	-	7	0	AGO1,AGO2	1	0	0	0	0	0	0	2	HEK293,HeLa
MIMAT0004929	hsa-miR-190b	ENSG00000060718	COL11A1	protein_coding	chr1	103343554	103343560	103343553	103343573	-	1	0	AGO1-4	0	0	1	0	1	0	0	4	marrow-stromal-cells
MIMAT0004929	hsa-miR-190b	ENSG00000162777	DENND2D	protein_coding	chr1	111730122	111730127	111730122	111730127	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4	LCL35,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000081019	RSBN1	protein_coding	chr1	114308454	114308459	114308453	114308481	-	3	0	AGO1-4,AGO2	1	0	0	1	0	1	0	3	HEK293,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000197323	TRIM33	protein_coding	chr1	114936143	114936148	114936142	114936170	-	1	0	AGO1-4	1	0	1	1	0	0	0	4	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000197323	TRIM33	protein_coding	chr1	114936511	114936516	114936510	114936538	-	5	0	AGO1-4,AGO2	1	0	1	1	0	0	0	4	HEK293,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000197323	TRIM33	protein_coding	chr1	114936900	114936905	114936899	114936927	-	7	0	AGO1-4,AGO2	1	0	1	1	0	0	0	4	LCL-BAC,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000197323	TRIM33	protein_coding	chr1	114939820	114939826	114939819	114939847	-	4	0	AGO1-4,AGO2	1	0	1	1	1	0	0	4	BC-3,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000009307	CSDE1	protein_coding	chr1	115260214	115260219	115260213	115260241	-	10	0	AGO1,AGO1-4,AGO2	1	0	0	1	1	1	0	3	HEK293,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000196505	GDAP2	protein_coding	chr1	118410974	118410993	118410974	118410993	-	3	0	AGO2	0	0	0	0	1	0	0	2	HEK293S
MIMAT0004929	hsa-miR-190b	ENSG00000143067	ZNF697	protein_coding	chr1	120162054	120162059	120162053	120162081	-	2	0	AGO1-4	1	0	0	1	0	0	0	2	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000143067	ZNF697	protein_coding	chr1	120162941	120162947	120162940	120162968	-	4	0	AGO1-4,AGO2	1	0	0	1	1	0	0	2	LCL35,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000134250	NOTCH2	protein_coding	chr1	120456776	120456781	120456776	120456781	-	15	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2	Flp-In-T-REx-293,HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000134250	NOTCH2	protein_coding	chr1	120457570	120457575	120457570	120457575	-	17	1	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000178104	PDE4DIP	protein_coding	chr1	144902667	144902667	144902661	144902694	-	1	0	AGO1-4	0	0	2	2	0	0	0	0	MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000178104	PDE4DIP	protein_coding	chr1	144902849	144902855	144902848	144902876	-	15	0	AGO1,AGO1-4,AGO2	0	0	1	1	1	0	0	0	HEK293,HeLa,MCF7
MIMAT0004929	hsa-miR-190b	ENSG00000152042	NBPF11	protein_coding	chr1	146032799	146032804	146032799	146032804	-	1	0	AGO1-4	0	0	1	0	0	0	0	0	HS27a
MIMAT0004929	hsa-miR-190b	ENSG00000203836	NBPF24	protein_coding	chr1	147574579	147574601	147574579	147574601	-	1	0	AGO1-4	0	0	0	0	1	0	0	0	HS27a
MIMAT0004929	hsa-miR-190b	ENSG00000122497	NBPF14	protein_coding	chr1	148003703	148003731	148003703	148003731	-	1	0	AGO1-4	0	0	0	1	0	0	0	0	HS5
MIMAT0004929	hsa-miR-190b	ENSG00000122497	NBPF14	protein_coding	chr1	148004640	148004668	148004640	148004668	-	6	0	AGO1,AGO1-4	0	0	0	1	0	0	0	0	Flp-In-T-REx-293,Liver
