gene_id	gene_type	gene_name
1	ENSG00000223972	transcribed_unprocessed_pseudogene	DDX11L1
2	ENSG00000227232	unprocessed_pseudogene	WASH7P
3	ENSG00000278267	miRNA	MIR6859-1
4	ENSG00000243485	lincRNA	MIR1302-2HG
5	ENSG00000284332	miRNA	MIR1302-2
6	ENSG00000237613	lincRNA	FAM138A
7	ENSG00000268020	unprocessed_pseudogene	OR4G4P
8	ENSG00000240361	transcribed_unprocessed_pseudogene	OR4G11P
9	ENSG00000186092	protein_coding	OR4F5
10	ENSG00000238009	lincRNA	AL627309.1
11	ENSG00000239945	lincRNA	AL627309.3
12	ENSG00000233750	processed_pseudogene	CICP27
13	ENSG00000268903	processed_pseudogene	AL627309.6
14	ENSG00000269981	processed_pseudogene	AL627309.7
15	ENSG00000239906	antisense	AL627309.2
16	ENSG00000241860	processed_transcript	AL627309.5
17	ENSG00000222623	snRNA	RNU6-1100P
18	ENSG00000241599	lincRNA	AL627309.4
19	ENSG00000279928	unprocessed_pseudogene	FO538757.2
20	ENSG00000279457	unprocessed_pseudogene	FO538757.1
21	ENSG00000273874	miRNA	MIR6859-2
22	ENSG00000228463	transcribed_processed_pseudogene	AP006222.1
23	ENSG00000236679	processed_pseudogene	RPL23AP24
24	ENSG00000236601	lincRNA	AL732372.1
25	ENSG00000237094	transcribed_unprocessed_pseudogene	AL732372.2
26	ENSG00000269732	processed_pseudogene	WBP1LP7
27	ENSG00000284733	protein_coding	OR4F29
28	ENSG00000233653	processed_pseudogene	CICP7
29	ENSG00000250575	unprocessed_pseudogene	AL732372.3
30	ENSG00000278757	snRNA	RF00026
31	ENSG00000230021	transcribed_processed_pseudogene	AL669831.3
32	ENSG00000235146	lincRNA	AC114498.1
33	ENSG00000225972	unprocessed_pseudogene	MTND1P23
34	ENSG00000225630	unprocessed_pseudogene	MTND2P28
35	ENSG00000237973	unprocessed_pseudogene	MTCO1P12
36	ENSG00000278791	miRNA	MIR6723
37	ENSG00000229344	unprocessed_pseudogene	MTCO2P12
38	ENSG00000240409	unprocessed_pseudogene	MTATP8P1
39	ENSG00000248527	unprocessed_pseudogene	MTATP6P1
40	ENSG00000198744	unprocessed_pseudogene	MTCO3P12
41	ENSG00000268663	processed_pseudogene	WBP1LP6
42	ENSG00000284662	protein_coding	OR4F16
43	ENSG00000229376	processed_pseudogene	CICP3
44	ENSG00000228327	transcribed_unprocessed_pseudogene	AL669831.1
45	ENSG00000223181	snRNA	RNU6-1199P
46	ENSG00000229905	antisense	AL669831.2
47	ENSG00000237491	lincRNA	AL669831.5
48	ENSG00000285268	transcribed_processed_pseudogene	AL669831.7
49	ENSG00000230092	transcribed_unprocessed_pseudogene	AL669831.4
50	ENSG00000177757	lincRNA	FAM87B
51	ENSG00000228794	processed_transcript	LINC01128
52	ENSG00000225880	lincRNA	LINC00115
53	ENSG00000230368	lincRNA	FAM41C
54	ENSG00000234711	unprocessed_pseudogene	TUBB8P11
55	ENSG00000283040	transcribed_unprocessed_pseudogene	AL669831.6
56	ENSG00000272438	lincRNA	AL645608.6
57	ENSG00000230699	lincRNA	AL645608.2
58	ENSG00000241180	lincRNA	AL645608.4
59	ENSG00000223764	lincRNA	LINC02593
60	ENSG00000187634	protein_coding	SAMD11
61	ENSG00000188976	protein_coding	NOC2L
62	ENSG00000187961	protein_coding	KLHL17
63	ENSG00000187583	protein_coding	PLEKHN1
64	ENSG00000187642	protein_coding	PERM1
65	ENSG00000272512	lincRNA	AL645608.7
66	ENSG00000188290	protein_coding	HES4
67	ENSG00000187608	protein_coding	ISG15
68	ENSG00000231702	processed_pseudogene	AL645608.3
69	ENSG00000224969	antisense	AL645608.1
70	ENSG00000188157	protein_coding	AGRN
71	ENSG00000242590	sense_intronic	AL645608.5
72	ENSG00000217801	transcribed_unprocessed_pseudogene	AL390719.1
73	ENSG00000273443	lincRNA	AL645608.8
74	ENSG00000237330	protein_coding	RNF223
75	ENSG00000131591	protein_coding	C1orf159
76	ENSG00000285812	antisense	AL390719.3
77	ENSG00000223823	lincRNA	LINC01342
78	ENSG00000207730	miRNA	MIR200B
79	ENSG00000207607	miRNA	MIR200A
80	ENSG00000198976	miRNA	MIR429
81	ENSG00000272141	lincRNA	AL390719.2
82	ENSG00000205231	antisense	TTLL10-AS1
83	ENSG00000162571	protein_coding	TTLL10
84	ENSG00000186891	protein_coding	TNFRSF18
85	ENSG00000186827	protein_coding	TNFRSF4
86	ENSG00000078808	protein_coding	SDF4
87	ENSG00000176022	protein_coding	B3GALT6
88	ENSG00000184163	protein_coding	C1QTNF12
89	ENSG00000260179	lincRNA	AL162741.1
90	ENSG00000160087	protein_coding	UBE2J2
91	ENSG00000230415	lincRNA	LINC01786
92	ENSG00000162572	protein_coding	SCNN1D
93	ENSG00000131584	protein_coding	ACAP3
94	ENSG00000278073	miRNA	MIR6726
95	ENSG00000169972	protein_coding	PUSL1
96	ENSG00000127054	protein_coding	INTS11
97	ENSG00000283712	miRNA	MIR6727
98	ENSG00000240731	sense_intronic	AL139287.1
99	ENSG00000224051	protein_coding	CPTP
100	ENSG00000169962	protein_coding	TAS1R3
101	ENSG00000107404	protein_coding	DVL1
102	ENSG00000284372	miRNA	MIR6808
103	ENSG00000162576	protein_coding	MXRA8
104	ENSG00000175756	protein_coding	AURKAIP1
105	ENSG00000223663	processed_pseudogene	NDUFB4P8
106	ENSG00000221978	protein_coding	CCNL2
107	ENSG00000224870	processed_transcript	AL391244.1
108	ENSG00000242485	protein_coding	MRPL20
109	ENSG00000264293	misc_RNA	RN7SL657P
110	ENSG00000272455	lincRNA	AL391244.3
111	ENSG00000235098	protein_coding	ANKRD65
112	ENSG00000225905	antisense	AL391244.2
113	ENSG00000205116	protein_coding	TMEM88B
114	ENSG00000225285	lincRNA	LINC01770
115	ENSG00000179403	protein_coding	VWA1
116	ENSG00000215915	protein_coding	ATAD3C
117	ENSG00000160072	protein_coding	ATAD3B
118	ENSG00000284740	transcribed_unprocessed_pseudogene	AL645728.2
119	ENSG00000197785	protein_coding	ATAD3A
120	ENSG00000205090	protein_coding	TMEM240
121	ENSG00000160075	protein_coding	SSU72
122	ENSG00000215014	processed_transcript	AL645728.1
123	ENSG00000274481	processed_pseudogene	AL691432.3
124	ENSG00000228594	protein_coding	FNDC10
125	ENSG00000272106	antisense	AL691432.2
126	ENSG00000197530	protein_coding	MIB2
127	ENSG00000189409	protein_coding	MMP23B
128	ENSG00000248333	protein_coding	CDK11B
129	ENSG00000272004	antisense	FO704657.1
130	ENSG00000189339	protein_coding	SLC35E2B
131	ENSG00000269737	transcribed_processed_pseudogene	AL691432.1
132	ENSG00000215914	unprocessed_pseudogene	MMP23A
133	ENSG00000008128	protein_coding	CDK11A
134	ENSG00000268575	processed_transcript	AL031282.2
135	ENSG00000227775	transcribed_processed_pseudogene	AL031282.1
136	ENSG00000215790	protein_coding	SLC35E2A
137	ENSG00000008130	protein_coding	NADK
138	ENSG00000078369	protein_coding	GNB1
139	ENSG00000231050	antisense	AL109917.1
140	ENSG00000169885	protein_coding	CALML6
141	ENSG00000178821	protein_coding	TMEM52
142	ENSG00000142609	protein_coding	CFAP74
143	ENSG00000233542	antisense	AL391845.2
144	ENSG00000187730	protein_coding	GABRD
145	ENSG00000226969	antisense	AL391845.1
146	ENSG00000067606	protein_coding	PRKCZ
147	ENSG00000271806	antisense	AL590822.2
148	ENSG00000182873	antisense	PRKCZ-AS1
149	ENSG00000162585	protein_coding	FAAP20
150	ENSG00000234396	lincRNA	AL590822.1
151	ENSG00000157933	protein_coding	SKI
