miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum	
MIMAT0018360	hsa-miR-3944-3p	ENSG00000147394	ZNF185	protein_coding	chrX	152139985	152140013	152139985	152140013	+	1	0	AGO1-4	0	0	0	1	0	0	0	6	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000078808	SDF4	protein_coding	chr1	1152971	1152977	1152971	1152977	-	3	0	"AGO1,AGO1-4"	0	0	1	0	0	0	0	2	"Flp-In-T-REx-293,Liver"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000158292	GPR153	protein_coding	chr1	6308881	6308887	6308881	6308887	-	1	0	AGO1-4	0	0	1	0	0	0	0	5	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000142798	HSPG2	protein_coding	chr1	22149763	22149769	22149763	22149769	-	5	0	"AGO1-4,AGO2"	0	0	1	0	0	0	0	8	"HeLa,MCF7"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000142798	HSPG2	protein_coding	chr1	22149889	22149910	22149889	22149910	-	6	0	"AGO1-4,AGO2"	0	1	0	0	0	0	0	8	"Huh7.5,Liver"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000179862	CITED4	protein_coding	chr1	41326786	41326792	41326786	41326792	-	11	0	"AGO1-4,AGO2"	0	0	1	0	0	0	0	2	"BT474,HeLa"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000197622	CDC42SE1	protein_coding	chr1	151024514	151024520	151024514	151024520	-	7	0	"AGO1-4,AGO2"	0	0	1	0	0	0	0	2	"HeLa,MCF7"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000116580	GON4L	protein_coding	chr1	155736191	155736211	155736191	155736211	-	1	0	AGO1-4	0	1	0	0	0	0	0	1	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000023572	GLRX2	protein_coding	chr1	193065697	193065702	193065697	193065702	-	8	0	"AGO1,AGO1-4,AGO2"	0	0	1	0	0	0	0	2	"HEK293,HeLa,MCF7"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000133056	PIK3C2B	protein_coding	chr1	204392653	204392659	204392653	204392659	-	1	0	AGO2	0	0	1	0	0	0	0	3	HeLa
MIMAT0018360	hsa-miR-3944-3p	ENSG00000162923	WDR26	protein_coding	chr1	224577398	224577404	224577398	224577404	-	3	0	"AGO1-4,AGO2"	0	0	1	0	0	0	0	4	"HeLa,MCF7"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000143811	PYCR2	protein_coding	chr1	226107809	226107815	226107809	226107815	-	1	0	AGO1-4	0	0	1	0	0	0	0	0	HUVEC
MIMAT0018360	hsa-miR-3944-3p	ENSG00000143793	C1orf35	protein_coding	chr1	228288733	228288739	228288733	228288739	-	2	0	AGO2	0	0	1	0	0	0	0	0	HEK293S
MIMAT0018360	hsa-miR-3944-3p	ENSG00000135747	ZNF670-ZNF695	protein_coding	chr1	247109004	247109010	247109004	247109010	-	1	0	AGO1-4	0	0	1	0	0	0	0	0	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000197472	ZNF695	protein_coding	chr1	247109004	247109010	247109004	247109010	-	1	0	AGO1-4	0	0	1	0	0	0	0	0	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000157916	RER1	protein_coding	chr1	2334970	2334976	2334970	2334976	+	1	0	AGO1-4	0	0	1	0	0	0	0	0	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000173436	MINOS1	protein_coding	chr1	19953824	19953830	19953824	19953830	+	1	0	AGO1-4	0	0	1	0	0	0	0	0	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000169242	EFNA1	protein_coding	chr1	155106730	155106736	155106730	155106736	+	3	0	AGO1-4	0	0	1	0	0	0	0	6	MCF7
MIMAT0018360	hsa-miR-3944-3p	ENSG00000185630	PBX1	protein_coding	chr1	164816964	164816970	164816964	164816970	+	2	0	"AGO1-4,AGO2"	0	0	1	0	0	0	0	8	"Huh7.5,MCF7"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000162783	IER5	protein_coding	chr1	181059800	181059806	181059779	181059807	+	12	0	"AGO1-4,AGO2"	0	0	1	1	0	0	0	3	"HeLa,Jijoye"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000162849	KIF26B	protein_coding	chr1	245866125	245866131	245866125	245866131	+	1	0	AGO2	0	0	1	0	0	0	0	10	Huh7.5
MIMAT0018360	hsa-miR-3944-3p	ENSG00000107959	PITRM1	protein_coding	chr10	3180190	3180196	3180190	3180196	-	4	0	"AGO1-4,AGO2"	0	0	1	0	0	0	0	0	"HeLa,MCF7"
MIMAT0018360	hsa-miR-3944-3p	ENSG00000148484	RSU1	protein_coding	chr10	16859024	16859045	16859024	16859045	-	1	0	AGO1-4	0	1	0	0	0	0	0	2	Liver
MIMAT0018360	hsa-miR-3944-3p	ENSG00000151150	ANK3	protein_coding	chr10	62023658	62023686	62023658	62023686	-	2	0	"AGO1-4,AGO2"	0	0	0	1	0	0	0	3	"MCF7,motor-cortex"
