#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0005936	hsa-miR-1278	ENSG00000099715	PCDH11Y	protein_coding	chrY	5609031	5609036	5609031	5609036	+	1	0	AGO1-4	1	0	0	0	0	0	0	2	BC-3
MIMAT0005936	hsa-miR-1278	ENSG00000162413	KLHL21	protein_coding	chr1	6650811	6650817	6650811	6650817	-	1	0	AGO2	1	0	1	0	0	0	0	3	HEK293
MIMAT0005936	hsa-miR-1278	ENSG00000198793	MTOR	protein_coding	chr1	11167204	11167209	11167204	11167209	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000177000	MTHFR	protein_coding	chr1	11846945	11846950	11846945	11846950	-	1	0	AGO2	1	0	0	0	0	0	0	0	HEK293
MIMAT0005936	hsa-miR-1278	ENSG00000177000	MTHFR	protein_coding	chr1	11850534	11850539	11850534	11850539	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000127483	HP1BP3	protein_coding	chr1	21069423	21069428	21069423	21069428	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000127483	HP1BP3	protein_coding	chr1	21069527	21069534	21069527	21069534	-	3	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0005936	hsa-miR-1278	ENSG00000075151	EIF4G3	protein_coding	chr1	21133032	21133038	21133031	21133059	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	3	HeLa,MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000075151	EIF4G3	protein_coding	chr1	21133124	21133129	21133123	21133151	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	3	HeLa,MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000075151	EIF4G3	protein_coding	chr1	21268419	21268447	21268419	21268447	-	6	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3	Huh7.5,MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000090686	USP48	protein_coding	chr1	22054923	22054928	22054923	22054928	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005936	hsa-miR-1278	ENSG00000020633	RUNX3	protein_coding	chr1	25227145	25227150	25227145	25227150	-	2	0	AGO2	1	0	0	0	0	0	0	1	HEK293S
