#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0002841	hsa-miR-518f-5p	ENSG00000198689	SLC9A6	protein_coding	chrX	135129073	135129078	135129073	135129078	+	3	0	AGO2	1	0	0	0	0	0	0	4	HeLa
MIMAT0002841	hsa-miR-518f-5p	ENSG00000142599	RERE	protein_coding	chr1	8413422	8413427	8413422	8413427	-	2	0	AGO2	0	0	1	0	0	0	0	2	Huh7.5
MIMAT0002841	hsa-miR-518f-5p	ENSG00000177000	MTHFR	protein_coding	chr1	11846913	11846918	11846913	11846918	-	1	0	AGO2	0	0	1	0	0	0	0	3	HEK293
MIMAT0002841	hsa-miR-518f-5p	ENSG00000177000	MTHFR	protein_coding	chr1	11847019	11847024	11847019	11847024	-	1	1	AGO2	0	0	1	0	0	0	0	3	DG75-BCBL-1
MIMAT0002841	hsa-miR-518f-5p	ENSG00000125944	HNRNPR	protein_coding	chr1	23636898	23636904	23636898	23636904	-	6	0	AGO1,AGO1-4,AGO2	0	0	1	0	0	0	0	1	HEK293,MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000159658	EFCAB14	protein_coding	chr1	47141419	47141424	47141419	47141424	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000159658	EFCAB14	protein_coding	chr1	47142771	47142776	47142771	47142776	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000162600	OMA1	protein_coding	chr1	58946486	58946491	58946486	58946491	-	1	0	AGO2	0	0	1	0	0	0	0	6	HEK293
MIMAT0002841	hsa-miR-518f-5p	ENSG00000132485	ZRANB2	protein_coding	chr1	71532514	71532536	71532514	71532536	-	1	0	AGO1-4	0	1	0	0	0	0	0	2	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000137941	TTLL7	protein_coding	chr1	84335365	84335370	84335365	84335370	-	3	0	AGO2	0	0	1	0	0	0	0	5	HeLa
MIMAT0002841	hsa-miR-518f-5p	ENSG00000117155	SSX2IP	protein_coding	chr1	85110813	85110818	85110813	85110818	-	1	0	AGO1-4	0	0	1	0	0	0	0	7	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000117155	SSX2IP	protein_coding	chr1	85112215	85112220	85112215	85112220	-	1	0	AGO1-4	0	0	1	0	0	0	0	7	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000153898	MCOLN2	protein_coding	chr1	85391913	85391918	85391913	85391918	-	2	0	AGO2	0	0	1	0	0	0	0	4	HEK293S
MIMAT0002841	hsa-miR-518f-5p	ENSG00000097096	SYDE2	protein_coding	chr1	85623365	85623371	85623365	85623371	-	2	0	AGO2	0	0	1	0	0	0	0	2	HeLa
MIMAT0002841	hsa-miR-518f-5p	ENSG00000097096	SYDE2	protein_coding	chr1	85623773	85623779	85623773	85623779	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000117226	GBP3	protein_coding	chr1	89472785	89472790	89472785	89472790	-	4	0	AGO2	0	0	1	0	0	0	0	6	LCL35
MIMAT0002841	hsa-miR-518f-5p	ENSG00000155380	SLC16A1	protein_coding	chr1	113455887	113455892	113455887	113455892	-	2	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0002841	hsa-miR-518f-5p	ENSG00000155380	SLC16A1	protein_coding	chr1	113456204	113456210	113456204	113456210	-	4	0	AGO2	0	0	1	0	0	0	0	2	HeLa
MIMAT0002841	hsa-miR-518f-5p	ENSG00000081019	RSBN1	protein_coding	chr1	114305338	114305343	114305338	114305343	-	1	0	AGO2	0	0	1	0	0	0	0	3	Huh7.5
MIMAT0002841	hsa-miR-518f-5p	ENSG00000134262	AP4B1	protein_coding	chr1	114437664	114437669	114437664	114437669	-	2	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
