#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0001339	hsa-miR-422a	ENSG00000008130	NADK	protein_coding	chr1	1684190	1684195	1684190	1684195	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000142606	MMEL1	protein_coding	chr1	2522241	2522246	2522241	2522246	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000097021	ACOT7	protein_coding	chr1	6324599	6324604	6324599	6324604	-	8	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	BT474,HEK293S
MIMAT0001339	hsa-miR-422a	ENSG00000162408	NOL9	protein_coding	chr1	6585460	6585465	6585460	6585465	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0001339	hsa-miR-422a	ENSG00000162408	NOL9	protein_coding	chr1	6585685	6585690	6585685	6585690	-	1	0	AGO2	1	0	0	0	0	0	0	0	HEK293
MIMAT0001339	hsa-miR-422a	ENSG00000162413	KLHL21	protein_coding	chr1	6650846	6650851	6650846	6650851	-	2	0	AGO2	1	0	1	0	0	0	0	1	HeLa
MIMAT0001339	hsa-miR-422a	ENSG00000162413	KLHL21	protein_coding	chr1	6652491	6652496	6652491	6652496	-	3	0	AGO2	1	0	1	0	0	0	0	1	HEK293S
MIMAT0001339	hsa-miR-422a	ENSG00000162413	KLHL21	protein_coding	chr1	6652953	6652958	6652953	6652958	-	3	0	AGO2	1	0	1	0	0	0	0	1	HEK293S
MIMAT0001339	hsa-miR-422a	ENSG00000007923	DNAJC11	protein_coding	chr1	6694811	6694818	6694811	6694818	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000171603	CLSTN1	protein_coding	chr1	9789560	9789565	9789560	9789565	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000160049	DFFA	protein_coding	chr1	10523611	10523634	10523611	10523634	-	2	0	AGO1-4,AGO2	0	1	0	0	0	0	0	0	HEK293,HS5
MIMAT0001339	hsa-miR-422a	ENSG00000130940	CASZ1	protein_coding	chr1	10698080	10698085	10698080	10698085	-	2	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000177000	MTHFR	protein_coding	chr1	11847456	11847461	11847456	11847461	-	1	0	AGO2	1	0	0	0	0	0	0	0	Huh7.5
MIMAT0001339	hsa-miR-422a	ENSG00000179051	RCC2	protein_coding	chr1	17733962	17733968	17733961	17733981	-	14	1	AGO1-4,AGO2	1	0	0	0	1	0	1	1	BT474,HeLa
MIMAT0001339	hsa-miR-422a	ENSG00000159423	ALDH4A1	protein_coding	chr1	19199298	19199303	19199298	19199303	-	3	0	AGO1-4	1	0	0	0	0	0	0	2	BT474
MIMAT0001339	hsa-miR-422a	ENSG00000159423	ALDH4A1	protein_coding	chr1	19199314	19199319	19199314	19199319	-	2	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000127481	UBR4	protein_coding	chr1	19474549	19474567	19474549	19474567	-	5	0	AGO1-4,AGO2	0	1	0	0	0	0	0	0	HEK293S,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000162545	CAMK2N1	protein_coding	chr1	20809638	20809643	20809637	20809658	-	11	0	AGO1-4,AGO2	1	0	0	0	1	0	0	0	HeLa,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000090432	MUL1	protein_coding	chr1	20825975	20825980	20825975	20825980	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000189410	SH2D5	protein_coding	chr1	21046526	21046531	21046526	21046531	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0001339	hsa-miR-422a	ENSG00000075151	EIF4G3	protein_coding	chr1	21133336	21133342	21133335	21133363	-	3	0	AGO1-4,AGO2	1	0	1	1	1	0	1	0	HeLa,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000075151	EIF4G3	protein_coding	chr1	21268131	21268159	21268131	21268159	-	6	0	AGO1-4	0	0	0	1	0	0	0	0	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000125945	ZNF436	protein_coding	chr1	23686999	23687005	23686998	23687019	-	3	0	AGO1-4,AGO2	1	0	1	0	1	0	0	0	HS27a,HeLa
MIMAT0001339	hsa-miR-422a	ENSG00000007968	E2F2	protein_coding	chr1	23835430	23835435	23835429	23835457	-	4	0	AGO2	1	0	1	1	0	0	0	1	DG75-BCBL-1
MIMAT0001339	hsa-miR-422a	ENSG00000007968	E2F2	protein_coding	chr1	23835529	23835557	23835529	23835557	-	1	0	AGO2	0	0	0	1	0	0	0	1	EWS
MIMAT0001339	hsa-miR-422a	ENSG00000007968	E2F2	protein_coding	chr1	23835800	23835805	23835799	23835827	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1	DG75-BCBL-1,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000007968	E2F2	protein_coding	chr1	23836073	23836079	23836072	23836100	-	3	0	AGO1-4	1	0	1	1	0	0	0	1	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000188529	SRSF10	protein_coding	chr1	24297450	24297456	24297449	24297473	-	3	0	AGO1-4,AGO2	0	0	1	0	1	0	1	2	HEK293,HS27a
MIMAT0001339	hsa-miR-422a	ENSG00000126705	AHDC1	protein_coding	chr1	27861107	27861112	27861106	27861112	-	7	0	AGO1-4,AGO2	1	0	0	0	0	1	0	1	BT474,HEK293
MIMAT0001339	hsa-miR-422a	ENSG00000000938	FGR	protein_coding	chr1	27939040	27939046	27939039	27939059	-	2	0	AGO2	1	0	1	0	1	0	0	0	LCL-BAC
MIMAT0001339	hsa-miR-422a	ENSG00000126709	IFI6	protein_coding	chr1	27992774	27992779	27992761	27992779	-	3	0	AGO1-4	1	1	0	0	0	0	0	0	TrHBMEC
MIMAT0001339	hsa-miR-422a	ENSG00000158161	EYA3	protein_coding	chr1	28298355	28298360	28298355	28298360	-	1	0	AGO2	0	0	1	0	0	0	0	0	Huh7.5
MIMAT0001339	hsa-miR-422a	ENSG00000158161	EYA3	protein_coding	chr1	28337530	28337551	28337530	28337551	-	1	0	AGO2	0	1	0	0	0	0	0	0	EF3D-AGO2
MIMAT0001339	hsa-miR-422a	ENSG00000116350	SRSF4	protein_coding	chr1	29475192	29475216	29475192	29475216	-	1	0	AGO1-4	0	0	0	0	1	0	0	0	HUVEC
MIMAT0001339	hsa-miR-422a	ENSG00000060688	SNRNP40	protein_coding	chr1	31732838	31732843	31732838	31732843	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HS27a,HeLa
MIMAT0001339	hsa-miR-422a	ENSG00000162517	PEF1	protein_coding	chr1	32095505	32095511	32095504	32095532	-	14	0	AGO1,AGO1-4,AGO2	1	0	1	1	1	0	1	0	HEK293,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000162517	PEF1	protein_coding	chr1	32095902	32095907	32095901	32095929	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	0	Huh7.5,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000175130	MARCKSL1	protein_coding	chr1	32799787	32799792	32799787	32799792	-	12	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	BT474,HEK293S
MIMAT0001339	hsa-miR-422a	ENSG00000134684	YARS	protein_coding	chr1	33241344	33241350	33241343	33241362	-	2	0	AGO1-4	1	1	0	0	0	0	0	0	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000196182	STK40	protein_coding	chr1	36805721	36805726	36805721	36805726	-	2	0	AGO2	1	0	0	0	0	0	0	1	HEK293S
MIMAT0001339	hsa-miR-422a	ENSG00000163877	SNIP1	protein_coding	chr1	38003263	38003268	38003263	38003268	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	DG75-BCBL-1,MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000183317	EPHA10	protein_coding	chr1	38184001	38184006	38184001	38184006	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000188786	MTF1	protein_coding	chr1	38287957	38287977	38287957	38287977	-	3	0	AGO1,AGO2	0	1	0	0	0	0	0	0	DG75-BCBL-1,HEK293
MIMAT0001339	hsa-miR-422a	ENSG00000214114	MYCBP	protein_coding	chr1	39328831	39328836	39328831	39328836	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000010803	SCMH1	protein_coding	chr1	41493661	41493666	41493661	41493666	-	2	0	AGO2	1	0	0	0	0	0	0	0	HEK293S
MIMAT0001339	hsa-miR-422a	ENSG00000127124	HIVEP3	protein_coding	chr1	41976012	41976017	41976012	41976017	-	1	0	AGO1-4	1	0	1	0	0	0	0	1	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000127124	HIVEP3	protein_coding	chr1	41976081	41976086	41976081	41976086	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	1	BT474,EWS
MIMAT0001339	hsa-miR-422a	ENSG00000127124	HIVEP3	protein_coding	chr1	42049479	42049498	42049479	42049498	-	1	0	AGO1-4	0	1	0	0	0	0	0	1	MCF7
MIMAT0001339	hsa-miR-422a	ENSG00000198815	FOXJ3	protein_coding	chr1	42642856	42642861	42642856	42642861	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
