#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0018937	hsa-miR-378g	ENSG00000169100	SLC25A6	protein_coding	chrY	1455212	1455218	1455212	1455218	-	6	0	AGO1,AGO1-4	0	0	0	0	0	1	0	1	BT474,Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000160087	UBE2J2	protein_coding	chr1	1190500	1190520	1190500	1190520	-	1	0	AGO1	0	1	0	0	0	0	0	1	Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000242485	MRPL20	protein_coding	chr1	1340943	1340949	1340942	1340970	-	1	0	AGO1-4	0	0	1	1	0	0	0	0	HS27a
MIMAT0018937	hsa-miR-378g	ENSG00000008130	NADK	protein_coding	chr1	1683087	1683092	1683087	1683092	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000178821	TMEM52	protein_coding	chr1	1849141	1849159	1849141	1849159	-	1	0	AGO1-4	0	1	0	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000162591	MEGF6	protein_coding	chr1	3406677	3406682	3406677	3406682	-	1	0	AGO1-4	0	0	1	0	0	0	0	0	Liver
MIMAT0018937	hsa-miR-378g	ENSG00000116198	CEP104	protein_coding	chr1	3731416	3731421	3731416	3731421	-	3	0	AGO1-4	0	0	1	0	0	0	0	0	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000198912	C1orf174	protein_coding	chr1	3806231	3806250	3806231	3806250	-	2	0	AGO1-4	0	1	0	0	0	0	0	3	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000116254	CHD5	protein_coding	chr1	6165063	6165069	6165062	6165090	-	1	0	AGO1	0	0	1	1	0	0	0	0	Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000116254	CHD5	protein_coding	chr1	6206827	6206855	6206827	6206855	-	1	0	AGO1-4	0	0	0	1	0	0	0	0	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000116237	ICMT	protein_coding	chr1	6282676	6282682	6282676	6282682	-	1	0	AGO2	0	0	1	0	0	0	0	1	HK-2
MIMAT0018937	hsa-miR-378g	ENSG00000171680	PLEKHG5	protein_coding	chr1	6527152	6527157	6527152	6527157	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000162408	NOL9	protein_coding	chr1	6582917	6582922	6582917	6582922	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000142599	RERE	protein_coding	chr1	8421355	8421374	8421355	8421374	-	6	0	AGO1-4,AGO2	0	1	0	0	0	0	0	1	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000180758	GPR157	protein_coding	chr1	9160545	9160550	9160545	9160550	-	2	0	AGO1,AGO1-4	0	0	1	0	0	0	0	1	Flp-In-T-REx-293,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000130940	CASZ1	protein_coding	chr1	10697292	10697298	10697292	10697298	-	3	0	AGO1-4	0	0	0	0	0	1	0	0	BT474
MIMAT0018937	hsa-miR-378g	ENSG00000171824	EXOSC10	protein_coding	chr1	11132202	11132207	11132201	11132229	-	1	0	AGO2	0	0	1	1	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000171824	EXOSC10	protein_coding	chr1	11159859	11159887	11159859	11159887	-	1	0	AGO1-4	0	0	0	1	0	0	0	1	HS5
MIMAT0018937	hsa-miR-378g	ENSG00000177000	MTHFR	protein_coding	chr1	11848187	11848192	11848187	11848192	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	1	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000177000	MTHFR	protein_coding	chr1	11849930	11849936	11849930	11849936	-	1	0	AGO1	0	0	1	0	0	0	0	1	Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000179051	RCC2	protein_coding	chr1	17733638	17733644	17733637	17733657	-	5	0	AGO1-4,AGO2	0	1	1	0	0	0	0	1	HS27a,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000179051	RCC2	protein_coding	chr1	17733817	17733823	17733817	17733823	-	6	0	AGO1-4,AGO2	0	0	1	0	0	0	0	1	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000169991	IFFO2	protein_coding	chr1	19231373	19231379	19231373	19231379	-	1	0	AGO1	0	0	1	0	0	0	0	2	Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000169991	IFFO2	protein_coding	chr1	19231867	19231873	19231867	19231873	-	1	0	AGO2	0	0	1	0	0	0	0	2	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000169991	IFFO2	protein_coding	chr1	19232366	19232372	19232366	19232372	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000127481	UBR4	protein_coding	chr1	19423091	19423111	19423091	19423111	-	2	0	AGO1-4	0	1	0	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000127463	EMC1	protein_coding	chr1	19543984	19543989	19543983	19544003	-	3	0	AGO1-4,AGO2	0	1	1	0	0	0	0	2	HCT116,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117298	ECE1	protein_coding	chr1	21543963	21543968	21543963	21543968	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HUVEC,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000117298	ECE1	protein_coding	chr1	21544450	21544455	21544450	21544455	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117298	ECE1	protein_coding	chr1	21544464	21544470	21544464	21544470	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117298	ECE1	protein_coding	chr1	21544819	21544825	21544819	21544825	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000117298	ECE1	protein_coding	chr1	21545760	21545765	21545760	21545765	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HUVEC,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22149013	22149018	22149012	22149018	-	2	0	AGO1-4	0	0	1	0	0	1	0	1	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22149088	22149094	22149088	22149094	-	2	0	AGO1-4	0	0	1	0	0	1	0	1	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22149534	22149539	22149533	22149539	-	3	0	AGO1-4	0	0	1	0	0	1	0	1	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22172986	22172991	22172985	22173013	-	6	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	HUVEC,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22174327	22174332	22174327	22174332	-	2	0	AGO1-4	0	0	1	0	0	0	0	1	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22176579	22176584	22176578	22176606	-	4	0	AGO1-4	0	0	1	1	0	0	0	1	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22178084	22178089	22178083	22178111	-	3	0	AGO1-4	0	0	1	1	0	0	0	1	HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000142798	HSPG2	protein_coding	chr1	22178626	22178631	22178625	22178653	-	6	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	Huh7.5,Liver
MIMAT0018937	hsa-miR-378g	ENSG00000125945	ZNF436	protein_coding	chr1	23687028	23687034	23687028	23687034	-	4	0	AGO1-4	0	0	1	0	0	0	0	1	HS27a
MIMAT0018937	hsa-miR-378g	ENSG00000088280	ASAP3	protein_coding	chr1	23759738	23759766	23759738	23759766	-	1	0	AGO1-4	0	0	0	1	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000088280	ASAP3	protein_coding	chr1	23763747	23763775	23763747	23763775	-	1	0	AGO1-4	0	0	0	1	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000007968	E2F2	protein_coding	chr1	23834708	23834713	23834708	23834713	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	1	Jijoye
MIMAT0018937	hsa-miR-378g	ENSG00000007968	E2F2	protein_coding	chr1	23842870	23842886	23842870	23842886	-	9	0	AGO1-4,AGO2	0	1	0	0	0	0	0	1	BT474,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000188529	SRSF10	protein_coding	chr1	24294308	24294313	24294308	24294313	-	2	0	AGO1,AGO2	0	0	1	0	0	0	0	1	HEK293,Huh7.5
MIMAT0018937	hsa-miR-378g	ENSG00000142677	IL22RA1	protein_coding	chr1	24446400	24446420	24446400	24446420	-	1	0	AGO2	0	1	0	0	0	0	0	0	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000185436	IFNLR1	protein_coding	chr1	24481875	24481880	24481875	24481880	-	1	0	AGO2	0	0	1	0	0	0	0	1	HEK293
MIMAT0018937	hsa-miR-378g	ENSG00000020633	RUNX3	protein_coding	chr1	25228381	25228386	25228381	25228386	-	1	0	AGO2	0	0	1	0	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000182749	PAQR7	protein_coding	chr1	26189067	26189072	26189067	26189072	-	2	0	AGO2	0	0	1	0	0	0	0	1	HEK293S
MIMAT0018937	hsa-miR-378g	ENSG00000117632	STMN1	protein_coding	chr1	26226853	26226859	26226852	26226872	-	6	0	AGO1,AGO1-4,AGO2	0	1	1	0	0	0	0	1	HEK293,HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000158006	PAFAH2	protein_coding	chr1	26288054	26288060	26288054	26288060	-	3	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000158006	PAFAH2	protein_coding	chr1	26288156	26288162	26288156	26288162	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	BT474,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000131910	NR0B2	protein_coding	chr1	27240084	27240103	27240084	27240103	-	1	0	AGO1-4	0	1	0	0	0	0	0	1	Liver
MIMAT0018937	hsa-miR-378g	ENSG00000158195	WASF2	protein_coding	chr1	27731738	27731743	27731730	27731765	-	4	0	AGO1-4	0	1	1	1	0	0	0	1	HS27a
MIMAT0018937	hsa-miR-378g	ENSG00000158195	WASF2	protein_coding	chr1	27731864	27731869	27731863	27731891	-	12	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	DG75-BCBL-1,MDA-MB-231
MIMAT0018937	hsa-miR-378g	ENSG00000158195	WASF2	protein_coding	chr1	27732639	27732667	27732639	27732667	-	1	0	AGO2	0	0	0	1	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000158195	WASF2	protein_coding	chr1	27733946	27733952	27733945	27733973	-	3	0	AGO1-4,AGO2	0	0	1	1	0	1	0	1	EWS,HUVEC
MIMAT0018937	hsa-miR-378g	ENSG00000134644	PUM1	protein_coding	chr1	31438913	31438930	31438913	31438930	-	2	0	AGO1-4,AGO2	0	1	0	0	0	0	0	2	Huh7.5,Liver
MIMAT0018937	hsa-miR-378g	ENSG00000084628	NKAIN1	protein_coding	chr1	31653907	31653912	31653907	31653912	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000175130	MARCKSL1	protein_coding	chr1	32800096	32800102	32800096	32800102	-	8	0	AGO1-4,AGO2	0	0	0	0	0	1	0	4	BT474,EWS
MIMAT0018937	hsa-miR-378g	ENSG00000160058	BSDC1	protein_coding	chr1	32831519	32831525	32831519	32831525	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000160058	BSDC1	protein_coding	chr1	32832157	32832163	32832157	32832163	-	3	0	AGO2	0	0	1	0	0	0	0	1	HEK293S
MIMAT0018937	hsa-miR-378g	ENSG00000116514	RNF19B	protein_coding	chr1	33402273	33402278	33402273	33402278	-	1	0	AGO2	0	0	1	0	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000116514	RNF19B	protein_coding	chr1	33402629	33402634	33402629	33402634	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	1	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000163866	SMIM12	protein_coding	chr1	35320768	35320774	35320768	35320774	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000054116	TRAPPC3	protein_coding	chr1	36603525	36603531	36603525	36603531	-	5	0	AGO1,AGO1-4,AGO2	0	0	1	0	0	0	0	0	BT474,EF3D-AGO2,HEK293
MIMAT0018937	hsa-miR-378g	ENSG00000196182	STK40	protein_coding	chr1	36805769	36805775	36805768	36805796	-	2	0	AGO2	0	0	1	1	0	1	0	1	HCT116
MIMAT0018937	hsa-miR-378g	ENSG00000196182	STK40	protein_coding	chr1	36807219	36807225	36807218	36807246	-	2	0	AGO1-4	0	0	1	1	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000116922	C1orf109	protein_coding	chr1	38148036	38148042	38148036	38148042	-	2	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000196449	YRDC	protein_coding	chr1	38269103	38269109	38269103	38269109	-	1	0	AGO2	0	0	1	0	0	0	0	1	HCT116
MIMAT0018937	hsa-miR-378g	ENSG00000196449	YRDC	protein_coding	chr1	38269126	38269131	38269126	38269131	-	1	0	AGO2	0	0	1	0	0	0	0	1	HCT116
MIMAT0018937	hsa-miR-378g	ENSG00000204084	INPP5B	protein_coding	chr1	38327375	38327380	38327375	38327380	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	HS5
MIMAT0018937	hsa-miR-378g	ENSG00000183431	SF3A3	protein_coding	chr1	38423622	38423628	38423621	38423649	-	5	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000183431	SF3A3	protein_coding	chr1	38423821	38423827	38423820	38423848	-	2	0	AGO1,AGO2	0	0	1	1	0	0	0	1	DG75-BCBL-1,Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000116954	RRAGC	protein_coding	chr1	39304111	39304116	39304111	39304116	-	5	0	AGO1,AGO1-4,AGO2	0	0	1	0	0	0	0	1	HEK293,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000116985	BMP8B	protein_coding	chr1	40225879	40225885	40225879	40225885	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117016	RIMS3	protein_coding	chr1	41087704	41087709	41087704	41087709	-	1	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000127124	HIVEP3	protein_coding	chr1	41978506	41978534	41978506	41978534	-	2	0	AGO1-4	0	0	0	1	0	0	0	0	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000127124	HIVEP3	protein_coding	chr1	42049469	42049497	42049469	42049497	-	1	0	AGO1-4	0	0	0	1	0	0	0	0	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000198815	FOXJ3	protein_coding	chr1	42642848	42642854	42642848	42642854	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000198815	FOXJ3	protein_coding	chr1	42644171	42644176	42644171	42644176	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000198815	FOXJ3	protein_coding	chr1	42644429	42644434	42644429	42644434	-	2	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117385	P3H1	protein_coding	chr1	43212144	43212149	43212143	43212171	-	2	0	AGO1-4	0	1	1	1	0	0	0	4	HS5
MIMAT0018937	hsa-miR-378g	ENSG00000117385	P3H1	protein_coding	chr1	43212437	43212442	43212436	43212464	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	0	4	Huh7.5,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117385	P3H1	protein_coding	chr1	43212478	43212484	43212477	43212505	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	0	4	Huh7.5,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000253313	C1orf210	protein_coding	chr1	43747791	43747796	43747791	43747796	-	2	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000253313	C1orf210	protein_coding	chr1	43747908	43747913	43747907	43747927	-	2	0	AGO1-4	0	1	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000253313	C1orf210	protein_coding	chr1	43747992	43747997	43747992	43747997	-	2	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000196517	SLC6A9	protein_coding	chr1	44462416	44462421	44462415	44462443	-	13	0	AGO1,AGO2,AGO3,AGO4	0	0	1	1	0	0	0	1	HEK293,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000196517	SLC6A9	protein_coding	chr1	44462481	44462487	44462480	44462508	-	2	0	AGO2	0	0	1	1	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000196517	SLC6A9	protein_coding	chr1	44462571	44462576	44462570	44462598	-	8	0	AGO1,AGO1-4,AGO2	0	0	1	1	0	0	0	1	HEK293,HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000196517	SLC6A9	protein_coding	chr1	44462734	44462739	44462733	44462761	-	5	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	HeLa,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000196517	SLC6A9	protein_coding	chr1	44462761	44462766	44462760	44462788	-	4	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	Huh7.5,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000126107	HECTD3	protein_coding	chr1	45468898	45468904	45468897	45468925	-	11	0	AGO1-4,AGO2	0	0	1	1	0	1	0	0	HeLa,Jijoye
MIMAT0018937	hsa-miR-378g	ENSG00000126107	HECTD3	protein_coding	chr1	45468984	45468989	45468983	45469011	-	3	0	AGO1-4	0	0	1	1	0	0	0	0	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000126107	HECTD3	protein_coding	chr1	45469105	45469110	45469104	45469132	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	0	0	HeLa,Liver
MIMAT0018937	hsa-miR-378g	ENSG00000126107	HECTD3	protein_coding	chr1	45473181	45473209	45473181	45473209	-	1	0	AGO1-4	0	0	0	1	0	0	0	0	marrow-stromal-cells
MIMAT0018937	hsa-miR-378g	ENSG00000085998	POMGNT1	protein_coding	chr1	46654492	46654497	46654492	46654497	-	1	0	AGO2	0	0	1	0	0	0	0	1	Huh7.5
MIMAT0018937	hsa-miR-378g	ENSG00000085998	POMGNT1	protein_coding	chr1	46659284	46659290	46659284	46659290	-	1	0	AGO2	0	0	1	0	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000123473	STIL	protein_coding	chr1	47716463	47716469	47716463	47716469	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000169213	RAB3B	protein_coding	chr1	52374678	52374683	52374677	52374705	-	1	0	AGO1-4	0	0	1	1	0	0	0	3	HS5
MIMAT0018937	hsa-miR-378g	ENSG00000116133	DHCR24	protein_coding	chr1	55317739	55317745	55317739	55317745	-	4	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000162601	MYSM1	protein_coding	chr1	59131182	59131210	59131182	59131210	-	1	0	AGO1-4	0	0	0	1	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000142864	SERBP1	protein_coding	chr1	67875591	67875597	67875590	67875618	-	1	0	AGO2	0	0	1	1	0	0	0	1	Huh7.5
MIMAT0018937	hsa-miR-378g	ENSG00000172380	GNG12	protein_coding	chr1	68169320	68169325	68169320	68169325	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	0	HS27a,HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000172380	GNG12	protein_coding	chr1	68170198	68170204	68170198	68170204	-	2	0	AGO1-4	0	0	1	0	0	0	0	0	HS27a
MIMAT0018937	hsa-miR-378g	ENSG00000097096	SYDE2	protein_coding	chr1	85624033	85624038	85624033	85624038	-	1	0	AGO1	0	0	1	0	0	0	0	2	Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000117525	F3	protein_coding	chr1	94995350	94995355	94995350	94995355	-	2	0	AGO1-4,AGO2	0	0	1	0	0	0	0	2	HCT116,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000117525	F3	protein_coding	chr1	94995603	94995608	94995602	94995622	-	2	0	AGO2	0	1	1	0	0	0	0	2	HCT116
MIMAT0018937	hsa-miR-378g	ENSG00000085491	SLC25A24	protein_coding	chr1	108741504	108741509	108741504	108741509	-	1	0	AGO2	0	0	1	0	0	0	0	0	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000121940	CLCC1	protein_coding	chr1	109473100	109473105	109473100	109473105	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000121940	CLCC1	protein_coding	chr1	109473187	109473192	109473187	109473192	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000121940	CLCC1	protein_coding	chr1	109474615	109474620	109474615	109474620	-	2	0	AGO2	0	0	1	0	0	0	0	1	HEK293S
MIMAT0018937	hsa-miR-378g	ENSG00000134222	PSRC1	protein_coding	chr1	109822671	109822677	109822671	109822677	-	3	0	AGO1,AGO1-4	0	0	0	0	0	1	0	1	Flp-In-T-REx-293,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000134243	SORT1	protein_coding	chr1	109852991	109852997	109852991	109852997	-	2	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000134243	SORT1	protein_coding	chr1	109853429	109853435	109853429	109853435	-	1	0	AGO1	0	0	1	0	0	0	0	2	Flp-In-T-REx-293
MIMAT0018937	hsa-miR-378g	ENSG00000134243	SORT1	protein_coding	chr1	109855788	109855793	109855788	109855793	-	1	0	AGO1-4	0	0	1	0	0	0	0	2	MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000081019	RSBN1	protein_coding	chr1	114307974	114307980	114307973	114308001	-	2	0	AGO2	0	0	1	1	0	0	0	1	HeLa
MIMAT0018937	hsa-miR-378g	ENSG00000052723	SIKE1	protein_coding	chr1	115313303	115313308	115313302	115313330	-	4	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	Huh7.5,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000052723	SIKE1	protein_coding	chr1	115315334	115315340	115315333	115315361	-	5	0	AGO1,AGO1-4	0	0	1	1	0	0	0	1	Flp-In-T-REx-293,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000052723	SIKE1	protein_coding	chr1	115315702	115315707	115315701	115315729	-	5	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	Huh7.5,MCF7
MIMAT0018937	hsa-miR-378g	ENSG00000052723	SIKE1	protein_coding	chr1	115315805	115315810	115315804	115315832	-	2	0	AGO1-4,AGO2	0	0	1	1	0	0	0	1	Huh7.5,MCF7
