#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0002855	hsa-miR-520d-5p	ENSG00000124333	VAMP7	protein_coding	chrY	59275897	59275918	59275897	59275918	+	1	3	AGO1	0	0	0	0	1	0	0	1	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000160087	UBE2J2	protein_coding	chr1	1190336	1190341	1190336	1190341	-	8	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000248333	CDK11B	protein_coding	chr1	1571000	1571016	1570988	1571028	-	1	0	AGO1	0	0	0	2	0	0	0	2	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000078369	GNB1	protein_coding	chr1	1716830	1716837	1716830	1716837	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	BT474,HeLa
MIMAT0002855	hsa-miR-520d-5p	ENSG00000078369	GNB1	protein_coding	chr1	1718043	1718048	1718043	1718048	-	9	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000178821	TMEM52	protein_coding	chr1	1849039	1849044	1849039	1849044	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000197921	HES5	protein_coding	chr1	2460594	2460599	2460594	2460599	-	2	0	AGO2	1	0	0	0	0	0	0	2	HEK293S
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116213	WRAP73	protein_coding	chr1	3547396	3547401	3547396	3547401	-	1	0	AGO2	1	0	0	0	0	0	0	2	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000130764	LRRC47	protein_coding	chr1	3697383	3697388	3697383	3697388	-	1	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000198912	C1orf174	protein_coding	chr1	3805894	3805900	3805894	3805900	-	2	0	AGO1	1	0	0	0	0	0	0	0	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000131697	NPHP4	protein_coding	chr1	5922964	5922969	5922964	5922969	-	1	0	AGO2	1	0	0	0	0	0	0	4	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000131697	NPHP4	protein_coding	chr1	5923156	5923161	5923156	5923161	-	1	0	AGO1-4	1	0	0	0	0	0	0	4	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116254	CHD5	protein_coding	chr1	6161905	6161911	6161904	6161932	-	1	0	AGO2	1	0	0	1	0	0	0	0	BC-1
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116254	CHD5	protein_coding	chr1	6165218	6165223	6165217	6165245	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0	DG75-BCBL-1,HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116251	RPL22	protein_coding	chr1	6246578	6246583	6246578	6246583	-	2	0	AGO1,AGO1-4	1	0	0	0	0	0	0	1	HEK293,Liver
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116251	RPL22	protein_coding	chr1	6246706	6246711	6246706	6246711	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	BC-1,HS5
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116237	ICMT	protein_coding	chr1	6281539	6281546	6281539	6281546	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293S,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116237	ICMT	protein_coding	chr1	6281664	6281670	6281664	6281670	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	DG75-BCBL-1,Jijoye
MIMAT0002855	hsa-miR-520d-5p	ENSG00000162408	NOL9	protein_coding	chr1	6581433	6581438	6581433	6581438	-	1	0	AGO1	0	0	1	0	0	0	0	1	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000162408	NOL9	protein_coding	chr1	6582310	6582315	6582310	6582315	-	1	0	AGO2	0	0	1	0	0	0	0	1	HEK293
MIMAT0002855	hsa-miR-520d-5p	ENSG00000162408	NOL9	protein_coding	chr1	6582453	6582458	6582453	6582458	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000142599	RERE	protein_coding	chr1	8412513	8412518	8412512	8412540	-	4	0	AGO1-4,AGO2	1	0	0	1	0	0	0	2	HEK293,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000171603	CLSTN1	protein_coding	chr1	9790063	9790068	9790063	9790068	-	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	5	HEK293,HEK293S,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000130940	CASZ1	protein_coding	chr1	10697132	10697137	10697132	10697139	-	14	0	AGO1,AGO1-4,AGO2	1	0	1	0	0	0	0	8	BT474,HEK293,LCL35
MIMAT0002855	hsa-miR-520d-5p	ENSG00000130940	CASZ1	protein_coding	chr1	10697246	10697251	10697246	10697251	-	3	0	AGO1-4	1	0	1	0	0	0	0	8	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000130940	CASZ1	protein_coding	chr1	10697943	10697948	10697943	10697948	-	2	0	AGO1-4	1	0	1	0	0	0	0	8	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000130940	CASZ1	protein_coding	chr1	10697985	10697990	10697985	10697990	-	8	0	AGO1-4,AGO2,AGO3	1	0	1	0	0	0	0	8	HEK293,LCL35,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000130940	CASZ1	protein_coding	chr1	10698070	10698075	10698070	10698075	-	2	0	AGO1-4	1	0	1	0	0	0	0	8	MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000171824	EXOSC10	protein_coding	chr1	11126715	11126722	11126715	11126722	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1	BCBL-1,HEK293,HeLa
MIMAT0002855	hsa-miR-520d-5p	ENSG00000116685	KIAA2013	protein_coding	chr1	11980158	11980165	11980158	11980165	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5	Huh7.5,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000142627	EPHA2	protein_coding	chr1	16451124	16451129	16451124	16451129	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HS27a,hESCs
MIMAT0002855	hsa-miR-520d-5p	ENSG00000179051	RCC2	protein_coding	chr1	17734825	17734830	17734825	17734830	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HCT116,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000077549	CAPZB	protein_coding	chr1	19665364	19665369	19665364	19665369	-	4	0	AGO2	1	0	0	0	0	0	0	3	HeLa
MIMAT0002855	hsa-miR-520d-5p	ENSG00000127483	HP1BP3	protein_coding	chr1	21069564	21069569	21069563	21069591	-	9	1	AGO1-4,AGO2	1	0	1	1	0	0	0	3	HeLa,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000127483	HP1BP3	protein_coding	chr1	21070928	21070933	21070927	21070955	-	9	6	AGO1-4,AGO2	1	0	1	1	0	0	0	3	HeLa,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000090686	USP48	protein_coding	chr1	22054918	22054924	22054918	22054924	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	2	HeLa,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000142798	HSPG2	protein_coding	chr1	22149719	22149724	22149719	22149724	-	15	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	BT474,HeLa
MIMAT0002855	hsa-miR-520d-5p	ENSG00000125944	HNRNPR	protein_coding	chr1	23636828	23636833	23636828	23636833	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000125945	ZNF436	protein_coding	chr1	23686177	23686183	23686176	23686204	-	1	0	AGO2	1	0	1	1	0	0	0	1	Huh7.5
MIMAT0002855	hsa-miR-520d-5p	ENSG00000125945	ZNF436	protein_coding	chr1	23687228	23687233	23687227	23687255	-	2	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1	HeLa,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000125945	ZNF436	protein_coding	chr1	23687250	23687256	23687249	23687277	-	2	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1	HeLa,MCF7
MIMAT0002855	hsa-miR-520d-5p	ENSG00000125945	ZNF436	protein_coding	chr1	23687950	23687955	23687949	23687977	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1	HeLa,MCF7
