#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000067048	DDX3Y	protein_coding	chrY	15031954	15031959	15031954	15031959	+	11	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0	EWS,Flp-In-T-REx-293,HS5
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000078369	GNB1	protein_coding	chr1	1718326	1718333	1718325	1718353	-	14	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	1	0	0	0	0	HEK293,LCL35,MCF7
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000116251	RPL22	protein_coding	chr1	6246539	6246544	6246539	6246544	-	3	0	AGO1,AGO1-4	1	0	0	0	0	0	0	2	HEK293,Liver
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000097021	ACOT7	protein_coding	chr1	6324561	6324566	6324561	6324566	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3	HeLa,MCF7
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000007923	DNAJC11	protein_coding	chr1	6694433	6694438	6694433	6694438	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000162441	LZIC	protein_coding	chr1	9990017	9990023	9990017	9990023	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000177000	MTHFR	protein_coding	chr1	11846822	11846827	11846822	11846827	-	1	0	AGO2	1	0	0	0	0	0	0	3	BC-1
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000075151	EIF4G3	protein_coding	chr1	21133716	21133721	21133716	21133721	-	3	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000169641	LUZP1	protein_coding	chr1	23414119	23414124	23414119	23414124	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000117632	STMN1	protein_coding	chr1	26227120	26227125	26227120	26227125	-	29	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	1	BT474,HEK293,LCL35
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000158195	WASF2	protein_coding	chr1	27733420	27733425	27733420	27733425	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	EWS,MCF7
MIMAT0004675	hsa-miR-219a-2-3p	ENSG00000084628	NKAIN1	protein_coding	chr1	31653965	31653970	31653965	31653970	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
