miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum	
MIMAT0000082	hsa-miR-26a-5p	ENSG00000067048	DDX3Y	protein_coding	chrY	15031399	15031405	15031378	15031406	+	4	0	"AGO1-4,AGO2"	1	0	0	1	1	1	1	3	"BC-1,MCF7"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000162576	MXRA8	protein_coding	chr1	1288398	1288403	1288398	1288403	-	2	0	AGO1-4	1	0	0	0	0	0	0	2	marrow-stromal-cells
MIMAT0000082	hsa-miR-26a-5p	ENSG00000221978	CCNL2	protein_coding	chr1	1322059	1322064	1322058	1322064	-	2	0	AGO1-4	1	0	0	0	0	0	1	3	BT474
MIMAT0000082	hsa-miR-26a-5p	ENSG00000221978	CCNL2	protein_coding	chr1	1327936	1327941	1327935	1327941	-	8	0	"AGO1-4,AGO2"	1	0	0	0	0	1	0	3	"HeLa,MCF7"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000189339	SLC35E2B	protein_coding	chr1	1594244	1594272	1594244	1594272	-	1	0	AGO2	0	0	0	1	0	0	0	1	Huh7.5
MIMAT0000082	hsa-miR-26a-5p	ENSG00000008130	NADK	protein_coding	chr1	1683014	1683019	1683014	1683019	-	1	0	AGO1-4	1	0	0	0	0	0	0	4	HUVEC
MIMAT0000082	hsa-miR-26a-5p	ENSG00000078369	GNB1	protein_coding	chr1	1718183	1718188	1718183	1718188	-	6	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	7	"HEK293,MCF7"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000142606	MMEL1	protein_coding	chr1	2522101	2522106	2522101	2522106	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0000082	hsa-miR-26a-5p	ENSG00000116254	CHD5	protein_coding	chr1	6162657	6162662	6162656	6162684	-	1	0	AGO1-4	1	0	0	1	0	0	0	3	BCBL-1
MIMAT0000082	hsa-miR-26a-5p	ENSG00000116254	CHD5	protein_coding	chr1	6165187	6165192	6165186	6165214	-	3	3	"AGO1,AGO2"	1	0	0	1	0	0	1	3	"DG75-BCBL-1,HEK293"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000116251	RPL22	protein_coding	chr1	6245618	6245623	6245618	6245623	-	3	0	AGO1-4	1	0	0	0	0	0	0	4	MCF7
MIMAT0000082	hsa-miR-26a-5p	ENSG00000116251	RPL22	protein_coding	chr1	6246572	6246577	6246572	6246577	-	2	0	"AGO1,AGO1-4"	1	0	0	0	0	0	0	4	"HEK293,Liver"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000116237	ICMT	protein_coding	chr1	6281263	6281268	6281263	6281268	-	7	0	"AGO1,AGO1-4,AGO2"	1	0	1	0	0	0	0	17	"HEK293,MCF7"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000116237	ICMT	protein_coding	chr1	6283014	6283019	6283014	6283019	-	1	0	AGO2	1	0	1	0	0	0	0	17	HEK293
MIMAT0000082	hsa-miR-26a-5p	ENSG00000171680	PLEKHG5	protein_coding	chr1	6527135	6527140	6527135	6527140	-	1	0	AGO1-4	1	0	0	0	0	0	0	8	MCF7
MIMAT0000082	hsa-miR-26a-5p	ENSG00000142599	RERE	protein_coding	chr1	8414133	8414138	8414133	8414138	-	2	0	AGO2	1	0	0	0	0	0	0	1	EWS
MIMAT0000082	hsa-miR-26a-5p	ENSG00000162441	LZIC	protein_coding	chr1	9990171	9990176	9990171	9990176	-	4	0	"AGO1,AGO1-4,AGO2"	1	0	0	0	0	0	0	4	"HEK293,MCF7"
MIMAT0000082	hsa-miR-26a-5p	ENSG00000160049	DFFA	protein_coding	chr1	10522695	10522700	10522695	10522700	-	2	0	AGO1-4	1	0	0	0	0	0	0	7	MCF7
