#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0018926	hsa-miR-378d	ENSG00000099715	PCDH11Y	protein_coding	chrY	5609083	5609088	5609083	5609088	+	1	0	AGO1-4	0	0	1	0	0	0	0	2	BC-3
MIMAT0018926	hsa-miR-378d	ENSG00000162413	KLHL21	protein_coding	chr1	6650846	6650851	6650846	6650851	-	2	0	AGO2	0	0	1	0	0	0	0	4	HeLa
MIMAT0018926	hsa-miR-378d	ENSG00000162413	KLHL21	protein_coding	chr1	6652491	6652496	6652491	6652496	-	3	0	AGO2	0	0	1	0	0	0	0	4	HEK293S
MIMAT0018926	hsa-miR-378d	ENSG00000162413	KLHL21	protein_coding	chr1	6652953	6652958	6652953	6652958	-	3	0	AGO2	0	0	1	0	0	0	0	4	HEK293S
MIMAT0018926	hsa-miR-378d	ENSG00000160049	DFFA	protein_coding	chr1	10523611	10523630	10523611	10523630	-	2	0	AGO1-4,AGO2	0	1	0	0	0	0	0	0	HEK293,HS5
MIMAT0018926	hsa-miR-378d	ENSG00000179051	RCC2	protein_coding	chr1	17733962	17733968	17733962	17733968	-	12	0	AGO1-4,AGO2	0	0	0	0	0	0	1	5	HCT116,MCF7
MIMAT0018926	hsa-miR-378d	ENSG00000159423	ALDH4A1	protein_coding	chr1	19199298	19199303	19199298	19199303	-	3	0	AGO1-4	0	0	1	0	0	0	0	3	BT474
MIMAT0018926	hsa-miR-378d	ENSG00000159423	ALDH4A1	protein_coding	chr1	19199314	19199319	19199314	19199319	-	2	0	AGO1-4	0	0	1	0	0	0	0	3	MCF7
MIMAT0018926	hsa-miR-378d	ENSG00000075151	EIF4G3	protein_coding	chr1	21133336	21133342	21133335	21133363	-	3	0	AGO1-4,AGO2	0	0	1	1	0	0	1	2	HeLa,MCF7
MIMAT0018926	hsa-miR-378d	ENSG00000075151	EIF4G3	protein_coding	chr1	21268131	21268159	21268131	21268159	-	6	0	AGO1-4	0	0	0	1	0	0	0	2	MCF7
MIMAT0018926	hsa-miR-378d	ENSG00000125945	ZNF436	protein_coding	chr1	23686999	23687005	23686999	23687005	-	1	0	AGO2	0	0	1	0	0	0	0	5	HeLa
MIMAT0018926	hsa-miR-378d	ENSG00000007968	E2F2	protein_coding	chr1	23835430	23835435	23835429	23835457	-	4	0	AGO2	0	0	1	1	0	0	0	2	DG75-BCBL-1
MIMAT0018926	hsa-miR-378d	ENSG00000007968	E2F2	protein_coding	chr1	23835529	23835557	23835529	23835557	-	1	0	AGO2	0	0	0	1	0	0	0	2	EWS
MIMAT0018926	hsa-miR-378d	ENSG00000007968	E2F2	protein_coding	chr1	23835800	23835805	23835799	23835827	-	3	0	AGO1-4,AGO2	0	0	1	1	0	0	0	2	DG75-BCBL-1,MCF7
MIMAT0018926	hsa-miR-378d	ENSG00000007968	E2F2	protein_coding	chr1	23836073	23836079	23836072	23836100	-	3	0	AGO1-4	0	0	1	1	0	0	0	2	MCF7
MIMAT0018926	hsa-miR-378d	ENSG00000188529	SRSF10	protein_coding	chr1	24297450	24297456	24297450	24297456	-	1	0	AGO1-4	0	0	1	0	0	0	1	4	HS27a
MIMAT0018926	hsa-miR-378d	ENSG00000126705	AHDC1	protein_coding	chr1	27861106	27861112	27861106	27861112	-	7	0	AGO1-4,AGO2	0	0	0	0	0	1	0	4	BT474,HEK293
