#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0005793	hsa-miR-320c	ENSG00000165246	NLGN4Y	protein_coding	chrY	16955996	16956001	16955974	16956002	+	1	0	AGO1-4	0	0	1	1	0	0	0	1	HS27a
MIMAT0005793	hsa-miR-320c	ENSG00000160087	UBE2J2	protein_coding	chr1	1190465	1190470	1190465	1190470	-	3	0	AGO1,AGO1-4	1	0	0	0	0	0	0	3	Flp-In-T-REx-293,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000221978	CCNL2	protein_coding	chr1	1326480	1326486	1326479	1326507	-	3	0	AGO1-4,AGO2	1	0	0	1	1	0	1	1	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000189339	SLC35E2B	protein_coding	chr1	1593838	1593866	1593838	1593866	-	1	0	AGO1-4	0	0	0	1	0	0	0	0	HS27a
MIMAT0005793	hsa-miR-320c	ENSG00000198912	C1orf174	protein_coding	chr1	3805862	3805867	3805862	3805867	-	1	0	AGO2	1	0	0	0	0	0	0	3	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000116237	ICMT	protein_coding	chr1	6282118	6282123	6282118	6282123	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	6	HEK293,LCL35
MIMAT0005793	hsa-miR-320c	ENSG00000116237	ICMT	protein_coding	chr1	6283975	6283980	6283975	6283980	-	2	0	AGO1-4	1	0	0	0	0	0	0	6	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000158292	GPR153	protein_coding	chr1	6308872	6308877	6308872	6308877	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000097021	ACOT7	protein_coding	chr1	6324477	6324482	6324476	6324496	-	12	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	1	0	6	HEK293,LCL35,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000171680	PLEKHG5	protein_coding	chr1	6527214	6527219	6527214	6527219	-	1	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000162413	KLHL21	protein_coding	chr1	6652464	6652469	6652464	6652469	-	2	0	AGO2	1	0	0	0	0	0	0	1	HEK293S
MIMAT0005793	hsa-miR-320c	ENSG00000162413	KLHL21	protein_coding	chr1	6652506	6652512	6652506	6652512	-	4	0	AGO2	1	0	0	0	0	0	0	1	HEK293
MIMAT0005793	hsa-miR-320c	ENSG00000007923	DNAJC11	protein_coding	chr1	6695568	6695575	6695567	6695586	-	1	0	AGO2	1	0	0	0	1	0	0	1	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000116285	ERRFI1	protein_coding	chr1	8073014	8073019	8073014	8073019	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000116285	ERRFI1	protein_coding	chr1	8073602	8073621	8073602	8073621	-	19	0	AGO1,AGO1-4,AGO2	0	1	0	0	0	0	0	2	Flp-In-T-REx-293,HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000142599	RERE	protein_coding	chr1	8412908	8412913	8412908	8412913	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000074800	ENO1	protein_coding	chr1	8921217	8921224	8921217	8921224	-	20	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	8	Flp-In-T-REx-293,Huh7.5,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000160049	DFFA	protein_coding	chr1	10522933	10522938	10522932	10522951	-	9	0	AGO1-4,AGO2	1	0	0	0	1	0	0	1	LCL35,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000177000	MTHFR	protein_coding	chr1	11846471	11846476	11846471	11846476	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000177000	MTHFR	protein_coding	chr1	11848705	11848710	11848705	11848710	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000116685	KIAA2013	protein_coding	chr1	11979685	11979713	11979685	11979713	-	1	0	AGO2	0	0	0	1	0	0	0	3	Huh7.5
MIMAT0005793	hsa-miR-320c	ENSG00000116685	KIAA2013	protein_coding	chr1	11980152	11980157	11980151	11980179	-	7	0	AGO1-4,AGO2	1	0	0	1	0	0	0	3	Huh7.5,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000037637	FBXO42	protein_coding	chr1	16574822	16574850	16574822	16574850	-	2	0	AGO1-4	0	0	0	1	0	0	0	2	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000037637	FBXO42	protein_coding	chr1	16575405	16575433	16575405	16575433	-	1	0	AGO1-4	0	0	0	1	0	0	0	2	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000179051	RCC2	protein_coding	chr1	17733933	17733938	17733933	17733938	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HCT116,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000127481	UBR4	protein_coding	chr1	19440170	19440189	19440170	19440189	-	1	0	AGO1-4	0	0	0	0	1	0	0	0	HS5
MIMAT0005793	hsa-miR-320c	ENSG00000127463	EMC1	protein_coding	chr1	19544825	19544830	19544824	19544852	-	1	0	AGO2	1	0	0	1	0	0	0	1	EWS
MIMAT0005793	hsa-miR-320c	ENSG00000162545	CAMK2N1	protein_coding	chr1	20809320	20809325	20809319	20809338	-	2	0	AGO1-4,AGO2	1	0	0	0	1	0	0	4	HEK293,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000090432	MUL1	protein_coding	chr1	20826236	20826242	20826236	20826242	-	1	0	AGO1-4	1	0	0	0	0	0	0	1	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000090432	MUL1	protein_coding	chr1	20826710	20826716	20826710	20826716	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	1	HEK293
MIMAT0005793	hsa-miR-320c	ENSG00000127483	HP1BP3	protein_coding	chr1	21070746	21070752	21070745	21070773	-	8	0	AGO1-4,AGO2,AGO3	1	0	1	1	1	0	0	1	HEK293,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000127483	HP1BP3	protein_coding	chr1	21070985	21070991	21070984	21071012	-	4	0	AGO1-4,AGO2	1	0	1	1	1	0	0	1	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000127483	HP1BP3	protein_coding	chr1	21071125	21071130	21071115	21071143	-	6	0	AGO1,AGO1-4,AGO2	1	0	1	1	0	0	0	1	HEK293,HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000169641	LUZP1	protein_coding	chr1	23414256	23414262	23414255	23414274	-	3	0	AGO1-4,AGO2	1	0	0	0	1	0	0	3	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000125945	ZNF436	protein_coding	chr1	23688296	23688302	23688295	23688323	-	1	0	AGO2	1	0	0	1	1	0	0	1	EWS
MIMAT0005793	hsa-miR-320c	ENSG00000007968	E2F2	protein_coding	chr1	23833217	23833223	23833217	23833223	-	1	0	AGO1-4	1	0	0	0	0	0	1	1	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000117308	GALE	protein_coding	chr1	24122130	24122135	24122130	24122135	-	1	0	AGO2	1	0	0	0	0	0	0	6	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000117308	GALE	protein_coding	chr1	24124711	24124731	24124711	24124731	-	2	0	AGO1-4	0	0	0	0	1	0	0	6	HS27a
MIMAT0005793	hsa-miR-320c	ENSG00000117305	HMGCL	protein_coding	chr1	24143989	24144017	24143989	24144017	-	1	0	AGO1-4	0	0	0	1	0	0	0	6	Liver
MIMAT0005793	hsa-miR-320c	ENSG00000179163	FUCA1	protein_coding	chr1	24171755	24171760	24171755	24171760	-	2	0	AGO1-4	1	0	0	0	0	0	0	5	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000090020	SLC9A1	protein_coding	chr1	27426162	27426167	27426162	27426167	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	HS27a
MIMAT0005793	hsa-miR-320c	ENSG00000158195	WASF2	protein_coding	chr1	27733441	27733447	27733441	27733447	-	1	0	AGO1-4	1	0	0	0	0	1	0	0	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000158195	WASF2	protein_coding	chr1	27733657	27733662	27733657	27733662	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0	Huh7.5,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000158195	WASF2	protein_coding	chr1	27734558	27734563	27734558	27734563	-	3	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0	Flp-In-T-REx-293,HCT116,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000126705	AHDC1	protein_coding	chr1	27860914	27860919	27860914	27860919	-	2	0	AGO2	1	0	0	0	0	0	0	0	HEK293
MIMAT0005793	hsa-miR-320c	ENSG00000158161	EYA3	protein_coding	chr1	28297504	28297511	28297504	28297532	-	5	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	1	0	BC-1,HEK293,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000158161	EYA3	protein_coding	chr1	28339739	28339767	28339739	28339767	-	1	1	AGO1-4	0	0	0	1	0	0	0	0	BCBL-1
MIMAT0005793	hsa-miR-320c	ENSG00000126698	DNAJC8	protein_coding	chr1	28526920	28526926	28526919	28526938	-	1	0	AGO2	1	0	0	0	1	0	0	2	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000134644	PUM1	protein_coding	chr1	31404696	31404701	31404696	31404701	-	27	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	1	HEK293,LCL35,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000134644	PUM1	protein_coding	chr1	31405691	31405696	31405690	31405709	-	1	0	AGO2	1	0	0	0	1	0	0	1	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000176261	ZBTB8OS	protein_coding	chr1	33087373	33087379	33087372	33087400	-	1	0	AGO2	1	0	1	1	1	0	0	3	HEK293
MIMAT0005793	hsa-miR-320c	ENSG00000004455	AK2	protein_coding	chr1	33474611	33474616	33474610	33474638	-	4	0	AGO2	1	0	0	1	0	0	0	5	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000004455	AK2	protein_coding	chr1	33475990	33475995	33475989	33476017	-	2	0	AGO2	1	0	0	1	0	0	0	5	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000004455	AK2	protein_coding	chr1	33476077	33476083	33476076	33476104	-	1	1	AGO1	1	0	0	1	1	0	0	5	Flp-In-T-REx-293
MIMAT0005793	hsa-miR-320c	ENSG00000116525	TRIM62	protein_coding	chr1	33612551	33612557	33612550	33612569	-	1	0	AGO1-4	1	0	0	0	1	0	0	2	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000116560	SFPQ	protein_coding	chr1	35649327	35649332	35649327	35649332	-	27	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1	HEK293,LCL35,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000196182	STK40	protein_coding	chr1	36806843	36806848	36806842	36806862	-	8	0	AGO1-4,AGO2	1	0	0	0	1	0	0	1	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000163875	MEAF6	protein_coding	chr1	37958551	37958556	37958551	37958556	-	2	0	AGO1-4,AGO3	1	0	0	0	0	0	0	2	HEK293,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000163877	SNIP1	protein_coding	chr1	38002851	38002856	38002851	38002856	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000163877	SNIP1	protein_coding	chr1	38002950	38002955	38002950	38002955	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000183431	SF3A3	protein_coding	chr1	38423834	38423840	38423833	38423852	-	2	0	AGO1,AGO2	1	0	0	0	1	0	0	2	DG75-BCBL-1,Flp-In-T-REx-293
MIMAT0005793	hsa-miR-320c	ENSG00000214114	MYCBP	protein_coding	chr1	39329720	39329725	39329720	39329725	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000179862	CITED4	protein_coding	chr1	41326990	41326996	41326989	41327009	-	2	0	AGO1-4,AGO2	1	0	0	0	1	0	0	4	HS5,HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000198815	FOXJ3	protein_coding	chr1	42643344	42643349	42643343	42643371	-	3	0	AGO1-4,AGO2	1	0	0	1	0	0	0	1	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000070759	TESK2	protein_coding	chr1	45809706	45809711	45809706	45809711	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000117461	PIK3R3	protein_coding	chr1	46506423	46506428	46506423	46506428	-	1	0	AGO2	1	0	0	0	0	0	0	2	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000117461	PIK3R3	protein_coding	chr1	46508022	46508027	46508022	46508027	-	1	0	AGO1-4	1	0	0	0	0	0	0	2	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000117461	PIK3R3	protein_coding	chr1	46508081	46508086	46508081	46508086	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000117461	PIK3R3	protein_coding	chr1	46508475	46508480	46508475	46508480	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	BCBL-1,HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000079277	MKNK1	protein_coding	chr1	47024059	47024064	47024059	47024064	-	1	0	AGO2	1	0	0	0	0	0	0	1	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000079277	MKNK1	protein_coding	chr1	47024336	47024341	47024336	47024341	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1	Huh7.5,Liver
MIMAT0005793	hsa-miR-320c	ENSG00000142961	MOB3C	protein_coding	chr1	47073542	47073547	47073542	47073547	-	1	0	AGO2	1	0	0	0	0	0	0	0	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000159658	EFCAB14	protein_coding	chr1	47140899	47140904	47140899	47140904	-	2	0	AGO2	1	0	0	0	0	0	0	3	HeLa
MIMAT0005793	hsa-miR-320c	ENSG00000159658	EFCAB14	protein_coding	chr1	47143147	47143152	47143147	47143152	-	3	0	AGO1,AGO2	1	0	0	0	0	0	0	3	Flp-In-T-REx-293,HEK293S
MIMAT0005793	hsa-miR-320c	ENSG00000123473	STIL	protein_coding	chr1	47717021	47717049	47717021	47717049	-	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000123473	STIL	protein_coding	chr1	47746721	47746749	47746721	47746749	-	5	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000123473	STIL	protein_coding	chr1	47767236	47767264	47767236	47767264	-	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4	LCL35,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000085832	EPS15	protein_coding	chr1	51822110	51822115	51822110	51822115	-	4	1	AGO1-4,AGO2	1	0	0	0	0	0	0	4	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000154222	CC2D1B	protein_coding	chr1	52818832	52818838	52818831	52818844	-	3	0	AGO1-4,AGO2	1	0	0	0	1	1	0	0	HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000116209	TMEM59	protein_coding	chr1	54497761	54497766	54497761	54497766	-	9	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2	HEK293,HeLa,MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000162601	MYSM1	protein_coding	chr1	59120484	59120489	59120483	59120511	-	3	0	AGO2	0	0	1	1	0	0	0	1	HEK293
MIMAT0005793	hsa-miR-320c	ENSG00000162601	MYSM1	protein_coding	chr1	59123638	59123643	59123638	59123643	-	1	0	AGO1-4	0	0	1	0	0	0	0	1	MCF7
MIMAT0005793	hsa-miR-320c	ENSG00000162601	MYSM1	protein_coding	chr1	59124494	59124499	59124493	59124521	-	2	0	AGO2	0	0	1	1	0	0	0	1	LCL-BACD3
MIMAT0005793	hsa-miR-320c	ENSG00000162601	MYSM1	protein_coding	chr1	59125572	59125600	59125572	59125600	-	1	0	AGO2	0	0	0	1	0	0	0	1	Huh7.5
