#please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000066	hsa-let-7e-5p	ENSG00000131591	C1orf159	protein_coding	chr1	1021303	1021331	1021303	1021331	-	6	0	AGO1-4,AGO2	0	0	0	1	0	0	0	8	HeLa,MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000131584	ACAP3	protein_coding	chr1	1228472	1228478	1228472	1228478	-	1	0	AGO1-4	0	0	0	0	0	0	1	9	MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000221978	CCNL2	protein_coding	chr1	1325636	1325641	1325636	1325641	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	7	HEK293S,HS27a
MIMAT0000066	hsa-let-7e-5p	ENSG00000116237	ICMT	protein_coding	chr1	6283746	6283752	6283745	6283766	-	5	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	1	1	HEK293,HeLa,MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000116285	ERRFI1	protein_coding	chr1	8073632	8073638	8073632	8073660	-	26	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	1	1	HEK293,HeLa,MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000116285	ERRFI1	protein_coding	chr1	8073787	8073815	8073787	8073815	-	9	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1	HeLa,MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000180758	GPR157	protein_coding	chr1	9164308	9164314	9164307	9164335	-	2	0	AGO2	0	0	1	1	0	0	1	4	HCT116
MIMAT0000066	hsa-let-7e-5p	ENSG00000180758	GPR157	protein_coding	chr1	9188768	9188796	9188768	9188796	-	3	0	AGO1-4	0	0	0	1	0	0	0	4	BT474
MIMAT0000066	hsa-let-7e-5p	ENSG00000160049	DFFA	protein_coding	chr1	10522628	10522633	10522628	10522633	-	1	0	AGO1-4	1	0	0	0	0	0	0	3	MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000177000	MTHFR	protein_coding	chr1	11846381	11846387	11846381	11846387	-	4	0	AGO1-4	1	0	0	0	0	0	0	6	MCF7
MIMAT0000066	hsa-let-7e-5p	ENSG00000173641	HSPB7	protein_coding	chr1	16340894	16340900	16340893	16340917	-	5	0	AGO1-4,AGO2	1	0	0	0	1	0	0	2	HeLa,marrow-stromal-cells
MIMAT0000066	hsa-let-7e-5p	ENSG00000142627	EPHA2	protein_coding	chr1	16451316	16451321	16451316	16451321	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2	HS27a,HeLa
MIMAT0000066	hsa-let-7e-5p	ENSG00000127463	EMC1	protein_coding	chr1	19544035	19544040	19544035	19544040	-	2	0	AGO1-4	0	0	1	0	0	0	0	0	MCF7
