miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum	
MIMAT0000423	hsa-miR-125b-5p	ENSG00000198692	EIF1AY	protein_coding	chrY	22754487	22754506	22754487	22754506	+	1	0	AGO2	0	0	0	0	1	0	0	0	BC-1
MIMAT0000423	hsa-miR-125b-5p	ENSG00000078808	SDF4	protein_coding	chr1	1152429	1152434	1152429	1152434	-	4	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	10	"HeLa,MCF7"
MIMAT0000423	hsa-miR-125b-5p	ENSG00000131584	ACAP3	protein_coding	chr1	1228599	1228605	1228599	1228605	-	3	0	AGO1-4	0	0	0	0	0	1	0	5	MCF7
MIMAT0000423	hsa-miR-125b-5p	ENSG00000162576	MXRA8	protein_coding	chr1	1288617	1288623	1288617	1288623	-	1	0	AGO1-4	1	0	0	0	0	0	0	0	marrow-stromal-cells
MIMAT0000423	hsa-miR-125b-5p	ENSG00000008130	NADK	protein_coding	chr1	1683514	1683520	1683513	1683535	-	2	0	AGO1-4	1	0	0	0	1	0	0	15	HS27a
MIMAT0000423	hsa-miR-125b-5p	ENSG00000078369	GNB1	protein_coding	chr1	1717141	1717146	1717141	1717146	-	16	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	9	"BT474,HeLa"
MIMAT0000423	hsa-miR-125b-5p	ENSG00000178821	TMEM52	protein_coding	chr1	1849085	1849091	1849085	1849091	-	1	0	AGO1-4	1	0	0	0	0	0	0	9	MCF7
MIMAT0000423	hsa-miR-125b-5p	ENSG00000197921	HES5	protein_coding	chr1	2460541	2460546	2460541	2460546	-	4	0	AGO2	1	0	0	0	0	0	0	5	HEK293S
MIMAT0000423	hsa-miR-125b-5p	ENSG00000116251	RPL22	protein_coding	chr1	6246378	6246383	6246378	6246383	-	4	0	"AGO1,AGO1-4"	1	0	0	0	0	0	0	6	"HEK293,MCF7"
MIMAT0000423	hsa-miR-125b-5p	ENSG00000158292	GPR153	protein_coding	chr1	6308791	6308797	6308790	6308818	-	1	0	AGO1-4	0	0	0	1	1	0	1	4	MCF7
MIMAT0000423	hsa-miR-125b-5p	ENSG00000162413	KLHL21	protein_coding	chr1	6651752	6651758	6651752	6651758	-	4	0	"AGO1-4,AGO2"	1	0	0	0	0	0	0	4	"HS27a,HeLa"
MIMAT0000423	hsa-miR-125b-5p	ENSG00000007923	DNAJC11	protein_coding	chr1	6695282	6695287	6695282	6695287	-	1	0	AGO2	1	0	0	0	0	0	0	12	Huh7.5
MIMAT0000423	hsa-miR-125b-5p	ENSG00000180758	GPR157	protein_coding	chr1	9163690	9163696	9163689	9163717	-	1	0	AGO1-4	0	0	1	1	0	0	0	11	MCF7
MIMAT0000423	hsa-miR-125b-5p	ENSG00000180758	GPR157	protein_coding	chr1	9163877	9163883	9163876	9163904	-	1	0	AGO1-4	0	0	1	1	0	0	0	11	MCF7
